study_id,study_type,bibliography_id,doi,author,title,journal,year,volume,number
Abino_et_al_2014,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Adame_et_al_2013,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Adame_et_al_2015,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Ajonina_et_al_2014,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Allen_et_al_2007,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Alongi_1996,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Alongi_et_al_1999,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Alongi_et_al_2000,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Alongi_et_al_2001,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Alongi_et_al_2004,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Alongi_et_al_2005,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Alongi_et_al_2008,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Andreetta_et_al_2014,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Andreetta_et_al_2016,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Ashton_and_Macintosh_2002,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Banerjee_et_al_2012,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Bouillon_et_al_2003,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Breithaupt_et_al_2014,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Brunskill_et_al_2002,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Brunskill_et_al_2004,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Bukoski_et_al_2017,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Bulmer_et_al_2016,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Cahoon_and_Lynch_1997,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Callaway_et_al_1997,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Cardona_and_Botero_1998,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Chanda_et_al_2013,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Chen_and_Twilley_1999,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Chen_et_al_2010,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Chen_et_al_2012,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Chen_et_al_2014,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Chen_et_al_2016,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Chmura_et_al_2003,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
DelVecchia_et_al_2014,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Dissanayake_and_Chandrasekara_2014,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Donato_et_al_2011,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Donato_et_al_2012,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Dung_et_al_2016,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Dutta_et_al_2013,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Ezcurra_et_al_2016,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Ferreira_et_al_2007,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Fujimoto_et_al_1999,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Gillis_et_al_2017,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Gleason_and_Ewel_2002,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Gomes_et_al_2016,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Gonneea_et_al_2004,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
He_et_al_2002,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Howe_et_al_2009,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Jennerjahn_and_Ittekkot_2002,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Jones_et_al_2016,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Kao_et_al_2002,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Keuskamp_et_al_2013,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Kristensen_et_al_1992,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Kristensen_et_al_2000,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Lacerda_et_al_1995,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Lallier-Verges_et_al_1998,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Lang'at_et_al_2014,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Lee_and_Baker_1972,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Leopold_et_al_2013,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Liu_et_al_2008,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Liu_et_al_2014,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Livesley_and_Andrusiak_2012,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Loi_and_Ni_2015,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Lovelock_et_al_2010,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
MacKenzie_et_al_2016,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Mao_et_al_2011,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Mao_et_al_2012,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Marchand_et_al_2003,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Marchand_et_al_2004,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Marchio_et_al_2016,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Matsui_1998,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
McFadden_et_al_2016,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Mfilinge_et_al_2002,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Middelburg_et_al_1996,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Murdiyarso_et_al_2015,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Naidoo_1980,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Naidoo_and_Raiman_1982,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Nam_et_al_2016,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Nsombo_et_al_2016,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Osland_et_al_2012,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
Otero_et_al_2009,synthesis,Sanderman_2018,10.7910/dvn/ocyuit,,,,,,
