"[Abbreviations: ID, identification; %, percent; ppm, parts per million; <, less than]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,Lab ID,"Aluminum
(%)","Calcium
(%)","Iron
(%)","Potassium
(%)","Magnesium
(%)","Sodium
(%)","Sulfur
(%)","Titanium
(%)","Antimony
(ppm)","Arsenic
(ppm)","Barium
(ppm)","Beryllium
(ppm)","Bismuth
(ppm)","Cadmium
(ppm)","Cerium
(ppm)","Cesium
(ppm)","Chromium
(ppm)","Cobalt
(ppm)","Copper
(ppm)","Gallium
(ppm)","Indium
(ppm)","Lanthanum
(ppm)","Lead
(ppm)","Lithium
(ppm)","Manganese
(ppm)","Molybdenum
(ppm)","Nickel
(ppm)","Niobium
(ppm)","Phosphorus
(ppm)","Rubidium
(ppm)","Scandium
(ppm)","Silver
(ppm)","Strontium
(ppm)","Tellurium
(ppm)","Thallium
(ppm)","Thorium
(ppm)","Tin
(ppm)","Tungsten
(ppm)","Uranium
(ppm)","Vanadium
(ppm)","Yttrium
(ppm)","Zinc
(ppm)"
14CCT01-GB33S,C-398323,0.08,0.09,0.06,0.01,<0.01,0.01,<0.01,0.01,<0.05,<1,24,<0.1,<0.04,<0.1,3.94,<5,1,0.1,1.2,0.21,<0.02,2.1,1.6,2,9,0.09,0.9,0.4,191,0.8,0.3,<1,5.8,<0.1,<0.1,0.4,0.1,<0.1,0.2,<2,1.9,2
14CCT01-GB49S,C-398324,1.84,0.45,2.07,0.65,0.95,5.73,1.01,0.1,0.44,14,53,0.9,0.11,<0.1,31.5,<5,17,4.1,8.3,4.38,<0.02,16.2,14.5,18,300,8.47,8.3,4.2,689,15.8,3.2,<1,84.5,<0.1,0.2,2.9,0.7,0.4,8.3,44,8.6,26
14CCT01-GB53S,C-398325,1.79,0.19,0.64,0.39,0.42,1.95,0.38,0.21,0.27,4,115,0.5,0.11,<0.1,30.5,<5,21,1.8,5.8,4.47,<0.02,14.6,9.8,20,48,2.2,6.6,7.4,281,18.7,3.5,<1,45.8,<0.1,0.1,4.8,0.8,0.5,4.2,33,8.1,17
14CCT01-GB60S,C-398326,2.59,1.89,0.98,0.57,0.77,4.07,0.71,0.2,0.25,6,100,0.9,0.12,<0.1,34.8,<5,27,2.4,8.5,6.2,<0.02,16.8,11.6,27,63,3.32,9.9,7.3,449,24.6,4.6,<1,154,<0.1,0.2,4.8,1,0.6,6.4,48,9.4,25
14CCT01-GB68S,C-398327,2.79,0.44,1.11,0.45,0.44,1.5,0.77,0.27,0.31,4,122,0.8,0.15,<0.1,39.1,<5,30,3,7.1,7.03,0.03,18.4,14.3,30,60,2.96,9.6,10.2,354,26.8,5.2,<1,63.2,<0.1,0.2,6.1,1.1,1.9,4,47,10.9,30
14CCT01-GB46G,C-398328,2.82,1.26,1.53,0.43,0.42,1.28,0.78,0.28,0.26,4,126,0.8,0.14,<0.1,43.1,<5,31,2.7,7.2,6.77,0.02,20.7,12.7,29,78,1.48,8.5,9.9,270,24,4.8,<1,69.1,<0.1,0.2,6.4,1.2,0.8,2.2,40,10.8,33
14CCT01-GB52G,C-398329,2.7,0.22,1.53,0.42,0.39,1.04,0.79,0.27,0.24,6,126,0.9,0.13,<0.1,42.1,<5,31,3,6.3,6.94,0.02,19.9,11.5,28,106,0.93,9.3,9.6,217,25.6,4.9,<1,41,<0.1,0.2,6.2,1.1,0.7,1.8,43,10.4,33
14CCT01-GB58G,C-398330,2.69,0.23,1.51,0.43,0.38,0.99,0.82,0.29,0.37,6,131,0.8,0.15,<0.1,40.2,<5,31,3.2,7.3,6.76,0.02,19.1,12.9,29,99,1.07,9.7,9.9,169,25.2,4.9,<1,40.4,<0.1,0.2,6.3,1.2,0.7,2,42,10.4,33
