"ID","ECOSYSID","LANDCOV","LANDCOV_DESCR"
1,1,"Mangrove",
2,1,"Dwarf Mangrove",
3,2,"Peatland",
4,2,"Cushion peatland",
5,2,"Grass peatland",
6,2,"Sedge peatland",
7,3,"Grassland",
8,3,"Tussock grassland",
9,4,"Oil palm",
10,5,"Open peatland",
11,5,"Palm swamp forest",
12,5,"Pole Forest",
100,100,"NA","Not Available"
