"ID","COUNTRY","WREGID"
1,"Afghanistan",1
2,"Albania",4
3,"Algeria",7
4,"American Samoa",9
5,"Andorra",11
6,"Angola",10
7,"Anguilla",5
8,"Antigua & Barbuda",5
9,"Argentina",5
10,"Armenia",3
11,"Aruba",5
12,"Australia",9
13,"Austria",11
14,"Azerbaijan",3
15,"Bahamas, The",5
16,"Bahrain",6
17,"Bangladesh",1
18,"Barbados",5
19,"Belarus",3
20,"Belgium",11
21,"Belize",5
22,"Benin",10
23,"Bermuda",8
24,"Bhutan",1
25,"Bolivia",5
26,"Bosnia & Herzegovina",4
27,"Botswana",10
28,"Brazil",5
29,"British Virgin Is.",5
30,"Brunei",1
31,"Bulgaria",4
32,"Burkina Faso",10
33,"Burma",1
34,"Burundi",10
35,"Cambodia",1
36,"Cameroon",10
37,"Canada",8
38,"Cape Verde",10
39,"Cayman Islands",5
40,"Central African Rep.",10
41,"Chad",10
42,"Chile",5
43,"China",1
44,"Colombia",5
45,"Comoros",10
46,"Congo, Dem. Rep.",10
47,"Congo, Repub. of the",10
48,"Cook Islands",9
49,"Costa Rica",5
50,"Cote d'Ivoire",10
51,"Croatia",4
52,"Cuba",5
53,"Cyprus",6
54,"Czech Republic",4
55,"Denmark",11
56,"Djibouti",10
57,"Dominica",5
58,"Dominican Republic",5
59,"East Timor",1
60,"Ecuador",5
61,"Egypt",7
62,"El Salvador",5
63,"Equatorial Guinea",10
64,"Eritrea",10
65,"Estonia",2
66,"Ethiopia",10
67,"Faroe Islands",11
68,"Fiji",9
69,"Finland",11
70,"France",11
71,"French Guiana",5
72,"French Polynesia",9
73,"Gabon",10
74,"Gambia, The",10
75,"Gaza Strip",6
76,"Georgia",3
77,"Germany",11
78,"Ghana",10
79,"Gibraltar",11
80,"Greece",11
81,"Greenland",8
82,"Grenada",5
83,"Guadeloupe",5
84,"Guam",9
85,"Guatemala",5
86,"Guernsey",11
87,"Guinea",10
88,"Guinea-Bissau",10
89,"Guyana",5
90,"Haiti",5
91,"Honduras",5
92,"Hong Kong",1
93,"Hungary",4
94,"Iceland",11
95,"India",1
96,"Indonesia",1
97,"Iran",1
98,"Iraq",6
99,"Ireland",11
100,"Isle of Man",11
101,"Israel",6
102,"Italy",11
103,"Jamaica",5
104,"Japan",1
105,"Jersey",11
106,"Jordan",6
107,"Kazakhstan",3
108,"Kenya",10
109,"Kiribati",9
110,"Korea, North",1
111,"Korea, South",1
112,"Kuwait",6
113,"Kyrgyzstan",3
114,"Laos",1
115,"Latvia",2
116,"Lebanon",6
117,"Lesotho",10
118,"Liberia",10
119,"Libya",7
120,"Liechtenstein",11
121,"Lithuania",2
122,"Luxembourg",11
123,"Macau",1
124,"Macedonia",4
125,"Madagascar",10
126,"Malawi",10
127,"Malaysia",1
128,"Maldives",1
129,"Mali",10
130,"Malta",11
131,"Marshall Islands",9
132,"Martinique",5
133,"Mauritania",10
134,"Mauritius",10
135,"Mayotte",10
136,"Mexico",5
137,"Micronesia, Fed. St.",9
138,"Moldova",3
139,"Monaco",11
140,"Mongolia",1
141,"Montserrat",5
142,"Morocco",7
143,"Mozambique",10
144,"Namibia",10
145,"Nauru",9
146,"Nepal",1
147,"Netherlands",11
148,"Netherlands Antilles",5
149,"New Caledonia",9
150,"New Zealand",9
151,"Nicaragua",5
152,"Niger",10
153,"Nigeria",10
154,"N. Mariana Islands",9
155,"Norway",11
156,"Oman",6
157,"Pakistan",1
158,"Palau",9
159,"Panama",5
160,"Papua New Guinea",9
161,"Paraguay",5
162,"Peru",5
163,"Philippines",1
164,"Poland",4
165,"Portugal",11
166,"Puerto Rico",5
167,"Qatar",6
168,"Reunion",10
169,"Romania",4
170,"Russia",3
171,"Rwanda",10
172,"Saint Helena",10
173,"Saint Kitts & Nevis",5
174,"Saint Lucia",5
175,"St Pierre & Miquelon",8
176,"Saint Vincent and the Grenadines",5
177,"Samoa",9
178,"San Marino",11
179,"Sao Tome & Principe",10
180,"Saudi Arabia",6
181,"Senegal",10
182,"Serbia",4
183,"Seychelles",10
184,"Sierra Leone",10
185,"Singapore",1
186,"Slovakia",4
187,"Slovenia",4
188,"Solomon Islands",9
189,"Somalia",10
190,"South Africa",10
191,"Spain",11
192,"Sri Lanka",1
193,"Sudan",10
194,"Suriname",5
195,"Swaziland",10
196,"Sweden",11
197,"Switzerland",11
198,"Syria",6
199,"Taiwan",1
200,"Tajikistan",3
201,"Tanzania",10
202,"Thailand",1
203,"Togo",10
204,"Tonga",9
205,"Trinidad & Tobago",5
206,"Tunisia",7
207,"Turkey",6
208,"Turkmenistan",3
209,"Turks & Caicos Is",5
210,"Tuvalu",9
211,"Uganda",10
212,"Ukraine",3
213,"United Arab Emirates",6
214,"United Kingdom",11
215,"United States",8
216,"Uruguay",5
217,"Uzbekistan",3
218,"Vanuatu",9
219,"Venezuela",5
220,"Vietnam",1
221,"Virgin Islands",5
222,"Wallis and Futuna",9
223,"West Bank",6
224,"Western Sahara",7
225,"Yemen",6
226,"Zambia",10
227,"Zimbabwe",10
228,"All Countries",12
