study_id,site_id,core_id,species_code,code_type,habitat
Marot_et_al_2022,Grand Bay,16CCT03_GB266V,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB265G,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB264V,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB263G,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB262V,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB261V,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB260G,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB259V,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB258G,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB257V_2,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB257V,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB256G,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB255V,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB254G_2,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB254G_2,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB253G,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB252G,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB251G,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB250G,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB254G,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB254G,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB245G,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB244G,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB240G,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB239G,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB238G,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB237G,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB236G,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB235G,,NA,NA
Marot_et_al_2022,Grand Bay,16CCT03_GB234G,,NA,NA
