study_id,method_id,coring_method,sediment_sieved_flag,sediment_sieve_size,compaction_flag,dry_bulk_density_temperature,dry_bulk_density_time,dry_bulk_density_flag,loss_on_ignition_temperature,loss_on_ignition_time,carbon_measured_or_modeled,carbonates_removed,carbonate_removal_method,fraction_carbon_method,fraction_carbon_type,cs137_counting_method,pb210_counting_method,ra226_assumption,c14_counting_method,age_depth_model_reference
Marot_et_al_2020,vibracore_alpha,vibracore,sediment sieved,1,compaction quantified,60,48,time approximate,550,6,measured,TRUE,acid fumigation,EA,organic carbon,alpha,alpha,selected samples,AMS,YBP
Marot_et_al_2020,vibracore_gamma,vibracore,sediment sieved,1,compaction quantified,60,48,time approximate,550,6,measured,TRUE,acid fumigation,EA,organic carbon,gamma,gamma,selected samples,AMS,YBP
Marot_et_al_2020,pushcore_alpha,push core,sediment sieved,1,compaction quantified,60,48,time approximate,550,6,measured,TRUE,acid fumigation,EA,organic carbon,alpha,alpha,selected samples,AMS,YBP
Marot_et_al_2020,pushcore_gamma,push core,sediment sieved,1,compaction quantified,60,48,time approximate,550,6,measured,TRUE,acid fumigation,EA,organic carbon,gamma,gamma,selected samples,AMS,YBP
Marot_et_al_2020,shovelcore_alpha,shovel core,sediment sieved,1,not specified,60,48,time approximate,550,6,measured,TRUE,acid fumigation,EA,organic carbon,alpha,alpha,selected samples,AMS,YBP
Marot_et_al_2020,shovelcore_gamma,shovel core,sediment sieved,1,not specified,60,48,time approximate,550,6,measured,TRUE,acid fumigation,EA,organic carbon,gamma,gamma,selected samples,AMS,YBP
Marot_et_al_2020,russiancorer_alpha,russian corer,sediment sieved,1,not specified,60,48,time approximate,550,6,measured,TRUE,acid fumigation,EA,organic carbon,alpha,alpha,selected samples,AMS,YBP
Marot_et_al_2020,russiancorer_gamma,russian corer,sediment sieved,1,not specified,60,48,time approximate,550,6,measured,TRUE,acid fumigation,EA,organic carbon,gamma,gamma,selected samples,AMS,YBP
Marot_et_al_2020,surfacesample_alpha,surface sample,sediment sieved,1,not specified,60,48,time approximate,550,6,measured,TRUE,acid fumigation,EA,organic carbon,alpha,alpha,selected samples,AMS,YBP
Marot_et_al_2020,surfacesample_gamma,surface sample,sediment sieved,1,not specified,60,48,time approximate,550,6,measured,TRUE,acid fumigation,EA,organic carbon,gamma,gamma,selected samples,AMS,YBP
