study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,cs137_unit,total_pb210_activity,total_pb210_activity_se,pb210_unit,ra226_activity,ra226_activity_se,ra226_unit,c14_age,c14_age_se,c14_material,be7_activity,be7_activity_se,be7_unit
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,0,1,1.2621666666666667,0.02302631578947368,NA,NA,dpm/g,1.8994374604945692,0.17239681553243733,dpm/g,1.0091982770629389,0.06804465786786212,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,1,2,1.0925,0.03473953770469634,NA,NA,dpm/g,1.8993786403037476,0.16361411798690648,dpm/g,0.9814907564752237,0.0579559272383434,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,1,2,NA,0.03353740581270136,NA,NA,dpm/g,1.8993786403037476,0.16361411798690648,dpm/g,0.9814907564752237,0.0579559272383434,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,2,3,1.0771875,0.03530521493060264,NA,NA,dpm/g,1.9948068786299638,0.207586287170279,dpm/g,0.9080223805160332,0.06413028015929928,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,3,4,1.0477777777777777,0.037492420669675924,NA,NA,dpm/g,2.130912947200322,0.1553961754727052,dpm/g,0.9478964484090222,0.056031818051708156,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,4,5,1.0186842105263159,0.04170040485829949,NA,NA,dpm/g,2.0878324843437834,0.20379158824029836,dpm/g,0.9507103956165479,0.07703581756681963,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,5,6,0.9880645161290321,0.04754844144903051,NA,NA,dpm/g,2.2503130190241896,0.19260580003156022,dpm/g,0.9781898258769344,0.06582721041918735,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,6,7,0.9760000000000001,0.045457613390929484,NA,NA,dpm/g,2.267811709096149,0.19653002137793066,dpm/g,1.010583303970946,0.07012328654499697,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,6,7,NA,0.052251400796598124,NA,NA,dpm/g,2.267811709096149,0.19653002137793066,dpm/g,1.010583303970946,0.07012328654499697,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,7,8,1.0006666666666668,0.04278056838485743,NA,NA,dpm/g,1.9121918046270365,0.18987052227591264,dpm/g,0.9108736926878441,0.06971073074600036,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,8,9,0.9626666666666667,0.05718246990396212,NA,NA,dpm/g,1.92140836165986,0.18286379800545824,dpm/g,0.8804876666289143,0.06430731956007672,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,9,10,0.9120000000000001,0.06084164272435348,NA,NA,dpm/g,1.9331801616523931,0.19184060206971343,dpm/g,0.9932083074639266,0.07208264492531143,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,10,11,0.8578787878787879,0.06855783930694764,NA,NA,dpm/g,2.1871653633972907,0.18139169173855055,dpm/g,1.080213690323764,0.0667889557598986,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,11,12,0.8400000000000001,0.07171638506077953,NA,NA,dpm/g,2.2644089830377325,0.2065561110497551,dpm/g,1.2061882136980582,0.07338048850581322,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,11,12,NA,0.08211691221399992,NA,NA,dpm/g,2.2644089830377325,0.2065561110497551,dpm/g,1.2061882136980582,0.07338048850581322,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,12,13,0.7754545454545454,0.08012253233492124,NA,NA,dpm/g,2.350287311059242,0.2040487258283939,dpm/g,1.0457169130862884,0.07104546548380021,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,13,14,0.7346511627906978,0.1047713243068114,NA,NA,dpm/g,2.224751782263796,0.2019688177170695,dpm/g,1.0565448034560636,0.0693094359229836,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,14,15,0.7594285714285715,0.07610510889199358,NA,NA,dpm/g,2.3487555147851538,0.21647745340546845,dpm/g,1.2033280272448508,0.07647672939984694,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,15,16,0.8245454545454546,0.07062982223581757,NA,NA,dpm/g,2.2179684999097016,0.17696478009405267,dpm/g,1.1077686402472264,0.06738071534471368,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,16,17,0.9606060606060606,0.04368522332129247,NA,NA,dpm/g,1.6554113903464007,0.17991691373278051,dpm/g,0.9803971547025615,0.07060520564930767,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,16,17,NA,0.04525039678519579,NA,NA,dpm/g,1.6554113903464007,0.17991691373278051,dpm/g,0.9803971547025615,0.07060520564930767,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,17,18,0.9196969696969697,0.050492402450167666,NA,NA,dpm/g,1.8636318049322438,0.19175498294451385,dpm/g,1.1209701116962245,0.0781914991252205,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,18,19,0.7980645161290323,0.07238004621448932,0.11753604020843664,0.041381442338340034,dpm/g,2.1642664664844733,0.18347704026575637,dpm/g,1.2421863721098205,0.07570941957667494,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,19,20,0.587,0.09398276868156374,0.22189567642978877,0.06847602009397577,dpm/g,2.7068192321253877,0.28206014043473326,dpm/g,1.3656480405988796,0.11080600357033404,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,20,21,0.5231250000000001,0.11085265935286825,0.35322819723838295,0.06655060356629282,dpm/g,2.87315470658563,0.2483196757036133,dpm/g,1.285344959640348,0.09446936893093176,dpm/g,NA,NA,NA,NA,NA,dpm/g
Marot_et_al_2020,16CCT07,16CCT07_GB301M,push_core_gamma spectroscopy,20,21,NA,0.10746061969880483,0.35322819723838295,0.06655060356629282,dpm/g,2.87315470658563,0.2483196757036133,dpm/g,1.285344959640348,0.09446936893093176,dpm/g,NA,NA,NA,NA,NA,dpm/g
