study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P1,wetland cores,0,5,0.1547339724504538,0.2109893727936204
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P1,wetland cores,5,10,0.20778562014775223,0.19447649673697068
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P1,wetland cores,10,15,0.15473397245045376,0.2007035094140129
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P1,wetland cores,15,20,0.3669405632396476,0.20979959133970408
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P1,wetland cores,20,25,0.3382042540702776,0.1734771018183264
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P1,wetland cores,25,30,0.3846244458054138,0.1754775990052369
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P1,wetland cores,30,35,0.4222026962576668,0.16801774392996666
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P1,wetland cores,35,40,0.4244131815783875,0.15461868580272986
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P1,wetland cores,40,45,0.4752543439549653,0.14241974566560886
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P1,wetland cores,45,50,0.3978873577297384,0.14746071509906652
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P2,wetland cores,0,5,0.1259976632810838,0.179850989333117
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P2,wetland cores,5,10,0.17683882565766149,0.21657526381437045
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P2,wetland cores,10,15,0.3315727981081153,0.17248408998244996
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P2,wetland cores,15,20,0.34925668067388144,0.16734890440645322
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P2,wetland cores,20,25,0.3691510485603684,0.1966145833333336
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P2,wetland cores,25,30,0.439886578823433,0.1788803655949084
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P2,wetland cores,30,35,0.4177817256162253,0.1697526867797494
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P2,wetland cores,35,40,0.3625195925982061,0.17718719544193706
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P2,wetland cores,40,45,0.4863067705585692,0.1373685579459746
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P2,wetland cores,45,50,0.4089397843333423,0.13229601518026485
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P3,wetland cores,0,5,0.3138889155423492,0.18024409897604296
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P3,wetland cores,5,10,0.3868349311261345,0.1933606982026856
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P3,wetland cores,10,15,0.40230832837118,0.2051760990545149
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P3,wetland cores,15,20,0.4553599760684784,0.1870776299416093
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P3,wetland cores,20,25,0.39346638708829673,0.17748417181635573
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P3,wetland cores,25,30,0.5039906531243352,0.15496954333925975
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P3,wetland cores,30,35,0.4509390054270368,0.16892389077819592
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P3,wetland cores,35,40,0.4420970641441538,0.18911927330173828
