study_id,site_id,core_id,species_code,code_type,habitat
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P1,Ceratophyllum demersum,Genus species,mudflat
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P2,Ceratophyllum demersum,Genus species,mudflat
Keshta_et_al_2020,Patuxent Wetland Park,PWP_MF_P3,Ceratophyllum demersum,Genus species,mudflat
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P1,Nuphar lutea,Genus species,marsh
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P2,Nuphar lutea,Genus species,marsh
Keshta_et_al_2020,Patuxent Wetland Park,PWP_LM_P3,Nuphar lutea,Genus species,marsh
Keshta_et_al_2020,Patuxent Wetland Park,PWP_HM_P1,Pilea pumila,Genus species,marsh
Keshta_et_al_2020,Patuxent Wetland Park,PWP_HM_P2,Pilea pumila,Genus species,marsh
Keshta_et_al_2020,Patuxent Wetland Park,PWP_HM_P3,Pilea pumila,Genus species,marsh
Keshta_et_al_2020,Patuxent Wetland Park,PWP_S_P1,Murdannia keisak,Genus species,swamp
Keshta_et_al_2020,Patuxent Wetland Park,PWP_S_P2,Murdannia keisak,Genus species,swamp
Keshta_et_al_2020,Patuxent Wetland Park,PWP_S_P3,Murdannia keisak,Genus species,swamp
Keshta_et_al_2020,Wootons Landing Wetland Park,WLWP_MF_P1,Ceratophyllum demersum,Genus species,mudflat
Keshta_et_al_2020,Wootons Landing Wetland Park,WLWP_MF_P2,Ceratophyllum demersum,Genus species,mudflat
Keshta_et_al_2020,Wootons Landing Wetland Park,WLWP_MF_P3,Ceratophyllum demersum,Genus species,mudflat
Keshta_et_al_2020,Wootons Landing Wetland Park,WLWP_LM_P1,Typha latifolia,Genus species,marsh
Keshta_et_al_2020,Wootons Landing Wetland Park,WLWP_LM_P2,Typha latifolia,Genus species,marsh
Keshta_et_al_2020,Wootons Landing Wetland Park,WLWP_LM_P3,Typha latifolia,Genus species,marsh
Keshta_et_al_2020,Wootons Landing Wetland Park,WLWP_HM_P1,Phragmites australis,Genus species,marsh
Keshta_et_al_2020,Wootons Landing Wetland Park,WLWP_HM_P2,Phragmites australis,Genus species,marsh
Keshta_et_al_2020,Wootons Landing Wetland Park,WLWP_HM_P3,Phragmites australis,Genus species,marsh
