study_id,core_length_flag,n,
Abbott_et_al_2019,core depth represents deposit depth,42,
Agawin_et_al_1996,NA,2,
Al-Rousan_et_al_2005,NA,9,
Amon_and_Herndl_1991,NA,4,
Apostolaki_unpublished,NA,8,
Arriola_and_Cable_2017,not specified,6,
Barron_et_al_2004,NA,12,
Borg_et_al_2010,NA,24,
Boschker_et_al_2000,NA,12,
Buffington_et_al_2020,not specified,1,
Burns_and_Swart_1992,NA,1,
Buzzelli_1998,NA,3,
Callaway_et_al_2019,core depth limited by length of corer,53,
Calleja_et_al_2007,NA,6,
Campbell_et_al_2015,NA,37,
Carruthers_et_al_2005,NA,3,
Cotner_et_al_2004,NA,4,
Danovaro_1996,NA,15,
Danovaro_and_Fabiano_1995,NA,1,
Danovaro_and_Gambi_2002,NA,13,
Danovaro_et_al_1994,NA,18,
De_Falco_et_al_2006,NA,3,
De_Iongh_et_al_1995,NA,3,
De_Troch_et_al_2006,NA,5,
Devereux_et_al_2011,NA,1,
Drexler_et_al_2013,core depth limited by length of corer,11,
Drexler_et_al_2019,core depth limited by length of corer,12,
Erftemeijer_and_Middelburg_1993,NA,2,
Eyre_and_Ferguson_2002,NA,2,
Figueiredo_da_Silva_et_al_2009,NA,21,
Fonseca_et_al_2011,NA,6,
Fourqurean_and_Kendrick_unpublished,NA,70,
Fourqurean_et_al_2010,NA,30,
Fourqurean_unpublished,NA,8,
Gacia_et_al_2002,NA,6,
Gillis_et_al_2017,NA,12,
Gonneea_et_al_2004,NA,8,
Gonneea_et_al_2018,core depth represents deposit depth,11,except Hamblin pond
Grady_1981,NA,10,
Grenz_et_al_2003,NA,2,
Hebert_et_al_2007,NA,4,
Hemminga_et_al_1994,NA,7,
Holmer_et_al_2003,NA,12,
Holmer_et_al_2007,NA,16,
Holmer_et_al_2009,NA,6,
Kairis_and_Rybczyk_2010,NA,1,
Kamp-Nielsen_et_al_2002,NA,67,
Kemp_et_al_2020,not specified,1,
Koch_and_Madden_2001,NA,2,
Krause-Jensen_et_al_2011,NA,42,
Krauss_et_al_2018a,not specified,3,
Krauss_et_al_2018b,not specified,1,
Krauss_et_al_2018c,not specified,4,
Kristensen_et_al_2000,NA,2,
Lagomasino_et_al_2020,not specified,6,
Larned_2003,NA,6,
Leduc_and_Probert_2011,NA,2,
Lee_et_al_2005,NA,3,
Lewis_et_al_2007,NA,26,
Lillebo_et_al_2006,NA,3,
Maher_and_Eyre_2010,NA,24,
Marba_unpublished,NA,7,
Mateo_and_Serrano_unpublished,NA,33,
Mateo_et_al_1997,NA,14,
Mateo_unpublished,NA,7,
McGlathery_et_al_2012,NA,8,
Mellors_et_al_2002,NA,7,
Messerschmidt_and_Kirwan_2020,not specified,2,
Miyajima_et_al_1998,NA,2,
Nahlik_and_Fennessy_2016,not specified,573,
Nolte_2020,not specified,16,
Oakes_and_Connolly_2004,NA,1,
Ooi_et_al_2011,NA,26,
Orem_et_al_1999,NA,8,
Osland_et_al_2016,NA,1019,
Paula_et_al_2001,NA,11,
Peck_et_al_2020,NA,79,
Pulich_1985,NA,2,
Qu_et_al_2006,NA,5,
Rigollet_et_al_2004,NA,24,
Rosenfeld_1979,NA,1,
Sanborn_and_Coxson_2020,not specified,33,
Schile-Beers_and_Megonigal_2017,core depth represents deposit depth,195,
Serrano_unpublished,NA,1,
Sfriso_and_Marcomini_1999,NA,1,
Smith_et_al_2015,NA,9,
Spivak_et_al_2009,NA,1,
Spruzen_et_al_2008,NA,12,
Thimdee_et_al_2003,NA,1,
Thom_1992,core depth limited by length of corer,10,
Thorne_et_al_2015,core depth limited by length of corer,24,
Townsend_and_Fonseca_1998,NA,15,
Trettin_et_al_2017,not specified,259,
Van_Engeland_2010,NA,2,
Vaughn_et_al_2020,full profiles omitted,6,
Vichkovitten_et_al_2005,NA,4,
Yamamuro_et_al_1993,NA,2,
Yarbro_and_Carlson_2008,NA,1,
