species_code,code_type,habitat,notes,recode_as
Algal Mat,description,algal mat,,
Surface Algae,description,algal mat,,
Acanthus ilicifolius,Genus species,mangrove,,
Aegiceras corniculatum,Genus species,mangrove,,
Avicennia africana,Genus species,mangrove,,
Avicennia alba,Genus species,mangrove,,
Avicennia corniculatum,Genus species,mangrove,,
Avicennia germinans,Genus species,mangrove,,
Avicennia marina,Genus species,mangrove,,
Avicennia marina; Sonneratia alba,Genus species,mangrove,this needs to be split up into different rows,
Avicennia officinalis,Genus species,mangrove,,
Avicennia schaueriana,Genus species,mangrove,,
Avicennia schauerianna,Genus species,mangrove,,
Avicennia spp,Genus,mangrove,,Avicennia spp.
Bruguiera cylindrica,Genus species,mangrove,,
Bruguiera gymnorrhiza,Genus species,mangrove,,
Bruguiera gymnorrhizal,Genus species,mangrove,misspelling,Bruguiera gymnorrhiza
Bruguiera parviflora,Genus species,mangrove,,
Bruguiera sexangula,Genus species,mangrove,,
Bruguierra gymnorhiza,Genus species,mangrove,misspelling,Bruguiera gymnorrhiza
Ceriops australis,Genus species,mangrove,,
Ceriops decanda,Genus species,mangrove,,
Ceriops tagal,Genus species,mangrove,,
Conocarpus erectus,Genus species,mangrove,,
Excoecaria agallocha,Genus species,mangrove,,
Heritiera littoralis,Genus species,mangrove,,
Kandela candel,Genus species,mangrove,misspelling,Kandelia candel
Kandelia candel,Genus species,mangrove,,
Kandelia obovata,Genus species,mangrove,,
Kandelia obvata,Genus species,mangrove,misspelling,Kandelia obovata
Laguncularia racemosa,Genus species,mangrove,,
Lumnitzera littorea,Genus species,mangrove,,
Lumnitzera racemosa,Genus species,mangrove,,
Lumnitzera racemose,Genus species,mangrove,misspelling,Lumnitzera racemosa
Peliciera rhizophorae,Genus species,mangrove,misspelling,Pelliciera rhizophorae
Pelliciera rhizophorae,Genus species,mangrove,,
Rhisophora mucronata,Genus species,mangrove,,
Rhizophora apiculata,Genus species,mangrove,,
Rhizophora mangle,Genus species,mangrove,,
Rhizophora mucronata,Genus species,mangrove,,
Rhizophora racemosa,Genus species,mangrove,,
Rhizophora spp,Genus,mangrove,,
Rhizophora stylosa,Genus species,mangrove,,
Rhizphora mangel,Genus species,mangrove,misspelling,Rhizophora mangle
Sonneratia alba,Genus species,mangrove,,
Sonneratia apelata,Genus species,mangrove,misspelling,Sonneratia apetala
Sonneratia apetala,Genus species,mangrove,,
Sonneratia caseolaris,Genus species,mangrove,,
Sonneratia lanceolata,Genus species,mangrove,,
Xylocarpus granatum,Genus species,mangrove,,
Achillea millefolium,Genus species,marsh,,
Acrostichium aureum,Genus species,marsh,mangrove fern,
Agrostis spp,Genus,marsh,,Agrostis spp.
Agrostis stolonifera,Genus species,marsh,,
Alternanthera philoxeroides,Genus species,marsh,,
Amaranthus cannabinus,Genus species,marsh,,
Ambrosia psilostachya,Genus species,marsh,,
Ambrosia trifida,Genus species,marsh,,
Ampelopsis arborea,Genus species,marsh,,
Andropogon spp,Genus,marsh,,Andropogon spp.
Angelica lucida,Genus species,marsh,,
Aristida beyrichiana,Genus species,marsh,,
Arrow arum.,Genus species,marsh,,Arrow arum
Asppagus officinalis,Genus species,marsh,,Asparagus officinalis
Aster tenuifolius,Genus species,marsh,,Symphyotrichum tenuifolium
Asteraceae spp,Family,marsh,,Asteraceae spp.
Athyrium filix-femina,Genus species,marsh,"fern, maybe swamp",
Batis maritima,Genus species,marsh,,
Bidens laevis,Genus species,marsh,,
Boehmeria cylindrica,Genus species,marsh,,
Bolboschoenus fluviatilis,Genus species,marsh,,
Bolboschoenus maritimus,Genus species,marsh,,
Borrichia frutescens,Genus species,marsh,,
Bromus pacificus,Genus species,marsh,,
Bulboschoenus robustus,Genus species,marsh,,
Carex atlantica,Genus species,marsh,,
Carex intumescens,Genus species,marsh,,
Carex lyngbyei,Genus species,marsh,,
Carex obnupta,Genus species,marsh,,
Carex pluriflora,Genus species,marsh,,
Carex spp,Genus,marsh,,Carex spp.
Carex trisperma,Genus species,marsh,,
Castilleja hyetophila,Genus species,marsh,,
Chrysopsis pilosa,Genus species,marsh,,
Cinna arundinacea,Genus species,marsh,,
Cirsium scariosum,Genus species,marsh,,
Cladium mariscus,Genus species,marsh,,
Conioselinum gmelinii,Genus species,marsh,,
Cotula coronopifolia,Genus species,marsh,,
Cuscuta salina,Genus species,marsh,epiphyte,
Cuscuta sp.,Genus,marsh,epiphyte,Cuscuta spp.
Cyperaceae spp,Family,marsh,,Cyperaceae spp.
Cyperus spp,Genus,marsh,,Cyperus spp.
Cyperus strigosus,Genus species,marsh,,
Deschampsia cespitosa,Genus species,marsh,,
Deschampsia cespptosa,Genus species,marsh,misspelling,Deschampsia cespitosa
Dichanthelium dichotomum,Genus species,marsh,,
Dichanthelium scoparium,Genus species,marsh,,
Dichanthelium spp,Genus,marsh,,Dichanthelium spp.
Distichlis spicata,Genus species,marsh,,
Distichlis sppcata,Genus species,marsh,misspelling,Distichlis spicata
Dryopteris intermedia,Genus species,marsh,,
Echinochloa spp,Genus,marsh,,Echinochloa spp.
Echinochloa walteri,Genus species,marsh,,
Eleocharis cellulosa,Genus species,marsh,,
Eleocharis palustris,Genus species,marsh,,
Eleocharis spp.,Genus,marsh,,
Elymus athericus,Genus species,marsh,,
Eupatorium capillifolium,Genus species,marsh,,
Euthamia leptocephala,Genus species,marsh,,
Festuca rubra,Genus species,marsh,,
