Plot ID,Tree Number,Species Code,DBH-live (cm),DBH-Dead (cm),Dead Code,Crown Width (m),Height (m)
102,1,5,6.7,,,,7.7
102,2,5,8.4,,,,5.7
102,3,5,9.1,,,,7.4
102,4,5,7.5,,,,4.7
102,5,5,12.7,,,,9.7
102,6,5,,13.7,3,,4.3
102,7,5,12.8,,,,8.9
102,8,5,10.16,,,,5.1
102,9,5,8.9,,,,7.8
102,10,5,6.4,,,,5.2
102,11,5,19.4,,,,11.4
102,12,5,7.3,,,,6.9
102,13,5,13.7,,,,10.6
102,14,5,9.3,,,,9
102,15,5,7.5,,,,9.2
102,16,5,11.6,,,,10.9
102,17,5,5.2,,,,6.1
102,18,5,7.4,,,,8.1
102,19,5,13.2,,,,8.6
102,20,5,8.1,,,,7.9
102,21,5,13.8,,,,12.9
102,22,5,6.2,,,,6.2
102,23,5,10.1,,,,9.7
102,31,5,7.5,,,,7.4
102,32,5,7.6,,,,7.5
102,33,5,15.9,,,,14.7
102,34,5,7.2,,,,6.5
102,35,5,5.9,,,,5.9
102,36,5,12.4,,,,11.7
102,37,5,7.1,,,,7
102,38,5,15.8,,,,14.6
102,39,5,8,,,,7.8
102,40,5,11.5,,,,10.9
102,41,5,5.1,,,,5.2
102,42,5,6,,,,6
102,43,5,8.2,,,,8
102,44,5,8,,,,7.8
102,45,5,6.2,,,,6.2
102,46,5,8.1,,,,7.9
102,47,5,6.3,,,,6.3
102,48,5,8.5,,,,8.3
102,49,5,5.1,,,,5.9
102,50,5,13.1,,,,12.3
102,51,5,8.9,,,,8.6
102,52,5,10.3,,,,9.9
107,1,3,9.3,,,,9.8
107,2,3,7.6,,,,6.9
107,3,3,8.1,,,,7.3
107,4,3,11.7,,,,9.3
107,5,3,10.5,,,,9.4
107,6,3,9.3,,,,8.4
107,7,3,9.6,,,,9.4
107,8,3,11.4,,,,12.4
107,9,3,9,,,,10.2
107,10,3,18.8,,,,10.1
107,11,3,6.3,,,,8.5
107,12,3,8,,,,9.3
107,13,3,8.5,,,,8.9
107,14,3,8,,,,8.8
107,15,3,5.8,,,,7.9
107,16,3,6.5,,,,8.6
107,17,3,6.2,,,,5.1
107,18,3,5.5,,,,7.3
107,19,3,6,,,,10.6
107,20,3,10.2,,,,10.6
107,21,3,9.1,,,,9.6
107,22,3,7.8,,,,9.2
107,23,3,5.2,,,,8.8
107,24,3,11.1,,,,8.1
107,25,3,7.3,,,,9.2
107,26,3,5.6,,,,6.6
107,27,3,7.6,,,,8.4
107,28,3,9.5,,,,9.6
107,29,3,15.8,,,,12.1
107,30,3,16,,,,12
107,31,3,6.2,,,,7.2
