Sample #,Plot ID,Interval,Db (g/cm3),Total %C,Total %N,Depth (cm)
P53,305,2A,0.184973404,21.37496458,0.708568319,15-30
P54,305,3A,0.236702128,15.57238017,0.55101927,30-45
P55,305,4A,0.29787234,7.473060004,0.217289297,45-110
P56,305,5A,0.633599291,3.445373461,0.140172184,110-180
P57,306,1A,0.151477541,30.17399505,1.025217598,0-15
P58,306,2A,0.151551418,28.38600148,0.880327137,15-30
P59,306,3A,0.18054078,23.67557798,0.698889925,30-45
P60,306,4A,0.234796099,13.96064318,0.487653849,45-110
P61,306,5A,0.283466312,10.13284301,0.393731697,110-180
P62,306,6A,0.276329787,11.43608093,0.42824685,180-200
P63,307,1A,0.153664303,21.18897884,0.865059689,0-15
P64,307,2A,0.175265957,22.59367823,0.750584478,15-30
P65,307,3A,0.166090426,17.84446447,0.631641083,30-45
P66,307,4A,0.212278369,16.5247989,0.548877636,45-110
P67,307,5A,0.41077044,10.65792345,0.401291874,110-180
P68,307,6A,0.391680961,7.599256119,0.328810012,180-200
P69,308,1A,0.212647754,17.63315989,0.757494575,0-15
P70,308,2A,0.18856383,16.71143073,0.651320642,15-30
P71,308,3A,0.182092199,15.74998966,0.607338458,30-45
P72,308,4A,0.239804965,15.61311927,0.555752288,45-110
P73,308,5A,0.251374113,10.90681771,0.4547723,110-180
P74,308,6A,0.33643617,8.932002447,0.3942938,180-200
P75,901,1A,0.213297872,24.59841876,0.6401101,0-15
P76,901,2A,0.250975177,21.53440522,0.5196915,15-30
P77,901,3A,0.381427305,15.85426813,0.3683046,30-45
P78,901,4A,0.407712766,9.73718143,0.2685098,45-110
P79,901,5A,0.357579787,8.553057038,0.2652244,110-180
P80,901,6A,0.407358156,5.779655353,0.2369064,180-200
P81,902,1A,0.314125296,14.49307389,0.3597819,0-15
P82,902,2A,0.383289007,9.956166821,0.2177907,15-30
P83,902,3A,0.447251773,8.753526266,0.1915657,30-45
P84,902,4A,0.485416667,6.739304686,0.1700469,45-110
P85,902,5A,0.454875887,6.271905685,0.166104426,110-180
P86,902,6A,0.444237589,4.274556839,0.150982036,180-200
P87,904,1A,0.324172577,12.42412921,0.33517676,0-15
P88,904,2A,0.286746454,12.9268271,0.241458577,15-30
P89,904,3A,0.374069149,9.764348063,0.200369251,30-45
P90,904,4A,0.446409574,8.706293068,0.213889016,45-110
P91,904,5A,0.402859043,5.971675504,0.183393277,110-180
P92,904,6A,0.453656915,4.311023983,0.144128169,180-200
P93,905,1A,0.145921986,25.8255222,0.896327685,0-15
P94,905,2A,0.176108156,24.47636111,0.784600378,15-30
P95,905,3A,0.199246454,22.7692486,0.728574971,30-45
P96,905,4A,0.249556738,18.69177269,0.622732331,45-110
P97,905,5A,0.360150709,8.154801357,0.372174926,110-180
P98,905,6A,0.35212766,8.237629961,0.344168085,180-200
