Sample #,Plot ID,Interval,Db (g/cm3),Total %C,Total %N,Depth (cm)
P1,102,1A,0.171631206,22.25347429,0.6132378,0-15
P2,102,2A,0.226728723,24.81316197,0.5857878,15-30
P3,102,3A,0.270124113,23.20231589,0.5693034,30-45
P4,102,4A,0.416046099,8.733264398,0.2489591,45-110
P5,102,5A,0.526728723,6.43085633,0.2168745,110-180
P6,102,6A,0.503324468,4.916748461,0.1952999,180-200
P7,107,1A,0.199349882,23.6541458,0.6063211,0-15
P8,107,2A,0.242819149,26.17047139,0.5840347,15-30
P9,107,3A,0.319946809,15.98502511,0.3982157,30-45
P10,107,4A,0.298492908,12.82763001,0.394647,45-110
P11,107,5A,0.393794326,5.577795739,0.2110122,110-180
P12,107,6A,0.43927305,5.467005011,0.195561,180-200
P13,109,1A,0.348463357,13.84026327,0.5725485,0-15
P14,109,2A,0.341755319,13.89993356,0.5435824,15-30
P15,109,3A,0.372960993,9.175426344,0.4239889,30-45
P16,109,4A,0.411702128,7.379901703,0.2709175,45-110
P17,109,5A,0.306870567,11.95306636,0.3587395,110-180
P18,109,6A,0.421054965,6.633023168,0.2725901,180-200
P19,110,1A,0.22570922,13.46529257,0.5189695,0-15
P20,110,2A,0.250044326,14.13814444,0.5245116,15-30
P21,110,3A,0.263297872,13.82012259,0.5049046,30-45
P22,110,4A,0.272340426,15.548508,0.4333228,45-110
P23,110,5A,0.319902482,14.22827515,0.4086094,110-180
P24,110,6A,0.449069149,6.813211505,0.2554137,180-200
P25,111,1A,0.363297872,8.258406549,0.4384357,0-15
P26,111,2A,0.330452128,8.864058504,0.4353969,15-30
P27,111,3A,0.377836879,7.071050069,0.3551626,30-45
P28,111,4A,0.403856383,6.943311234,0.3159986,45-110
P29,111,5A,0.378590426,7.890763837,0.3086126,110-180
P30,111,6A,0.37947695,5.272406556,0.2403786,180-200
P31,112,1A,0.257328605,12.35555332,0.5261793,0-15
P32,112,2A,0.31768617,9.938662862,0.3802148,15-30
P33,112,3A,0.353989362,8.680396807,0.3436209,30-45
P34,112,4A,0.399955674,7.664509935,0.2749801,45-110
P35,112,5A,0.475842199,8.36181115,0.2553412,110-180
P36,112,6A,0.455629433,6.69235783,0.2555176,180-200
P37,301,1A,0.242375887,24.83110667,0.741661715,0-15
P38,301,2A,0.227349291,22.04672817,0.451579043,15-30
P39,301,3A,0.243423598,15.74295829,0.303641268,30-45
P40,301,4A,0.263076241,9.984088545,0.235407021,45-110
P41,302,1A,0.367612293,10.58260066,0.270529911,0-15
P42,302,2A,0.506781915,6.256265037,0.119793296,15-30
P43,302,3A,0.634840426,4.84216333,0.097102839,30-45
P44,302,4A,0.673005319,5.552387433,0.115578644,45-110
P45,302,5A,0.954787234,2.470498899,0.052576828,110-180
P46,303,1A,0.208510638,20.78445217,0.703823514,0-15
P47,303,2A,0.251595745,22.09742108,0.51093681,15-30
P48,303,3A,0.251529255,17.17442483,0.386929361,30-45
P49,303,4A,0.349667553,11.13182079,0.259568231,45-110
P50,303,5A,0.368284574,11.74007525,0.251019717,110-180
P51,303,6A,0.303523936,21.5208818,0.288724371,180-200
P52,305,1A,0.168971631,26.72886357,0.97315047,0-15
