Plot ID,Tree Number,Species Code,DBH-live (cm),DBH-Dead (cm),Dead Code,Height (m)
102,,,,,,
107,,,,,,
109,,,,,,
110,1,5,1.5,,,2.6
110,2,5,2.6,,,4.5
110,3,5,1.7,,,3
110,4,5,,1.6,2,3
110,5,5,3.3,,,4.5
110,6,5,1.9,,,3.2
110,7,5,2.2,,,3.7
111,1,3,3.1,,,3.7
112,1,3,3.9,,,6.3
301,,,,,,
302,,,,,,
303,,,,,,
305,,,,,,
306,,,,,,
307,,,,,,
308,,,,,,
901,1,5,2,,,1.9
902,,,,,,
904,,,,,,
905,1,5,1.7,,,3.2
