"MaterialDated","Age","SampleID","Depth","AgeType","ErrorOlder","GeochronType","Delta13C","LabNumber","ErrorYounger","Notes","Infinite","Thickness"
seeds,0,261182,9,Radiocarbon years BP,,Carbon-14,,WW-9340,,>Modern,false,1
seeds,185,261183,24,Radiocarbon years BP,30,Carbon-14,,WW-9341,30,,false,1
bulk organic, picked free of roots,220,261184,31,Radiocarbon years BP,30,Carbon-14,,Beta-353945,30,,false,1
bulk organic, picked free of roots,40,261185,39,Radiocarbon years BP,30,Carbon-14,,Beta-352947,30,,false,1
seeds,520,261186,51,Radiocarbon years BP,30,Carbon-14,,WW-9342,30,,false,1
seeds,1180,261187,74,Radiocarbon years BP,30,Carbon-14,,WW-9343,30,,false,1
