"name","group","element","units","context","S261188","S261189","S261190","S261191","S261192","S261193","S261194","S261195","S261196","S261197","S261198","S261199","S261200","S261201","S261202","S261203","S261204","S261205","S261206","S261207","S261208","S261209","S261210","S261211","S261212","S261213","S261214","S261215","S261216","S261217","S261218","S261219","S261220","S261221","S261222","S261223","S261224","S261225","S261226","S261227","S261228","S261229","S261230","S261231","S261232","S261233","S261234","S261235","S261236","S261237","S261238","S261239","S261240","S261241","S261242","S261243","S261244","S261245","S261246","S261247","S261248","S261249","S261250","S261251","S261252","S261253","S261254","S261255","S261256","S261257","S261258","S261259","S261260","S261261","S261262","S261263","S261264","S261265","S261266","S261267","S261268","S261269","S261270","S261271"
AnalysisUnitName,,,,,0-1 cm,1-2 cm,2-3 cm,3-4 cm,4-5 cm,5-6 cm,6-7 cm,7-8 cm,8-9 cm,9-10 cm,10-11 cm,11-12 cm,12-13 cm,13-14 cm,14-15 cm,15-16 cm,16-17 cm,17-18 cm,18-19 cm,19-20 cm,20-21 cm,21-22 cm,22-23 cm,23-24 cm,24-25 cm,25-26 cm,26-27 cm,27-28 cm,28-29 cm,29-30 cm,30-31 cm,31-32 cm,32-33 cm,33-34 cm,34-35 cm,36-37 cm,37-38 cm,38-39 cm,39-40 cm,40-41 cm,41-42 cm,42-43 cm,43-44 cm,44-45 cm,45-46 cm,46-47 cm,47-48 cm,48-49 cm,49-50 cm,50-51 cm,52-53 cm,53-54 cm,54-55 cm,55-56 cm,56-57 cm,57-58 cm,58-59 cm,59-60 cm,60-61 cm,61-62 cm,62-63 cm,63-64 cm,64-65 cm,65-66 cm,66-67 cm,67-68 cm,68-69 cm,69-70 cm,70-71 cm,71-72 cm,72-73 cm,73-74 cm,74-75 cm,75-76 cm,76-77 cm,77-78 cm,78-79 cm,79-80 cm,80-81 cm,81-82 cm,82-83 cm,83-84 cm,84-85 cm,85-86 cm
Depth,,,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,261188,261189,261190,261191,261192,261193,261194,261195,261196,261197,261198,261199,261200,261201,261202,261203,261204,261205,261206,261207,261208,261209,261210,261211,261212,261213,261214,261215,261216,261217,261218,261219,261220,261221,261222,261223,261224,261225,261226,261227,261228,261229,261230,261231,261232,261233,261234,261235,261236,261237,261238,261239,261240,261241,261242,261243,261244,261245,261246,261247,261248,261249,261250,261251,261252,261253,261254,261255,261256,261257,261258,261259,261260,261261,261262,261263,261264,261265,261266,261267,261268,261269,261270,261271
Jones et al. 2017,Calibrated radiocarbon years BP,,,,-19/-47/-61,23/-33/-60,37/-18/-53,64/-3/-49,77/11/-38,97/26/-32,110/41/-19,127/55/-11,137/70/4,155/84/13,165/99/31,180/114/41,188/129/60,201/143/72,207/158/95,219/173/109,225/187/135,235/201/152,241/214/174,255/227/185,264/236/192,279/244/195,286/253/202,297/262/207,304/271/213,317/280/219,337/291/228,368/302/237,380/312/248,401/323/256,411/334/268,426/344/276,438/356/289,459/367/295,469/380/305,497/406/322,513/419/329,523/432/341,539/444/349,548/457/363,562/470/372,570/482/385,584/495/395,591/507/409,603/519/420,611/532/436,623/545/447,630/558/464,641/570/476,648/583/492,668/610/526,689/625/537,719/645/553,763/665/561,787/686/579,821/705/591,842/726/610,872/746/624,892/766/646,921/787/660,937/807/683,961/827/698,980/847/720,1004/867/735,1018/887/761,1041/908/776,1056/928/799,1078/949/816,1091/969/844,1115/989/862,1128/1009/892,1148/1029/913,1161/1050/946,1180/1070/969,1197/1086/987,1220/1102/998,1238/1118/1010,1262/1132/1018,1279/1148/1031,1301/1163/1041,1319/1179/1052,1343/1194/1061,1360/1209/1072,1383/1223/1081
bulk density,PSED,,g/ml,,0.2727,0.1469,0.3259,0.2571,0.2504,0.2322,0.2619,0.1782,0.1497,0.146,0.0623,0.1925,0.1704,0.2007,0.259,0.169,0.3262,1.0073,0.5105,0.4279,0.2257,0.6642,0.2583,0.3478,0.387,0.0899,0.2368,0.6337,0.1791,0.5037,0.2925,0.281,0.435,0.0772,0.2486,0.1487,0.1786,0.2044,0.7094,0.218,0.6285,0.0932,0.125,0.3915,0.1388,0.549,0.4229,0.3352,0.4469,0.4004,0.2522,0.5431,0.2176,0.5698,0.6325,0.1615,0.4097,0.4334,0.9141,0.3532,0.8061,0.5078,0.4346,0.2779,0.1738,0.3053,0.3346,0.1847,0.3385,0.4215,0.3636,0.088,0.0652,0.0582,0.0786,0.1252,0.1034,0.1548,0.2373,0.3028,0.2379,0.1642,0.15,0.1937
loss-on-ignition,PLOI,550°C,percent,,41.83,44.872,53.158,58.621,60.993,59.504,55.797,59.14,62.963,72.152,74.286,66.99,66.304,59.459,54.745,58.333,24.405,24.772,25.468,25.67,24.39,25.138,24.286,22.727,24.257,42.857,40.741,23.41,25.275,19.343,21.25,23.926,22.822,21.951,22.727,36.145,24.211,22.523,22.606,24.561,22.956,28.846,20.548,29.577,28.571,22.727,25.322,22.951,22.541,22.172,21.831,21.905,24.37,21.895,21.676,20.238,21.586,21.645,22.338,23.913,30.66,27.692,29.719,31.293,34.021,40.385,44.767,57.692,44.318,41.981,51.531,55.026,54.225,50.407,41.358,47.94,38.136,40.729,38.889,42.162,39.855,42.697,39.744,34.694
