"name","group","element","units","context","S260779","S260780","S260781","S260782","S260783","S260784","S260785","S260786","S260787","S260788","S260789","S260790","S260791","S260792","S260793","S260794","S260795","S260796","S260797","S260798","S260799","S260800","S260801","S260802","S260803","S260804","S260805","S260806","S260807","S260808","S260809"
AnalysisUnitName,,,,,2-3 cm,3-4 cm,7-8 cm,9-10 cm,12-13 cm,15-16 cm,17-18 cm,20-21 cm,22-23 cm,25-26 cm,27-28 cm,30-31 cm,32-33 cm,35-36 cm,37-38 cm,40-41 cm,42-43 cm,45-46 cm,47-48 cm,50-51 cm,52-53 cm,55-56 cm,57-58 cm,60-61 cm,62-63 cm,65-66 cm,67-68 cm,70-71 cm,72-73 cm,75-76 cm,77-78 cm
Depth,,,,,2,3,7,9,12,15,17,20,22,25,27,30,32,35,37,40,42,45,47,50,52,55,57,60,62,65,67,70,72,75,77
Thickness,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sample Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ID,,,,,260779,260780,260781,260782,260783,260784,260785,260786,260787,260788,260789,260790,260791,260792,260793,260794,260795,260796,260797,260798,260799,260800,260801,260802,260803,260804,260805,260806,260807,260808,260809
Jones et al. 2017,Calibrated radiocarbon years BP,,,,39/-16/-52,68/-1/-47,131/58/-10,158/86/14,190/131/62,220/175/112,234/203/157,260/235/209,281/252/229,378/301/249,434/340/271,516/403/326,618/469/394,1076/789/517,1235/1061/802,1363/1191/970,1433/1251/1040,1534/1339/1127,1588/1399/1193,1663/1487/1287,1715/1546/1352,1786/1634/1445,1830/1692/1520,1884/1779/1658,1930/1836/1722,2051/1916/1789,2117/1971/1834,2192/2049/1912,2244/2103/1962,2316/2172/2018,2350/2207/2047
bulk density,PSED,,g/ml,,1.34,0.34,1.5,0.59,1.16,1.02,1.69,0.95,1.75,1.31,1.61,0.73,1.14,0.8,1.04,0.72,1.27,0.82,1.48,1.31,1.53,1.44,2.15,1.7,1.72,1.52,2.07,1.1,1.14,1.08,0.78
loss-on-ignition,PLOI,550°C,percent,,31.343,30.693,29.333,30.508,31.034,25.49,23.622,24.211,24,22.137,21.488,23.288,29.825,30,40.385,27.778,24.409,21.951,22.297,20.611,22.876,22.917,22.791,28.235,27.326,28.947,28.019,34.545,44.737,40.741,58.974
