study_id,bibliography_id,publication_type,bibtype,title,author,doi,url,year
Sharma_et_al_2021,Sharma_et_al_2021_kohkoh_data_biomass,primary dataset,Misc,Dataset-Mangrove Biomass Vegetation-Koh Kong-2014-15,Sharma Sahadev and MacKenzie Richard A and Tieng Thida and Soben Kim and Tulyasuwan Natcha and Resanond Amomwan and Blate Geoffrey and Litton Creighton M. and Apwong Maybeleen,10.17528/cifor/data.00261,https://doi.org/10.17528/cifor/data.00261,2021
Sharma_et_al_2021,Sharma_et_al_2021_preynob_data_biomass,primary dataset,Misc,Dataset-Mangrove Biomass Vegetation-Prey Nob-2015,Sharma Sahadev and MacKenzie Richard A and Tieng Thida and Soben Kim and Tulyasuwan Natcha and Resanond Amomwan and Blate Geoffrey and Litton Creighton M. and Apwong Maybeleen,10.17528/cifor/data.00255,https://doi.org/10.17528/cifor/data.00255,2021
MacKenzie_et_al_2021,MacKenzie_et_al_2021_catanauan_data_biomass,primary dataset,Misc,Dataset-Mangrove Biomass Vegetation-Catanauan-2014,MacKenzie Richard A and Apwong Maybeleen and Castillo Alan,10.17528/cifor/data.00253,https://doi.org/10.17528/cifor/data.00253,2021
Bukoski_et_al_2020,Bukoski_et_al_2020_krabi_data_biomass,primary dataset,Misc,Dataset-Mangrove Biomass Vegetation-Krabi River Estuary-2015,Bukoski Jacob J. and Elwin Angie,10.17528/cifor/data.00218,https://doi.org/10.17528/cifor/data.00218,2020
Bukoski_et_al_2020,Bukoski_et_al_2020_pak_data_biomass,primary dataset,Misc,Dataset-Mangrove Biomass Vegetation-Pak Panang Mangrove-2015,Bukoski Jacob J.,10.17528/cifor/data.00242,https://doi.org/10.17528/cifor/data.00242,2020
Bukoski_et_al_2020,Bukoski_et_al_2020_palian_data_biomass,primary dataset,Misc,Dataset-Mangrove Biomass Vegetation-Palian River Estuary-2013,MacKenzie Richard A. and Apwong Maybeleen and Purbopuspito Joko and Bukoski Jacob J.,10.17528/cifor/data.00241,https://doi.org/10.17528/cifor/data.00241,2020
Trettin_et_al_2020,Trettin_et_al_2020_data_biomass,primary dataset,Misc,Dataset-Mangrove biomass vegetation-Rufiji River Delta-2016,Trettin Carl and Dai Zhaohua and Mangora Mwita and Lagomasino David and Seung Kuk Lee David and Tang Wenwu and Fatoyinbo Temilola,10.17528/cifor/data.00219,https://doi.org/10.17528/cifor/data.00219,2020
Trettin_et_al_2020,Trettin_et_al_2020_zambezi_data_biomass,primary dataset,Misc,Dataset-Mangrove biomass vegetation-Zambezi River Delta-2012,Trettin Carl and Stringer Christina and Tang Wenwu and Macamo Celia and Bandeira Salomão and Nicolau Denise and Macuacua Joaqu\'\im and Fatoyinbo Temilola and Simard Marc,10.17528/cifor/data.00217,https://doi.org/10.17528/cifor/data.00217,2020
MacKenzie_et_al_2021,MacKenzie_et_al_2021_catanauan_data_soil,primary dataset,Misc,Dataset-Mangrove Soil Carbon-Catanauan-2014,MacKenzie Richard A and Apwong Maybeleen and Castillo Alan,10.17528/cifor/data.00262,https://doi.org/10.17528/cifor/data.00262,2021
Sharma_et_al_2021,Sharma_et_al_2021_kohkoh_data_soil,primary dataset,Misc,Dataset-Mangrove Soil Carbon-Koh Kong-2014-15,Sharma Sahadev and MacKenzie Richard A and Tieng Thida and Soben Kim and Tulyasuwan Natcha and Resanond Amomwan and Blate Geoffrey and Litton Creighton M. and Apwong Maybeleen,10.17528/cifor/data.00265,https://doi.org/10.17528/cifor/data.00265,2021
