study_id,site_id,plot_id,plot_area,plot_shape,plot_center_latitude,plot_center_longitude,elevation,year,month,day,field_or_manipulation_code,geomorphic_id,habitat,dominant_species,mean_height,plant_plot_detail_present
Bukoski_et_al_2020,Krabi_River_Estuary_178,Krabi_River_Estuary_178_563,153.94,circular,8.03622611554645,98.9533802915835,NA,2015,5,26,field,Coastal fringe,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_178,Krabi_River_Estuary_178_564,153.94,circular,8.03609046329525,98.9536525652877,NA,2015,5,26,field,Interior,mangrove,Bruguiera cylindrica,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_178,Krabi_River_Estuary_178_565,153.94,circular,8.03600908203993,98.953906682146,NA,2015,5,26,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_178,Krabi_River_Estuary_178_566,153.94,circular,8.03590959942916,98.9540700482334,NA,2015,5,26,field,Interior,mangrove,Avicennia alba,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_178,Krabi_River_Estuary_178_567,153.94,circular,8.03584629586342,98.9542061843819,NA,2015,5,26,field,Interior,mangrove,Excoecaria agallocha,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_179,Krabi_River_Estuary_179_568,153.94,circular,8.05802464480267,98.9438119478234,NA,2015,5,27,field,Coastal fringe,mangrove,Xylocarpus moluccensis,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_179,Krabi_River_Estuary_179_569,153.94,circular,8.05807893533687,98.9439390010028,NA,2015,5,27,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_179,Krabi_River_Estuary_179_570,153.94,circular,8.05831414744865,98.94414771128,NA,2015,5,27,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_179,Krabi_River_Estuary_179_571,153.94,circular,8.05830514137564,98.9444381370608,NA,2015,5,27,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_179,Krabi_River_Estuary_179_572,153.94,circular,8.05841370486154,98.9445651830266,NA,2015,5,27,field,Interior,mangrove,Avicennia alba,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_180,Krabi_River_Estuary_180_573,153.94,circular,8.06934131918001,98.949383058091,NA,2015,5,28,field,Interior,mangrove,Xylocarpus granatum,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_180,Krabi_River_Estuary_180_574,153.94,circular,8.0695131750807,98.9493104285659,NA,2015,5,28,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_180,Krabi_River_Estuary_180_575,153.94,circular,8.06969407423622,98.9492196458073,NA,2015,5,28,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_180,Krabi_River_Estuary_180_576,153.94,circular,8.06985687217486,98.9490471810035,NA,2015,5,28,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_180,Krabi_River_Estuary_180_577,153.94,circular,8.0699563638522,98.948974560321,NA,2015,5,28,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_181,Krabi_River_Estuary_181_578,153.94,circular,8.04104634351756,98.9449577852693,NA,2015,5,30,field,Interior,mangrove,Rhizophora apiculata,NA,yes
Bukoski_et_al_2020,Krabi_River_Estuary_181,Krabi_River_Estuary_181_579,153.94,circular,8.04093777522255,98.9447944430552,NA,2015,5,30,field,Interior,mangrove,Rhizophora apiculata,NA,yes
