Site,Status,ID,Date,Lat,Lon,Depth,Elevation,DBD,210Pb,210Pb_e,226Ra,226Ra_e,210Pbex,210Pbex_e,137Cs,137Cs_e,7Be,7Be_e,wtC,wtN,13C,15N,Age,Age_e,VAR,MAR,CAR,Year,Year_restored
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,0,129.8,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,   ,   ,  ,,,2015.5,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,0.5,129.3,0.2516,14.7254,0.3652,0.7046,0.0874,14.0207,0.3755,0,0,3.5317,0.4376,19.94,1.18,-15.65,4.08,2.7,0.8,3.7,918,183,2012.8,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,1.5,128.3,0.196,7.6401,0.2972,0.6829,0.0788,6.9572,0.3075,0,0,0.8368,0.2541,27.59,1.31,-15.66,3.73,3.9,0.8,8.9,1743,481,2011.6,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,2.5,127.3,0.2018,7.0697,0.3097,0.5074,0.0782,6.5623,0.3194,0,0,0,0,    ,    ,    ,    ,5,0.8,8.8,1784,,2010.5,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,3.5,126.3,0.2323,6.8891,0.31,0.4454,0.0701,6.4437,0.3178,0,0,0,0,    ,    ,    ,    ,6.3,0.8,7.5,1748,,2009.2,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,4.5,125.3,0.1504,5.8642,0.4193,0.1635,0.0668,5.7006,0.4246,0,0,0,0,28.42,1.07,    ,    ,7.1,0.9,12.7,1912,543,2008.4,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,5.5,124.3,0.1885,5.5893,0.3314,0.7891,0.1229,4.8002,0.3535,0,0,0,0,    ,    ,    ,    ,8,0.9,11.7,2214,,2007.5,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,6.5,123.3,0.1912,5.9503,0.3035,0.2725,0.0716,5.6778,0.3118,0,0,0,0,28.84,1.26,-15.65,2.86,9,0.9,9.5,1817,524,2006.5,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,7.5,122.3,0.1611,10.9207,0.4357,0.4307,0.0815,10.4899,0.4433,0,0,0,0,    ,    ,    ,    ,10.7,0.9,5.8,942,,2004.8,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,8.5,121.3,0.1837,15.0626,0.4971,0.5,0,14.5626,0.4971,0,0,0,0,29.02,1.22,-15.74,3,13.6,1,3.4,632,183,2001.9,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,9.5,120.3,0.1216,14.3598,0.5787,0.3703,0.1183,13.9895,0.5907,0,0,0,0,    ,    ,    ,    ,15.6,1.1,5,609,,1999.9,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,10.5,119.3,0.1619,13.7936,0.4648,0.3684,0.088,13.4251,0.4731,0,0,0,0,    ,    ,    ,    ,18.4,1.1,3.6,590,,1997.1,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,11.5,118.3,0.1489,10.3268,0.4007,0.4139,0.0887,9.913,0.4104,0,0,0,0,    ,    ,    ,    ,20.4,1.2,5,742,,1995.1,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,12.5,117.3,0.1266,10.6283,0.5006,0.649,0.1122,9.9793,0.513,0,0,0,0,32.92,1.1,-15.47,2.69,22.2,1.3,5.5,694,229,1993.3,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,13.5,116.3,0.1228,14.636,0.6323,0.4737,0.1421,14.1623,0.6481,0,0,0,0,    ,    ,    ,    ,24.9,1.4,3.7,456,,1990.6,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,14.5,115.3,0.1481,17.1501,0.4939,0.5119,0.0933,16.6382,0.5027,0.6204,0.0769,0,0,28.6,1.07,    ,    ,29.1,1.6,2.4,349,100,1986.4,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,15.5,114.3,0.1704,22.9789,0.6043,0.4799,0.4011,22.499,0.7253,1.1379,0.1012,0,0,    ,    ,    ,    ,37.1,2,1.3,214,,1978.4,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,16.5,113.3,0.1702,15.8666,0.4982,0.5,0.2848,15.3666,0.5739,1.1895,0.1205,0,0,26.51,1.36,-15.04,2.53,44,2.5,1.5,248,66,1971.5,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,17.5,112.3,0.1915,8.8243,0.3865,0.717,0.2799,8.1073,0.4772,2.5506,0.1104,0,0,    ,    ,    ,    ,48.9,2.9,2,392,,1966.6,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,18.5,111.3,0.1449,6.3128,0.4741,0.5,0.0991,5.8128,0.4844,0,0,0,0,31.41,1.19,    ,    ,51.9,3.2,3.3,483,152,1963.6,
Quivett,Natural,QCNA,6/3/2015,41.74713,-70.14275,19.5,110.3,0.1243,1.5748,0.3421,0.733,0.0313,0.8418,0.3435,1.3453,0.1231,0,0,    ,    ,    ,    ,52.3,3.2,  ,,,1963.3,
