study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,cs137_unit,excess_pb210_activity,excess_pb210_activity_se,pb210_unit
Wang_et_al_2023,Big_Egg,Big_Egg,single set of methods,2,4,0.27,0.4036,0.153,0.21,0.06,dpm/g,3.2,0.23,dpm/g
Wang_et_al_2023,Big_Egg,Big_Egg,single set of methods,8,10,0.3,0.4311,0.17600000000000002,0.00,0,dpm/g,2.63,0.26,dpm/g
Wang_et_al_2023,Big_Egg,Big_Egg,single set of methods,10,12,0.28,0.4336,0.18600000000000003,0.15,0.08,dpm/g,2.53,0.22,dpm/g
Wang_et_al_2023,Big_Egg,Big_Egg,single set of methods,16,18,0.17,0.47700000000000004,0.17989999999999998,0.20,0.08,dpm/g,0.42,0.11,dpm/g
Wang_et_al_2023,Big_Egg,Big_Egg,single set of methods,18,20,0.1,0.493,0.193,0.19,0.08,dpm/g,0.56,0.11,dpm/g
Wang_et_al_2023,Big_Egg,Big_Egg,single set of methods,20,22,0.16,0.4997,0.1953,0.39,0.09,dpm/g,0.45,0.14,dpm/g
Wang_et_al_2023,Big_Egg,Big_Egg,single set of methods,22,24,0.19,0.4657,0.1592,0.52,0.09,dpm/g,0.69,0.15,dpm/g
Wang_et_al_2023,Big_Egg,Big_Egg,single set of methods,26,28,0.15,0.4562,0.1609,0.32,0.09,dpm/g,0,0,dpm/g
Wang_et_al_2023,Big_Egg,Big_Egg,single set of methods,32,34,0.13,0.4523,0.12179999999999999,0.00,0,dpm/g,0,0,dpm/g
Wang_et_al_2023,Big_Egg,Big_Egg,single set of methods,34,36,0.14,0.405,0.155,0.00,0,dpm/g,0,0,dpm/g
Wang_et_al_2023,Big_Egg,Big_Egg,single set of methods,36,38,0.26,0.3465,0.1482,0.00,0,dpm/g,0,0,dpm/g
Wang_et_al_2023,Big_Egg,Big_Egg,single set of methods,38,40,0.22,0.2762,0.1247,0.00,0,dpm/g,0,0,dpm/g
