Region,Habitat,Core ID,Latitude_N,Longitude_E,Depth_cm,Corg_perc_mean,Corg_perc_se,BD_g_cm3_mean,BD_g_cm3_se
Safaniya,Seagrass,SSGC1,27.97364,48.77404,109,0.54,0.03,1.3,0.03
Safaniya,Seagrass,SSGC2,27.97679,48.77877,90,0.56,0.01,1.3,0.02
Safaniya,Seagrass,SSGC3,27.98142,48.78462,110,0.5,0.04,1.1,0.02
Abu-Ali,Mangrove,AAMGC1,27.28603,49.56685,102,0.36,0.02,1.4,0.02
Abu-Ali,Mangrove,AAMGC2,27.28384,49.56403,103,0.39,0.02,1.3,0.03
Abu-Ali,Mangrove,AAMGC3,27.28283,49.56523,103,0.46,0.05,1.4,0.02
Abu-Ali,Saltmarsh,AASMC1,27.28777,49.56953,103,0.53,0.07,1.4,0.04
Abu-Ali,Saltmarsh,AASMC2,27.31332,49.56401,72,0.73,0.07,1,0.05
Abu-Ali,Saltmarsh,AASMC3,27.29719,49.48471,67,0.54,0.08,1.5,0.06
Abu-Ali,Seagrass,AASGC1,27.26978,49.54546,35,0.76,0.01,1.3,0.01
Abu-Ali,Seagrass,AASGC2,27.25976,49.57006,118,0.98,0.12,0.9,0.02
Abu-Ali,Seagrass,AASGC3,27.27886,49.54524,116,1.12,0.04,1.2,0.02
Ecopark,Mangrove,RTMGC1,26.71674,50.02111,54,0.82,0.07,1.2,0.02
Ecopark,Mangrove,SAMGC1,26.65781,50.00534,28,0.87,0.07,1.3,0.03
Ecopark,Saltmarsh,RTSMC1,26.65761,50.01003,40,0.94,0.03,1.4,0.08
Ecopark,Saltmarsh,RTSMC2,26.71998,50.02104,98,0.4,0.11,1.2,0.02
Ecopark,Saltmarsh,SASMC1,26.73849,49.99526,117,0.81,0.08,1.4,0.02
Ecopark,Seagrass,RTSGC3,26.72047,49.99885,106,0.74,0.04,1.2,0.02
Ecopark,Seagrass,RTSGC2,26.70883,50.01225,61,0.6,0.05,1.2,0.02
Ecopark,Seagrass,RTSGC1,26.68064,50.01184,104,0.68,0.04,1.1,0.02
Safwa,Mangrove,SAMGC3,26.64246,50.01462,43,0.54,0.02,1.5,0.02
Safwa,Mangrove,SAMGC2,26.63699,50.01067,83,0.48,0.01,1.5,0.02
Uqair,Seagrass,UQSGC1,25.72452,50.23141,93,0.49,0.01,1.1,0.01
Uqair,Seagrass,UQSGC2,25.72891,50.2299,87,0.56,0.03,1,0.01
Uqair,Seagrass,UQSGC3,25.73403,50.22677,76,0.59,0.03,0.9,0.02
