"","Location","Site.Number","Collection.Date","Latitude","Longitude","Biomass.Core.Segment","Live.Rhizomes","Live.Roots","Detritus"
"1","SW-R",1,"10-Sep-2009",42.72243,-70.84798,"0-5",0.407,0.039,1.104
"2","SW-R",1,"10-Sep-2009",42.72243,-70.84798,"5-10",0.747,0.309,1.071
"3","SW-R",1,"10-Sep-2009",42.72243,-70.84798,"10-20",0.272,0.081,1.466
"4","SW-R",1,"10-Sep-2009",42.72243,-70.84798,"20-30",0,0.108,0.564
"5","SW-R",1,"10-Sep-2009",42.72243,-70.84798,"30-50",0.317,0.062,2.923
"6","SW-R",8,"10-Sep-2009",42.72205,-70.84852,"0-5",0.135,0,0.458
"7","SW-R",8,"10-Sep-2009",42.72205,-70.84852,"5-10",0.078,0.003,1.04
"8","SW-R",8,"10-Sep-2009",42.72205,-70.84852,"10-20",0.369,0.179,2.01
"9","SW-R",8,"10-Sep-2009",42.72205,-70.84852,"20-30",0.052,0.033,3.21
"10","SW-R",8,"10-Sep-2009",42.72205,-70.84852,"30-50",0.023,0.055,4.363
"11","SW-R",13,"10-Sep-2009",42.72175,-70.84915,"0-5",0,0.154,1.044
"12","SW-R",13,"10-Sep-2009",42.72175,-70.84915,"5-10",0.985,0.21,1.982
"13","SW-R",13,"10-Sep-2009",42.72175,-70.84915,"10-20",2.919,0.681,5.67
"14","SW-R",13,"10-Sep-2009",42.72175,-70.84915,"20-30",0.472,0.325,2.299
"15","SW-R",13,"10-Sep-2009",42.72175,-70.84915,"30-50",0.307,0.54,5.975
"16","SW-R",28,"10-Sep-2009",42.72097,-70.84718,"0-5",0.24,0.049,0.073
"17","SW-R",28,"10-Sep-2009",42.72097,-70.84718,"5-10",0.672,0.082,0.098
"18","SW-R",28,"10-Sep-2009",42.72097,-70.84718,"10-20",0.394,0,1.18
"19","SW-R",28,"10-Sep-2009",42.72097,-70.84718,"20-30",0.212,0.015,2.655
"20","SW-R",28,"10-Sep-2009",42.72097,-70.84718,"30-50",0.022,0,3.858
"21","SW-R",33,"10-Sep-2009",42.72148,-70.84825,"0-5",2.136,0.293,1.013
"22","SW-R",33,"10-Sep-2009",42.72148,-70.84825,"5-10",1.016,0.166,0.177
"23","SW-R",33,"10-Sep-2009",42.72148,-70.84825,"10-20",1.35,0.233,0.582
"24","SW-R",33,"10-Sep-2009",42.72148,-70.84825,"20-30",0,0.109,0.181
"25","SW-R",33,"10-Sep-2009",42.72148,-70.84825,"30-50",0.265,0.355,3.214
"26","SW-R",37,"10-Sep-2009",42.72188,-70.84718,"0-5",0.283,0.301,1.231
"27","SW-R",37,"10-Sep-2009",42.72188,-70.84718,"5-10",0.987,0.257,0.375
"28","SW-R",37,"10-Sep-2009",42.72188,-70.84718,"10-20",1.055,0.808,0.646
"29","SW-R",37,"10-Sep-2009",42.72188,-70.84718,"20-30",0.762,0.436,0.707
"30","SW-R",37,"10-Sep-2009",42.72188,-70.84718,"30-50",0.551,0.663,0.836
"31","SW-L",45,"10-Sep-2009",42.72187,-70.84683,"0-5",0,0,0.081
"32","SW-L",45,"10-Sep-2009",42.72187,-70.84683,"5-10",0,0.076,0.26
"33","SW-L",45,"10-Sep-2009",42.72187,-70.84683,"10-20",0.648,0.079,0.358
"34","SW-L",45,"10-Sep-2009",42.72187,-70.84683,"20-30",0.591,0.155,1.947
"35","SW-L",45,"10-Sep-2009",42.72187,-70.84683,"30-50",0.085,0.161,10.356
"36","SW-L",50,"10-Sep-2009",42.72122,-70.84677,"0-5",0,0,0.709
"37","SW-L",50,"10-Sep-2009",42.72122,-70.84677,"5-10",0,0,0.772
"38","SW-L",50,"10-Sep-2009",42.72122,-70.84677,"10-20",0,0.027,1.272
"39","SW-L",50,"10-Sep-2009",42.72122,-70.84677,"20-30",0,0.051,1.173
"40","SW-L",50,"10-Sep-2009",42.72122,-70.84677,"30-50",0,0.099,1.121
"41","SW-L",56,"10-Sep-2009",42.72073,-70.84669,"0-5",0.314,0,0.758
"42","SW-L",56,"10-Sep-2009",42.72073,-70.84669,"5-10",0.355,0.007,0.601
"43","SW-L",56,"10-Sep-2009",42.72073,-70.84669,"10-20",1.549,0.216,1.812
"44","SW-L",56,"10-Sep-2009",42.72073,-70.84669,"20-30",1.204,0.461,1.915
"45","SW-L",56,"10-Sep-2009",42.72073,-70.84669,"30-50",1.119,0.467,3.336
"46","SW-L",71,"14-Sep-2009",42.7207,-70.84674,"0-5",0.213,0.107,1.32
"47","SW-L",71,"14-Sep-2009",42.7207,-70.84674,"5-10",1.069,0.137,0.755
"48","SW-L",71,"14-Sep-2009",42.7207,-70.84674,"10-20",3.37,1.005,1.361
"49","SW-L",71,"14-Sep-2009",42.7207,-70.84674,"20-30",0.984,0.484,1.338
"50","SW-L",71,"14-Sep-2009",42.7207,-70.84674,"30-50",0.211,0.491,1.64
"51","SW-L",77,"14-Sep-2009",42.72118,-70.84687,"0-5",0.223,0,0.407
"52","SW-L",77,"14-Sep-2009",42.72118,-70.84687,"5-10",0.754,0.123,1.082
"53","SW-L",77,"14-Sep-2009",42.72118,-70.84687,"10-20",2.392,0.712,2.488
"54","SW-L",77,"14-Sep-2009",42.72118,-70.84687,"20-30",0.756,0.3,1.136
"55","SW-L",77,"14-Sep-2009",42.72118,-70.84687,"30-50",0.58,0.116,4.815
"56","SW-L",80,"14-Sep-2009",42.72174,-70.84892,"0-5",0.336,0.526,0.94
"57","SW-L",80,"14-Sep-2009",42.72174,-70.84892,"5-10",0.693,1.353,0.769
"58","SW-L",80,"14-Sep-2009",42.72174,-70.84892,"10-20",1.665,1.43,1.163
"59","SW-L",80,"14-Sep-2009",42.72174,-70.84892,"20-30",0.84,0.685,1.239
"60","SW-L",80,"14-Sep-2009",42.72174,-70.84892,"30-50",1.343,0.204,0.969
"61","WE-R",1,"04-Sep-2009",42.73775,-70.8483,"0-5",0.525,0.215,1.371
"62","WE-R",1,"04-Sep-2009",42.73775,-70.8483,"5-10",0.334,0.164,1.579
"63","WE-R",1,"04-Sep-2009",42.73775,-70.8483,"10-20",0.519,0.241,4.685
"64","WE-R",1,"04-Sep-2009",42.73775,-70.8483,"20-30",0.589,0.22,5.887
"65","WE-R",1,"04-Sep-2009",42.73775,-70.8483,"30-50",0.221,0.125,7.259
"66","WE-R",5,"04-Sep-2009",42.73772,-70.84752,"0-5",0.597,0.211,2.041
"67","WE-R",5,"04-Sep-2009",42.73772,-70.84752,"5-10",1.766,1.003,3.635
"68","WE-R",5,"04-Sep-2009",42.73772,-70.84752,"10-20",1.301,1.046,4.681
"69","WE-R",5,"04-Sep-2009",42.73772,-70.84752,"20-30",0.903,0.463,3.624
"70","WE-R",5,"04-Sep-2009",42.73772,-70.84752,"30-50",0.671,0.652,10.785
"71","WE-R",11,"04-Sep-2009",42.7378,-70.84742,"0-5",0.714,0.205,3.354
"72","WE-R",11,"04-Sep-2009",42.7378,-70.84742,"5-10",0.932,0.275,2.751
"73","WE-R",11,"04-Sep-2009",42.7378,-70.84742,"10-20",2.604,0.783,2.798
"74","WE-R",11,"04-Sep-2009",42.7378,-70.84742,"20-30",0.231,0.355,2.412
"75","WE-R",11,"04-Sep-2009",42.7378,-70.84742,"30-50",0.67,0.304,1.697
"76","WE-R",23,"08-Sep-2009",42.73775,-70.84789,"0-5",0,0,0
"77","WE-R",23,"08-Sep-2009",42.73775,-70.84789,"5-10",0,0.129,0.993
"78","WE-R",23,"08-Sep-2009",42.73775,-70.84789,"10-20",0,0.15,1.067
"79","WE-R",23,"08-Sep-2009",42.73775,-70.84789,"20-30",1.023,0.096,0.952
"80","WE-R",23,"08-Sep-2009",42.73775,-70.84789,"30-50",0,0.087,2.98
"81","WE-R",27,"08-Sep-2009",42.73789,-70.84868,"0-5",0.72,0.342,3.197
"82","WE-R",27,"08-Sep-2009",42.73789,-70.84868,"5-10",1.753,0.675,2.002
"83","WE-R",27,"08-Sep-2009",42.73789,-70.84868,"10-20",2.471,1.15,6.401
"84","WE-R",27,"08-Sep-2009",42.73789,-70.84868,"20-30",0.792,0.609,4.313
"85","WE-R",27,"08-Sep-2009",42.73789,-70.84868,"30-50",0,0.373,6.748
"86","WE-R",32,"08-Sep-2009",42.73783,-70.84904,"0-5",0,0,0.17
"87","WE-R",32,"08-Sep-2009",42.73783,-70.84904,"5-10",0.246,0.004,0.523
"88","WE-R",32,"08-Sep-2009",42.73783,-70.84904,"10-20",2.357,0.695,0.945
"89","WE-R",32,"08-Sep-2009",42.73783,-70.84904,"20-30",2.412,0.305,2.298
"90","WE-R",32,"08-Sep-2009",42.73783,-70.84904,"30-50",0.479,0.134,2.033
"91","WE-L",35,"08-Sep-2009",42.73909,-70.84929,"0-5",0.442,0.563,0.855
"92","WE-L",35,"08-Sep-2009",42.73909,-70.84929,"5-10",0.473,0.301,0.977
"93","WE-L",35,"08-Sep-2009",42.73909,-70.84929,"10-20",0.479,0.3,4.015
"94","WE-L",35,"08-Sep-2009",42.73909,-70.84929,"20-30",0.469,0.486,4.743
"95","WE-L",35,"08-Sep-2009",42.73909,-70.84929,"30-50",0.792,0.039,6.209
"96","WE-L",40,"08-Sep-2009",42.73965,-70.84982,"0-5",1.338,0.18,1.839
"97","WE-L",40,"08-Sep-2009",42.73965,-70.84982,"5-10",1.853,0.761,2.062
"98","WE-L",40,"08-Sep-2009",42.73965,-70.84982,"10-20",3.006,0.881,5.373
"99","WE-L",40,"08-Sep-2009",42.73965,-70.84982,"20-30",2.509,0,6.279
"100","WE-L",40,"08-Sep-2009",42.73965,-70.84982,"30-50",1.096,0.471,8.733
"101","WE-L",45,"08-Sep-2009",42.73986,-70.84995,"0-5",0,0,0.122
"102","WE-L",45,"08-Sep-2009",42.73986,-70.84995,"5-10",0.381,0,0
"103","WE-L",45,"08-Sep-2009",42.73986,-70.84995,"10-20",0,0,0.237
"104","WE-L",45,"08-Sep-2009",42.73986,-70.84995,"20-30",0,0.037,0.701
"105","WE-L",45,"08-Sep-2009",42.73986,-70.84995,"30-50",0,0,2.003
"106","WE-L",63,"08-Sep-2009",42.73988,-70.84943,"0-5",0.327,0.065,1.288
"107","WE-L",63,"08-Sep-2009",42.73988,-70.84943,"5-10",0.295,0,0.477
"108","WE-L",63,"08-Sep-2009",42.73988,-70.84943,"10-20",1.107,0.237,0.162
"109","WE-L",63,"08-Sep-2009",42.73988,-70.84943,"20-30",0,0.028,0.129
"110","WE-L",63,"08-Sep-2009",42.73988,-70.84943,"30-50",0.379,0.189,0.39
"111","WE-L",68,"09-Sep-2009",42.73972,-70.84923,"0-5",0.255,0.456,0.541
"112","WE-L",68,"09-Sep-2009",42.73972,-70.84923,"5-10",0.276,1.205,1.36
"113","WE-L",68,"09-Sep-2009",42.73972,-70.84923,"10-20",0.565,0.721,1.491
"114","WE-L",68,"09-Sep-2009",42.73972,-70.84923,"20-30",0.477,0.243,0.676
"115","WE-L",68,"09-Sep-2009",42.73972,-70.84923,"30-50",0.057,0.563,5.478
"116","WE-L",72,"09-Sep-2009",42.73927,-70.83775,"0-5",0,0.214,0.426
"117","WE-L",72,"09-Sep-2009",42.73927,-70.83775,"5-10",0.683,0.213,0.527
"118","WE-L",72,"09-Sep-2009",42.73927,-70.83775,"10-20",0.866,0.204,2.094
"119","WE-L",72,"09-Sep-2009",42.73927,-70.83775,"20-30",0.877,0.169,2.132
"120","WE-L",72,"09-Sep-2009",42.73927,-70.83775,"30-50",0,0.053,4.105
"121","CL-R",13,"09-Sep-2009",42.74033,-70.83837,"0-5",0.793,0.17,0.921
"122","CL-R",13,"09-Sep-2009",42.74033,-70.83837,"5-10",1.65,0.486,1.4
"123","CL-R",13,"09-Sep-2009",42.74033,-70.83837,"10-20",2.617,0.714,2.018
"124","CL-R",13,"09-Sep-2009",42.74033,-70.83837,"20-30",0.131,0.16,1.896
"125","CL-R",13,"09-Sep-2009",42.74033,-70.83837,"30-50",0,0.154,1.836
"126","CL-R",18,"09-Sep-2009",42.74053,-70.83843,"0-5",0.544,0.041,0.446
"127","CL-R",18,"09-Sep-2009",42.74053,-70.83843,"5-10",0.867,0.041,0.252
"128","CL-R",18,"09-Sep-2009",42.74053,-70.83843,"10-20",1.751,0.462,0.181
"129","CL-R",18,"09-Sep-2009",42.74053,-70.83843,"20-30",0.187,0.179,0.392
"130","CL-R",18,"09-Sep-2009",42.74053,-70.83843,"30-50",0.189,0.199,0.739
"131","CL-R",24,"09-Sep-2009",42.74112,-70.83847,"0-5",0.157,0.043,0.635
"132","CL-R",24,"09-Sep-2009",42.74112,-70.83847,"5-10",0,0.05,1.052
"133","CL-R",24,"09-Sep-2009",42.74112,-70.83847,"10-20",0.446,0.243,1.243
"134","CL-R",24,"09-Sep-2009",42.74112,-70.83847,"20-30",0.609,0.428,1.658
"135","CL-R",24,"09-Sep-2009",42.74112,-70.83847,"30-50",0,0.408,3.272
"136","CL-R",30,"09-Sep-2009",42.74105,-70.83832,"0-5",0.29,0.002,0.468
"137","CL-R",30,"09-Sep-2009",42.74105,-70.83832,"5-10",0.655,0.111,1.083
"138","CL-R",30,"09-Sep-2009",42.74105,-70.83832,"10-20",2.393,0.875,1.103
"139","CL-R",30,"09-Sep-2009",42.74105,-70.83832,"20-30",1.18,0.723,1.37
"140","CL-R",30,"09-Sep-2009",42.74105,-70.83832,"30-50",0,0.293,3.387
"141","CL-R",36,"09-Sep-2009",42.74042,-70.83782,"0-5",0.671,0.144,0.81
"142","CL-R",36,"09-Sep-2009",42.74042,-70.83782,"5-10",0.803,0.242,0.71
"143","CL-R",36,"09-Sep-2009",42.74042,-70.83782,"10-20",1.846,0.438,1.341
"144","CL-R",36,"09-Sep-2009",42.74042,-70.83782,"20-30",1.165,0.586,1.711
"145","CL-R",36,"09-Sep-2009",42.74042,-70.83782,"30-50",0.523,0.557,4.247
"146","CL-R",40,"09-Sep-2009",42.74022,-70.83302,"0-5",0.41,0.005,0.659
"147","CL-R",40,"09-Sep-2009",42.74022,-70.83302,"5-10",0.849,0.206,0.987
"148","CL-R",40,"09-Sep-2009",42.74022,-70.83302,"10-20",1.888,0.478,2.945
"149","CL-R",40,"09-Sep-2009",42.74022,-70.83302,"20-30",0.338,0.168,2.351
"150","CL-R",40,"09-Sep-2009",42.74022,-70.83302,"30-50",0.426,0.151,2.843
"151","NE-L",2,"14-Sep-2009",42.74189,-70.83302,"0-5",0.856,0.05,0.799
"152","NE-L",2,"14-Sep-2009",42.74189,-70.83302,"5-10",0.878,0.097,1.429
"153","NE-L",2,"14-Sep-2009",42.74189,-70.83302,"10-20",1.05,0.333,3.632
"154","NE-L",2,"14-Sep-2009",42.74189,-70.83302,"20-30",0,0.124,3.12
"155","NE-L",2,"14-Sep-2009",42.74189,-70.83302,"30-50",0,0.015,6.863
"156","NE-L",13,"14-Sep-2009",42.74156,-70.83908,"0-5",1.06,0.202,2.021
"157","NE-L",13,"14-Sep-2009",42.74156,-70.83908,"5-10",2.288,0.291,1.121
"158","NE-L",13,"14-Sep-2009",42.74156,-70.83908,"10-20",2.019,0.523,2.819
"159","NE-L",13,"14-Sep-2009",42.74156,-70.83908,"20-30",0.345,0.29,2.192
"160","NE-L",13,"14-Sep-2009",42.74156,-70.83908,"30-50",0,0.125,4.835
"161","NE-L",23,"14-Sep-2009",42.74118,-70.83404,"0-5",0,0.057,0.126
"162","NE-L",23,"14-Sep-2009",42.74118,-70.83404,"5-10",0.345,0.124,0.438
"163","NE-L",23,"14-Sep-2009",42.74118,-70.83404,"10-20",0.422,0.576,1.667
"164","NE-L",23,"14-Sep-2009",42.74118,-70.83404,"20-30",0.35,0.279,2.743
"165","NE-L",23,"14-Sep-2009",42.74118,-70.83404,"30-50",0,0,4.619
"166","NE-L",29,"14-Sep-2009",42.7409,-70.83414,"0-5",0.763,0.122,1.128
"167","NE-L",29,"14-Sep-2009",42.7409,-70.83414,"5-10",2.428,0.493,1.129
