Site,S,Depth (m),OC (%) (mass spec),OC% (MIR-1),OC% (MIR-2),δ13C (‰)
Sloehaven Old,30,0.015,8.86,13.58,12.37,-26.7
Sloehaven Old,30,0.045,8.84,,,-27.1
Sloehaven Old,30,0.075,9.03,,,-27.0
Sloehaven Old,30,0.135,7.19,4.88,5.75,-26.7
Sloehaven Old,30,0.195,3.51,,,-25.3
Sloehaven Old,30,0.255,3.20,3.57,2.42,-25.3
Sloehaven Old,30,0.315,2.29,,,-25.4
Sloehaven Old,30,0.375,1.66,2.19,1.87,-25.2
Sloehaven Old,30,0.435,3.55,,,-25.1
Sloehaven Old,30,0.495,2.29,3.96,2.53,-25.2
Sloehaven Old,30,0.555,1.88,,,-25.4
Sloehaven Old,30,0.615,1.56,2.43,2.43,-25.0
Sloehaven Old,30,0.675,1.74,,,-24.7
Sloehaven Old,30,0.735,2.07,2.91,2.96,-25.1
Sloehaven Old,30,0.795,2.32,,,-25.2
Sloehaven Old,30,0.855,2.35,2.77,2.24,-24.8
Sloehaven Old,30,0.915,1.83,,,-24.5
Sloehaven Old,30,0.975,1.79,3.14,2.75,-24.7
Sloehaven Old,30,1.045,1.85,,,-25.0
Sloehaven Old,30,1.105,1.57,3.08,2.03,-24.7
Sloehaven Old,30,1.165,1.67,,,-24.6
Sloehaven Old,30,1.225,1.97,2.73,,-24.6
Sloehaven Old,30,1.285,1.91,,,-24.3
Sloehaven Old,30,1.345,1.79,,,-24.7
Sloehaven Old,30,1.405,1.55,,,-24.8
Sloehaven young,30,0.015,3.31,3.25,3.36,-20.8
Sloehaven young,30,0.045,4.06,,,-20.9
Sloehaven young,30,0.075,3.45,,,-20.8
Sloehaven young,30,0.105,NA,1.39,1.88,
Sloehaven young,30,0.135,1.15,,,-19.4
Sloehaven young,30,0.195,1.76,1.62,1.29,-21.7
Sloehaven young,30,0.255,1.92,,,-22.4
Sloehaven young,30,0.285,NA,0.17,1.69,
Sloehaven young,30,0.315,0.31,,,-21.8
Sloehaven young,30,0.375,0.91,0.11,1.72,-27.3
Sloehaven young,30,0.435,1.32,,,-26.9
Sloehaven young,30,0.465,NA,0.60,0.57,
Sloehaven young,30,0.495,0.72,,,-23.5
Sloehaven young,30,0.555,1.43,1.42,1.81,-24.7
Sloehaven young,30,0.615,1.73,,,-24.7
