"","study_id","site_id","core_id","core_longitude","core_latitude","core_elevation","core_date","core_notes","core_elevation_datum"
"1","Osland_et_al_2016","Grand_Bay","grand_bay_1",-88.40011656,30.40487484,-0.463,2013-09-24,"water/SPAL transition - 1st dom","NAVD88"
"2","Osland_et_al_2016","Grand_Bay","grand_bay_2",-88.40012475,30.40486672,-0.271,2013-09-24,"water/SPAL transition - 2nd dom","NAVD88"
"3","Osland_et_al_2016","Grand_Bay","grand_bay_3",-88.40013961,30.40485138,0.113,2013-09-24,"15 cm elevation gain in SPAL zone","NAVD88"
"4","Osland_et_al_2016","Grand_Bay","grand_bay_4",-88.40014639,30.40484449,0.215,2013-09-24,"SPAL/JURO transition - 1st dom","NAVD88"
"5","Osland_et_al_2016","Grand_Bay","grand_bay_5",-88.40015158,30.40483724,0.275,2013-09-24,"SPAL/JURO transition - mixed","NAVD88"
"6","Osland_et_al_2016","Grand_Bay","grand_bay_6",-88.40015858,30.40482583,0.277,2013-09-24,"SPAL/JURO transition - 2nd dom","NAVD88"
"7","Osland_et_al_2016","Grand_Bay","grand_bay_7",-88.40026546,30.40468012,0.4,2013-09-24,"20 m into JURO zone","NAVD88"
"8","Osland_et_al_2016","Grand_Bay","grand_bay_8",-88.40038333,30.40453441,0.322,2013-09-24,"40 m into JURO zone","NAVD88"
"9","Osland_et_al_2016","Grand_Bay","grand_bay_9",-88.41459218,30.36372411,-0.002,2013-09-24,"water/SPAL transition - 1st dom","NAVD88"
"10","Osland_et_al_2016","Grand_Bay","grand_bay_10",-88.41459824,30.36373374,0.1,2013-09-24,"water/SPAL transition - mixed","NAVD88"
"11","Osland_et_al_2016","Grand_Bay","grand_bay_11",-88.41472917,30.36386648,0.168,2013-09-24,"20 m in SPAL zone","NAVD88"
"12","Osland_et_al_2016","Grand_Bay","grand_bay_12",-88.41476538,30.36390704,0.19,2013-09-24,"SPAL/JURO transition - mixed","NAVD88"
"13","Osland_et_al_2016","Grand_Bay","grand_bay_13",-88.41480157,30.36393752,0.221,2013-09-25,"SPAL/JURO transition - 2nd dom","NAVD88"
"14","Osland_et_al_2016","Grand_Bay","grand_bay_14",-88.41490552,30.36409547,0.244,2013-09-25,"20 m into JURO zone","NAVD88"
"15","Osland_et_al_2016","Grand_Bay","grand_bay_15",-88.41501021,30.36424532,0.228,2013-09-25,"40 m into JURO zone","NAVD88"
"16","Osland_et_al_2016","Grand_Bay","grand_bay_16",-88.41561617,30.36156698,0.018,2013-09-25,"water/SPAL transition - 1st dom","NAVD88"
"17","Osland_et_al_2016","Grand_Bay","grand_bay_17",-88.41560305,30.36154424,0.081,2013-09-25,"water/SPAL transition - mixed","NAVD88"
"18","Osland_et_al_2016","Grand_Bay","grand_bay_18",-88.41558947,30.36153406,0.246,2013-09-25,"SPAL/JURO transition - 1st dom","NAVD88"
"19","Osland_et_al_2016","Grand_Bay","grand_bay_19",-88.41558041,30.36152874,0.286,2013-09-25,"SPAL/JURO transition - mixed","NAVD88"
"20","Osland_et_al_2016","Grand_Bay","grand_bay_20",-88.41557042,30.36152237,0.324,2013-09-25,"SPAL/JURO transition - 2nd dom","NAVD88"
"21","Osland_et_al_2016","Grand_Bay","grand_bay_21",-88.41541188,30.36140873,0.296,2013-09-25,"20 m into JURO zone","NAVD88"
"22","Osland_et_al_2016","Grand_Bay","grand_bay_22",-88.41525198,30.36129345,0.296,2013-09-25,"40 m into JURO zone","NAVD88"
"23","Osland_et_al_2016","Grand_Bay","grand_bay_23",-88.44255284,30.37499118,-0.059,2013-09-25,"water/SPAL transition - 1st dom","NAVD88"
"24","Osland_et_al_2016","Grand_Bay","grand_bay_24",-88.44253448,30.37499069,0.008,2013-09-25,"water/SPAL transition - mixed","NAVD88"
"25","Osland_et_al_2016","Grand_Bay","grand_bay_25",-88.44252174,30.37498088,0.101,2013-09-25,"SPAL/JURO transition - 1st dom","NAVD88"
"26","Osland_et_al_2016","Grand_Bay","grand_bay_26",-88.44251226,30.37497637,0.174,2013-09-25,"SPAL/JURO transition - mixed","NAVD88"
"27","Osland_et_al_2016","Grand_Bay","grand_bay_27",-88.44250398,30.3749711,0.226,2013-09-25,"SPAL/JURO transition - 2nd dom","NAVD88"
"28","Osland_et_al_2016","Grand_Bay","grand_bay_28",-88.44236176,30.37484486,0.37,2013-09-25,"20 m into JURO zone","NAVD88"
"29","Osland_et_al_2016","Grand_Bay","grand_bay_29",-88.44230526,30.37479788,0.378,2013-09-25,"JURO/succulent transition - 1st dom","NAVD88"
"30","Osland_et_al_2016","Grand_Bay","grand_bay_30",-88.44224769,30.37474741,0.469,2013-09-25,"JURO/succulent transition - mixed","NAVD88"
"31","Osland_et_al_2016","Grand_Bay","grand_bay_31",-88.44220004,30.37470648,0.457,2013-09-25,"JURO/succulent transition - mixed","NAVD88"
"32","Osland_et_al_2016","Grand_Bay","grand_bay_32",-88.44219081,30.37469762,0.413,2013-09-25,"JURO/succulent transition - 2nd dom","NAVD88"
"33","Osland_et_al_2016","Grand_Bay","grand_bay_33",-88.44215307,30.37466513,0.446,2013-09-25,"succulent/salt panne transition - 1st dom","NAVD88"
