No ID,Site ID,Data collection date (dd/mm/yyyy),Plot,Sub-plot,Latitude,Longitude,Depth interval (cm),Collected sample depth/depth range (cm),Soil organic matter depth (cm),Bag. No,Wet weight (gr),Dry weight (g),Auger volume (cm3),Bulk density (g/cm3),Carbon content (%),Nitrogen content (%),C/N ratio,Carbon density (mg/cm3),Carbon stocks (Mg/ha),Salinity (ppt),pH,Temperature (Celcius)
1,BIN,2011,Bintuni 1,1,,,0-15,175.3,,,,,,0.44,10.43,,,42.516,69.40,,,
2,BIN,2011,Bintuni 1,1,,,15-30,,,,,,,0.45,11.45,,,39.502,77.63,,,
3,BIN,2011,Bintuni 1,1,,,30-50,,,,,,,0.48,11.37,,,41.843,108.17,,,
4,BIN,2011,Bintuni 1,1,,,50-100,,,,,,,0.46,10.27,,,44.522,234.75,,,
5,BIN,2011,Bintuni 1,1,,,100-175.3,,,,,,,0.69,8.05,,,85.473,416.56,,,
6,BIN,2011,Bintuni 1,2,,,0-15,156.7,,,,,,0.61,5.41,,,113.531,49.81,,,
7,BIN,2011,Bintuni 1,2,,,15-30,,,,,,,0.40,7.74,,,52.253,46.98,,,
8,BIN,2011,Bintuni 1,2,,,30-50,,,,,,,0.69,5.91,,,116.491,81.46,,,
9,BIN,2011,Bintuni 1,2,,,50-100,,,,,,,0.74,8.02,,,92.698,298.27,,,
10,BIN,2011,Bintuni 1,2,,,100-156.7,,,,,,,0.75,6.68,,,112.916,285.69,,,
11,BIN,2011,Bintuni 1,3,,,0-15,213.3,,,,,,0.68,7.72,,,87.992,78.62,,,
12,BIN,2011,Bintuni 1,3,,,15-30,,,,,,,0.62,6.66,,,93.096,61.96,,,
13,BIN,2011,Bintuni 1,3,,,30-50,,,,,,,0.63,7.37,,,85.993,93.39,,,
14,BIN,2011,Bintuni 1,3,,,50-100,,,,,,,0.68,7.43,,,91.322,252.28,,,
15,BIN,2011,Bintuni 1,3,,,100-213.3,,,,,,,0.68,10.06,,,67.692,775.87,,,
16,BIN,2011,Bintuni 1,4,,,0-15,251.7,,,,,,0.48,10.46,,,45.855,75.24,,,
17,BIN,2011,Bintuni 1,4,,,15-30,,,,,,,0.44,11.01,,,39.533,71.91,,,
18,BIN,2011,Bintuni 1,4,,,30-50,,,,,,,0.43,11.88,,,36.533,103.14,,,
19,BIN,2011,Bintuni 1,4,,,50-100,,,,,,,0.50,9.70,,,52.041,244.93,,,
20,BIN,2011,Bintuni 1,4,,,100-251.7,,,,,,,0.69,5.98,,,116.027,630.27,,,
21,BIN,2011,Bintuni 1,5,,,0-15,256.7,,,,,,0.40,11.04,,,36.335,66.42,,,
22,BIN,2011,Bintuni 1,5,,,15-30,,,,,,,0.51,11.94,,,42.826,91.63,,,
23,BIN,2011,Bintuni 1,5,,,30-50,,,,,,,0.38,13.47,,,28.088,101.94,,,
24,BIN,2011,Bintuni 1,5,,,50-100,,,,,,,0.38,10.03,,,37.842,190.46,,,
25,BIN,2011,Bintuni 1,5,,,100-256.7,,,,,,,0.66,7.91,,,83.722,821.05,,,
26,BIN,2011,Bintuni 1,6,,,0-15,237.7,,,,,,0.46,8.64,,,53.751,60.16,,,
27,BIN,2011,Bintuni 1,6,,,15-30,,,,,,,0.42,10.69,,,39.106,67.02,,,
28,BIN,2011,Bintuni 1,6,,,30-50,,,,,,,0.37,11.63,,,31.658,85.62,,,
29,BIN,2011,Bintuni 1,6,,,50-100,,,,,,,0.49,7.70,,,63.972,189.84,,,
30,BIN,2011,Bintuni 1,6,,,100-237.7,,,,,,,0.62,7.73,,,79.947,657.97,,,
31,BIN,2011,Bintuni 2,1,,,0-15,300,,,,,,0.84,3.75,,,223.811,47.16,,,
32,BIN,2011,Bintuni 2,1,,,15-30,,,,,,,0.73,5.51,,,132.874,60.51,,,
33,BIN,2011,Bintuni 2,1,,,30-50,,,,,,,0.47,7.74,,,60.498,72.45,,,
34,BIN,2011,Bintuni 2,1,,,50-100,,,,,,,0.50,5.04,,,98.889,125.75,,,
35,BIN,2011,Bintuni 2,1,,,100-300,,,,,,,0.60,5.49,,,108.449,653.97,,,
36,BIN,2011,Bintuni 2,2,,,0-15,300,,,,,,0.54,4.32,,,126.040,35.20,,,
37,BIN,2011,Bintuni 2,2,,,15-30,,,,,,,0.52,10.12,,,51.427,79.02,,,
38,BIN,2011,Bintuni 2,2,,,30-50,,,,,,,0.51,7.92,,,64.302,80.69,,,
39,BIN,2011,Bintuni 2,2,,,50-100,,,,,,,0.48,7.00,,,69.295,169.53,,,
40,BIN,2011,Bintuni 2,2,,,100-300,,,,,,,0.74,4.08,,,181.421,604.30,,,
41,BIN,2011,Bintuni 2,3,,,0-15,300,,,,,,0.70,3.22,,,216.328,33.62,,,
42,BIN,2011,Bintuni 2,3,,,15-30,,,,,,,0.62,4.83,,,127.792,44.68,,,
43,BIN,2011,Bintuni 2,3,,,30-50,,,,,,,0.66,4.94,,,132.882,64.83,,,
44,BIN,2011,Bintuni 2,3,,,50-100,,,,,,,0.54,5.85,,,91.628,156.73,,,
45,BIN,2011,Bintuni 2,3,,,100-300,,,,,,,0.75,3.34,,,224.750,500.24,,,
46,BIN,2011,Bintuni 2,4,,,0-15,276.7,,,,,,0.81,3.94,,,204.907,47.64,,,
