"study_id","core_id","species_code","code_type"
"Hodgson_and_Spooner_2016","KOM-21","Zostera marina","Genus species"
"Hodgson_and_Spooner_2016","KOM-23","Zostera marina","Genus species"
"Hodgson_and_Spooner_2016","KOM-24","Zostera marina","Genus species"
"Hodgson_and_Spooner_2016","KOM-25","Zostera marina","Genus species"
"Hodgson_and_Spooner_2016","KOM-27","Zostera marina","Genus species"
"Hodgson_and_Spooner_2016","KOM-28","Zostera marina","Genus species"
"Hodgson_and_Spooner_2016","KOM-29","Zostera marina","Genus species"
"Lutz_2018","PAD-571","Zostera marina","Genus species"
"Lutz_2018","PAD-572","Zostera marina","Genus species"
"Lutz_2018","PAD-573","Zostera marina","Genus species"
"Lutz_2018","PAD-574","Zostera marina","Genus species"
"Lutz_2018","PAD-575","Zostera marina","Genus species"
"Lutz_2018","PAD-576","Zostera marina","Genus species"
"Lutz_2018","PAD-577","Nanozostera japonica","Genus species"
"Lutz_2018","SAM-579","Zostera marina","Genus species"
"Lutz_2018","SAM-581","Zostera marina","Genus species"
"Lutz_2018","SAM-582","Zostera marina","Genus species"
"Lutz_2018","SKA-583","Zostera marina","Genus species"
"Lutz_2018","SKA-585","Zostera marina","Genus species"
"Lutz_2018","SKA-587","Zostera marina","Genus species"
"Lutz_2018","SKA-589","Zostera marina","Genus species"
"Prentice_et_al_2019","PRU-655","Zostera marina","Genus species"
"Prentice_et_al_2019","PRU-656","Zostera marina","Genus species"
"Prentice_et_al_2019","PRU-657","Zostera marina","Genus species"
"Prentice_et_al_2019","PRU-658","Zostera marina","Genus species"
"Prentice_et_al_2019","PRU-659","Zostera marina","Genus species"
"Prentice_et_al_2019","PRU-660","Zostera marina","Genus species"
"Prentice_et_al_2019","PRU-661","Zostera marina","Genus species"
"Prentice_et_al_2019","KOE-665","Zostera marina","Genus species"
"Prentice_et_al_2019","KOE-666","Zostera marina","Genus species"
"Prentice_et_al_2019","KOE-667","Zostera marina","Genus species"
"Prentice_et_al_2019","KOE-668","Zostera marina","Genus species"
"Prentice_et_al_2019","KOE-669","Zostera marina","Genus species"
"Prentice_et_al_2019","KOE-670","Zostera marina","Genus species"
"Prentice_et_al_2019","KOE-671","Zostera marina","Genus species"
"Prentice_et_al_2019","TRI-675","Zostera marina","Genus species"
"Prentice_et_al_2019","TRI-676","Zostera marina","Genus species"
"Prentice_et_al_2019","TRI-677","Zostera marina","Genus species"
"Prentice_et_al_2019","TRI-678","Zostera marina","Genus species"
"Prentice_et_al_2019","TRI-679","Zostera marina","Genus species"
"Prentice_et_al_2019","TRI-680","Zostera marina","Genus species"
"Prentice_et_al_2019","TRI-681","Zostera marina","Genus species"
"Prentice_et_al_2019","MCM-685","Zostera marina","Genus species"
"Prentice_et_al_2019","MCM-686","Zostera marina","Genus species"
"Prentice_et_al_2019","MCM-687","Zostera marina","Genus species"
"Prentice_et_al_2019","MCM-688","Zostera marina","Genus species"
"Prentice_et_al_2019","MCM-689","Zostera marina","Genus species"
"Prentice_et_al_2019","MCM-690","Zostera marina","Genus species"
"Prentice_et_al_2019","MCM-691","Zostera marina","Genus species"
"Prentice_et_al_2019","GOO-695","Zostera marina","Genus species"
"Prentice_et_al_2019","GOO-696","Zostera marina","Genus species"
"Prentice_et_al_2019","GOO-697","Zostera marina","Genus species"
"Prentice_et_al_2019","GOO-698","Zostera marina","Genus species"
"Prentice_et_al_2019","GOO-699","Zostera marina","Genus species"
"Prentice_et_al_2019","GOO-700","Zostera marina","Genus species"
"Prentice_et_al_2019","GOO-701","Zostera marina","Genus species"
"Prentice_et_al_2019","CHO-705","Zostera marina","Genus species"
"Prentice_et_al_2019","CHO-706","Zostera marina","Genus species"
"Prentice_et_al_2019","CHO-707","Zostera marina","Genus species"
"Prentice_et_al_2019","CHO-708","Zostera marina","Genus species"
"Prentice_et_al_2019","CHO-709","Zostera marina","Genus species"
"Prentice_et_al_2019","CHO-710","Zostera marina","Genus species"
"Prentice_et_al_2019","CHO-711","Zostera marina","Genus species"
"Diefenderfer_and_Borde_2025","COL-717","Picea sitchensis","Genus species"
"Diefenderfer_and_Borde_2025","COL-718","Picea sitchensis","Genus species"
"Diefenderfer_and_Borde_2025","COL-719","Picea sitchensis","Genus species"
"Short_et_al_2025","PRU-777","Zostera marina","Genus species"
"Short_et_al_2025","PRU-778","Zostera marina","Genus species"
"Short_et_al_2025","PRU-779","Zostera marina","Genus species"
"Short_et_al_2025","DUM-780","Zostera marina","Genus species"
"Short_et_al_2025","DUM-781","Zostera marina","Genus species"
"Short_et_al_2025","DUM-782","Zostera marina","Genus species"
"Short_et_al_2025","SVA-784","Zostera marina","Genus species"
"Short_et_al_2025","SVA-785","Zostera marina","Genus species"
"Short_et_al_2025","COO-786","Zostera marina","Genus species"
"Short_et_al_2025","COO-787","Zostera marina","Genus species"
"Short_et_al_2025","COO-788","Zostera marina","Genus species"
"Short_et_al_2025","COO-789","Zostera marina","Genus species"
"Short_et_al_2025","COO-790","Zostera marina","Genus species"
"Short_et_al_2025","COO-791","Zostera marina","Genus species"
"Postlethwaite_et_al_2018","CLA-792","Zostera marina","Genus species"
"Postlethwaite_et_al_2018","CLA-793","Zostera marina","Genus species"
"Postlethwaite_et_al_2018","CLA-794","Zostera marina","Genus species"
"Postlethwaite_et_al_2018","CLA-795","Zostera marina","Genus species"
"Postlethwaite_et_al_2018","CLA-796","Zostera marina","Genus species"
"Postlethwaite_et_al_2018","CLA-797","Zostera marina","Genus species"
"Postlethwaite_et_al_2018","CLA-798","Zostera marina","Genus species"
"Postlethwaite_et_al_2018","CLA-799","Zostera marina","Genus species"
"Postlethwaite_et_al_2018","CLA-800","Zostera marina","Genus species"
"Postlethwaite_et_al_2018","CLA-801","Zostera marina","Genus species"
"Postlethwaite_et_al_2018","CLA-802","Zostera marina","Genus species"
"Postlethwaite_et_al_2018","CLA-803","Zostera marina","Genus species"
"Postlethwaite_et_al_2018","CLA-804","Zostera marina","Genus species"
"Postlethwaite_et_al_2018","CLA-805","Zostera marina","Genus species"
"Postlethwaite_et_al_2018","CLA-806","Zostera marina","Genus species"
"Postlethwaite_et_al_2018","CLA-807","Zostera marina","Genus species"
"Postlethwaite_et_al_2018","CLA-808","Zostera marina","Genus species"
"Postlethwaite_et_al_2018","CLA-809","Zostera marina","Genus species"
"Stephens_and_Eckert_2018","SE-AK-836","Zostera marina","Genus species"
"Stephens_and_Eckert_2018","SE-AK-837","Zostera marina","Genus species"
"Stephens_and_Eckert_2018","SE-AK-838","Zostera marina","Genus species"
"Stephens_and_Eckert_2018","SE-AK-839","Zostera marina","Genus species"
"Stephens_and_Eckert_2018","SE-AK-840","Zostera marina","Genus species"
"Stephens_and_Eckert_2018","SE-AK-841","Zostera marina","Genus species"
"Stephens_and_Eckert_2018","SE-AK-842","Zostera marina","Genus species"
"Stephens_and_Eckert_2018","SE-AK-843","Zostera marina","Genus species"
"Stephens_and_Eckert_2018","SE-AK-844","Zostera marina","Genus species"
"Stephens_and_Eckert_2018","SE-AK-845","Zostera marina","Genus species"
"Stephens_and_Eckert_2018","SE-AK-846","Zostera marina","Genus species"
"Stephens_and_Eckert_2018","SE-AK-847","Zostera marina","Genus species"
"Stephens_and_Eckert_2018","SE-AK-849","Zostera marina","Genus species"
"Stephens_and_Eckert_2018","SE-AK-850","Zostera marina","Genus species"
"Stephens_and_Eckert_2018","SE-AK-851","Zostera marina","Genus species"
"Stephens_and_Eckert_2018","SE-AK-852","Zostera marina","Genus species"
"Stephens_and_Eckert_2018","SE-AK-853","Zostera marina","Genus species"
"Stephens_and_Eckert_2018","SE-AK-854","Zostera marina","Genus species"
"Stephens_and_Eckert_2018","SE-AK-855","Zostera marina","Genus species"
"Stephens_and_Eckert_2018","SE-AK-856","Zostera marina","Genus species"
"Krause_et_al_2022","BSQ-1115","Zostera marina","Genus species"
"Krause_et_al_2022","BSQ-1116","Zostera marina","Genus species"
"Krause_et_al_2022","BSQ-1117","Zostera marina","Genus species"
"Aldana-Gutiérrez_et_al_2021","EUL-1213","Avicennia germinans","Genus species"
"Aldana-Gutiérrez_et_al_2021","EUL-1214","Avicennia germinans","Genus species"
"Aldana-Gutiérrez_et_al_2021","EUL-1215","Avicennia germinans","Genus species"
"Siegert_and_Apple_2025","PAD-1229","Zostera marina","Genus species"
"Siegert_and_Apple_2025","PAD-1230","Zostera marina","Genus species"
"Siegert_and_Apple_2025","PAD-1231","Zostera marina","Genus species"
"Siegert_and_Apple_2025","PAD-1232","Zostera marina","Genus species"
"Siegert_and_Apple_2025","PAD-1233","Nanozostera japonica","Genus species"
"Siegert_and_Apple_2025","PAD-1234","Nanozostera japonica","Genus species"
"Siegert_and_Apple_2025","PAD-1235","Nanozostera japonica","Genus species"
"Siegert_and_Apple_2025","PAD-1236","Nanozostera japonica","Genus species"
"Adame_et_al_2015","LEN-1251","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1252","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1253","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1254","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1255","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1256","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1257","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1258","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1259","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1260","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1261","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1262","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1263","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1264","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1265","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1266","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1267","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1268","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1269","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1270","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1271","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1272","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1273","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1274","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1275","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1276","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1277","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1278","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1279","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1280","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1281","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1282","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1283","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1284","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1285","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1286","Rhizophora mangle","Genus species"
"Adame_et_al_2015","LEN-1287","Avicennia germinans","Genus species"
"Adame_et_al_2015","LEN-1288","Avicennia germinans","Genus species"
"Adame_et_al_2015","LEN-1289","Avicennia germinans","Genus species"
"Adame_et_al_2015","LEN-1290","Avicennia germinans","Genus species"
"Adame_et_al_2015","LEN-1291","Avicennia germinans","Genus species"
"Adame_et_al_2015","LEN-1292","Avicennia germinans","Genus species"
"Ruiz-Fernández_et_al_2018","MAR-1401","Rhizophora mangle","Genus species"
"Ruiz-Fernández_et_al_2018","MAR-1404","Rhizophora mangle","Genus species"
"Ruiz-Fernández_et_al_2018","MAR-1405","Rhizophora mangle","Genus species"
"Ruiz-Fernández_et_al_2018","MAR-1408","Rhizophora mangle","Genus species"
"Adame_et_al_2018","ESC-1504","Rhizophora mangle","Genus species"
"Adame_et_al_2018","ESC-1505","Rhizophora mangle","Genus species"
"Adame_et_al_2018","ESC-1506","Rhizophora mangle","Genus species"
"Adame_et_al_2018","ESC-1507","Rhizophora mangle","Genus species"
"Adame_et_al_2018","ESC-1508","Rhizophora mangle","Genus species"
"Adame_et_al_2018","MAG-1513","Laguncularia racemosa","Genus species"
"Adame_et_al_2018","MAG-1514","Laguncularia racemosa","Genus species"
"Adame_et_al_2018","MAG-1515","Laguncularia racemosa","Genus species"
"Adame_et_al_2018","MAG-1516","Avicennia germinans","Genus species"
"Adame_et_al_2018","MAG-1517","Laguncularia racemosa","Genus species"
"Adame_et_al_2018","MAG-1519","Avicennia germinans","Genus species"
"Adame_et_al_2018","MAG-1520","Laguncularia racemosa","Genus species"
"Adame_et_al_2018","MAG-1521","Laguncularia racemosa","Genus species"
"Adame_et_al_2018","MAG-1523","Rhizophora mangle","Genus species"
"Adame_et_al_2018","MAG-1524","Rhizophora mangle","Genus species"
"Adame_et_al_2018","MAG-1525","Rhizophora mangle","Genus species"
"Adame_et_al_2018","MAG-1526","Rhizophora mangle","Genus species"
"Adame_et_al_2018","HUI-1527","Laguncularia racemosa","Genus species"
"Adame_et_al_2018","OHU-1528","Avicennia germinans","Genus species"
"Adame_et_al_2018","OHU-1529","Avicennia germinans","Genus species"
"Adame_et_al_2018","OHU-1530","Avicennia germinans","Genus species"
"Adame_et_al_2018","OHU-1531","Avicennia germinans","Genus species"
"Adame_and_Najera_2025","MAG-1534","Avicennia germinans","Genus species"
"Douglas_et_al_2022","COW-1579","Zostera marina","Genus species"
