"study_id","site_id","core_id","sample_id","depth_min","depth_max","representative_depth_min","representative_depth_max","dry_bulk_density","method_id","fraction_organic_matter","fraction_carbon","depth_interval_notes"
"CEC_2015","SUI","SUI-1","1a","0","5","0","5",0.27,"no documented methods",0.309,0.131,NA
"CEC_2015","SUI","SUI-1","1b","5","10","5","10",0.38,"no documented methods",0.342,0.159,NA
"CEC_2015","SUI","SUI-1","1c","10","15","10","15",0.51,"no documented methods",0.255,0.098,NA
"CEC_2015","SUI","SUI-1","1d","15","20","15","20",0.47,"no documented methods",0.225,0.081,NA
"CEC_2015","SUI","SUI-1","1e","20","30","20","30",NA,"no documented methods",NA,NA,NA
"CEC_2015","SUI","SUI-3","3a","0","5","0","5",0.19,"no documented methods",0.644,0.303,NA
"CEC_2015","SUI","SUI-3","3b","5","10","5","10",0.2,"no documented methods",0.446,0.201,NA
"CEC_2015","SUI","SUI-3","3c","10","15","10","15",0.24,"no documented methods",0.369,0.16399999999999998,NA
"CEC_2015","SUI","SUI-3","3d","15","20","15","20",0.3,"no documented methods",0.302,0.122,NA
"CEC_2015","SUI","SUI-3","3e","20","30","20","30",NA,"no documented methods",NA,NA,NA
"CEC_2015","SUI","SUI-4","4a","0","5","0","5",0.24,"no documented methods",0.439,0.195,NA
"CEC_2015","SUI","SUI-4","4b","5","10","5","10",0.26,"no documented methods",0.353,0.151,NA
"CEC_2015","SUI","SUI-4","4c","10","15","10","15",0.24,"no documented methods",0.335,0.136,NA
"CEC_2015","SUI","SUI-4","4d","15","20","15","20",0.27,"no documented methods",0.35600000000000004,0.14800000000000002,NA
"CEC_2015","SUI","SUI-4","4e","20","30","20","30",NA,"no documented methods",NA,NA,NA
"CEC_2015","SUI","SUI-5","5a","0","5","0","5",0.2,"no documented methods",0.578,0.27399999999999997,NA
"CEC_2015","SUI","SUI-5","5b","5","10","5","10",0.23,"no documented methods",0.389,0.174,NA
"CEC_2015","SUI","SUI-5","5c","10","15","10","15",0.26,"no documented methods",0.426,0.198,NA
"CEC_2015","SUI","SUI-5","5d","15","20","15","20",0.25,"no documented methods",0.396,0.172,NA
"CEC_2015","SUI","SUI-5","5e","20","30","20","30",NA,"no documented methods",NA,NA,NA
"CEC_2015","SUI","SUI-6","6a","0","5","0","5",0.18,"no documented methods",0.49,0.221,NA
"CEC_2015","SUI","SUI-6","6b","5","10","5","10",0.21,"no documented methods",0.45799999999999996,0.204,NA
"CEC_2015","SUI","SUI-6","6c","10","15","10","15",0.24,"no documented methods",0.37799999999999995,0.172,NA
"CEC_2015","SUI","SUI-6","6d","15","20","15","20",0.28,"no documented methods",0.341,0.14300000000000002,NA
"CEC_2015","SUI","SUI-6","6e","20","30","20","30",NA,"no documented methods",NA,NA,NA
"CEC_2015","SUI","SUI-8","8a","0","5","0","5",0.17,"no documented methods",0.521,0.237,NA
"CEC_2015","SUI","SUI-8","8b","5","10","5","10",0.21,"no documented methods",0.449,0.20600000000000002,NA
"CEC_2015","SUI","SUI-8","8c","10","15","10","15",0.26,"no documented methods",0.35,0.152,NA
"CEC_2015","SUI","SUI-8","8d","15","20","15","20",0.27,"no documented methods",0.311,0.12,NA
"CEC_2015","SUI","SUI-8","8e","20","30","20","30",NA,"no documented methods",NA,NA,NA
"CEC_2015","SUI","SUI-9","9a","0","5","0","5",0.51,"no documented methods",0.136,0.042,NA
"CEC_2015","SUI","SUI-9","9b","5","10","5","10",0.41,"no documented methods",0.151,0.043,NA
"CEC_2015","SUI","SUI-9","9c","10","15","10","15",0.54,"no documented methods",0.12,0.033,NA
"CEC_2015","SUI","SUI-9","9d","15","20","15","20",0.7,"no documented methods",0.133,0.04,NA
"CEC_2015","SUI","SUI-9","9e","20","30","20","30",NA,"no documented methods",NA,NA,NA
"CEC_2015","SUI","SUI-10","10a","0","5","0","5",0.46,"no documented methods",0.182,0.057,NA
