"study_id","bibliography_id","publication_type","bibtype","title","volume","issn","url","doi","number","journal","publisher","author","year","month","pages","school","institution"
"Adame_and_Najera_2025","Janousek_et_al_2025_synthesis","synthesis source","Misc","Dataset: Carbon stocks and environmental driver data for blue carbon ecosystems along the Pacific coast of North America",NA,NA,"https://smithsonian.figshare.com/articles/dataset/Dataset_Carbon_stocks_and_environmental_driver_data_for_blue_carbon_ecosystems_along_the_Pacific_coast_of_North_America/28127486","10.25573/SERC.28127486",NA,NA,"Smithsonian Environmental Research Center","Christopher N. Janousek and Johannes Renke Krause and Judith Z. Drexler and Kevin J. Buffington and Katrina L. Poppe and Erin K. Peck and Maria Fernanda Adame and Elizabeth B. Watson and James Holmquist and Scott D Bridgham and Scott F Jones and Melissa Ward and Cheryl A. Brown and Lisa Beers and Matthew T. Costa and Heida L. Diefenderfer and Amy B. Borde and Lindsey Sheehan and John M Rybczyk and Carolyn Prentice and Andrew B. Gray and Alejandro Hinojosa-Corona and Ana {Carolina Ruiz-Fernández} and Joan-Albert Sanchez-Cabeza and Karen E Kohfeld and Paula Ezcurra and Jonathan Ochoa-Gómez and Karen M. Thorne and Marlow G Pellatt and Aurora M. Ricart and Amanda M. Nahlik and Laura S. Brophy and Richard F. Ambrose and Mira Lutz and Craig Cornu and Steve Crooks and Lisamarie Windham-Myers and Margot Hessing-Lewis and Fredrick {T. Short} and Stephen Chastain and Trevor Williams and Tristan J. Douglas and Elizabeth Fard and Lauren Brown and Michelle Goman","2025",NA,NA,NA,NA
"Adame_et_al_2015","Adame_et_al_2015_article","associated source","Article","Carbon stocks and soil sequestration rates of tropical riverine wetlands","12","1726-4189","http://dx.doi.org/10.5194/bg-12-3805-2015","10.5194/bg-12-3805-2015","12","Biogeosciences","Copernicus GmbH","M. F. Adame and N. S. Santini and C. Tovilla and A. Vázquez-Lule and L. Castro and M. Guevara","2015","jun","3805–3818",NA,NA
"Adame_et_al_2015","Janousek_et_al_2025_synthesis","synthesis source","Misc","Dataset: Carbon stocks and environmental driver data for blue carbon ecosystems along the Pacific coast of North America",NA,NA,"https://smithsonian.figshare.com/articles/dataset/Dataset_Carbon_stocks_and_environmental_driver_data_for_blue_carbon_ecosystems_along_the_Pacific_coast_of_North_America/28127486","10.25573/SERC.28127486",NA,NA,"Smithsonian Environmental Research Center","Christopher N. Janousek and Johannes Renke Krause and Judith Z. Drexler and Kevin J. Buffington and Katrina L. Poppe and Erin K. Peck and Maria Fernanda Adame and Elizabeth B. Watson and James Holmquist and Scott D Bridgham and Scott F Jones and Melissa Ward and Cheryl A. Brown and Lisa Beers and Matthew T. Costa and Heida L. Diefenderfer and Amy B. Borde and Lindsey Sheehan and John M Rybczyk and Carolyn Prentice and Andrew B. Gray and Alejandro Hinojosa-Corona and Ana {Carolina Ruiz-Fernández} and Joan-Albert Sanchez-Cabeza and Karen E Kohfeld and Paula Ezcurra and Jonathan Ochoa-Gómez and Karen M. Thorne and Marlow G Pellatt and Aurora M. Ricart and Amanda M. Nahlik and Laura S. Brophy and Richard F. Ambrose and Mira Lutz and Craig Cornu and Steve Crooks and Lisamarie Windham-Myers and Margot Hessing-Lewis and Fredrick {T. Short} and Stephen Chastain and Trevor Williams and Tristan J. Douglas and Elizabeth Fard and Lauren Brown and Michelle Goman","2025",NA,NA,NA,NA
"Adame_et_al_2018","Adame_et_al_2018_article","associated source","Article","Avoided emissions and conservation of scrub mangroves: potential for a Blue Carbon project in the Gulf of California, Mexico","14","1744-957X","http://dx.doi.org/10.1098/rsbl.2018.0400","10.1098/rsbl.2018.0400","12","Biology Letters","The Royal Society","M. F. Adame and E. Najera and C. E. Lovelock and C. J. Brown","2018","dec","20180400",NA,NA
"Adame_et_al_2018","Janousek_et_al_2025_synthesis","synthesis source","Misc","Dataset: Carbon stocks and environmental driver data for blue carbon ecosystems along the Pacific coast of North America",NA,NA,"https://smithsonian.figshare.com/articles/dataset/Dataset_Carbon_stocks_and_environmental_driver_data_for_blue_carbon_ecosystems_along_the_Pacific_coast_of_North_America/28127486","10.25573/SERC.28127486",NA,NA,"Smithsonian Environmental Research Center","Christopher N. Janousek and Johannes Renke Krause and Judith Z. Drexler and Kevin J. Buffington and Katrina L. Poppe and Erin K. Peck and Maria Fernanda Adame and Elizabeth B. Watson and James Holmquist and Scott D Bridgham and Scott F Jones and Melissa Ward and Cheryl A. Brown and Lisa Beers and Matthew T. Costa and Heida L. Diefenderfer and Amy B. Borde and Lindsey Sheehan and John M Rybczyk and Carolyn Prentice and Andrew B. Gray and Alejandro Hinojosa-Corona and Ana {Carolina Ruiz-Fernández} and Joan-Albert Sanchez-Cabeza and Karen E Kohfeld and Paula Ezcurra and Jonathan Ochoa-Gómez and Karen M. Thorne and Marlow G Pellatt and Aurora M. Ricart and Amanda M. Nahlik and Laura S. Brophy and Richard F. Ambrose and Mira Lutz and Craig Cornu and Steve Crooks and Lisamarie Windham-Myers and Margot Hessing-Lewis and Fredrick {T. Short} and Stephen Chastain and Trevor Williams and Tristan J. Douglas and Elizabeth Fard and Lauren Brown and Michelle Goman","2025",NA,NA,NA,NA
"Adame_et_al_2021","Adame_et_al_2021_article","associated source","Article","Mangroves in arid regions: Ecology, threats, and opportunities","248","0272-7714","http://dx.doi.org/10.1016/j.ecss.2020.106796","10.1016/j.ecss.2020.106796",NA,"Estuarine, Coastal and Shelf Science","Elsevier BV","M.F. Adame and R. Reef and N.S. Santini and E. Najera and M.P. Turschwell and M.A. Hayes and P. Masque and C.E. Lovelock","2021","jan","106796",NA,NA
"Adame_et_al_2021","Janousek_et_al_2025_synthesis","synthesis source","Misc","Dataset: Carbon stocks and environmental driver data for blue carbon ecosystems along the Pacific coast of North America",NA,NA,"https://smithsonian.figshare.com/articles/dataset/Dataset_Carbon_stocks_and_environmental_driver_data_for_blue_carbon_ecosystems_along_the_Pacific_coast_of_North_America/28127486","10.25573/SERC.28127486",NA,NA,"Smithsonian Environmental Research Center","Christopher N. Janousek and Johannes Renke Krause and Judith Z. Drexler and Kevin J. Buffington and Katrina L. Poppe and Erin K. Peck and Maria Fernanda Adame and Elizabeth B. Watson and James Holmquist and Scott D Bridgham and Scott F Jones and Melissa Ward and Cheryl A. Brown and Lisa Beers and Matthew T. Costa and Heida L. Diefenderfer and Amy B. Borde and Lindsey Sheehan and John M Rybczyk and Carolyn Prentice and Andrew B. Gray and Alejandro Hinojosa-Corona and Ana {Carolina Ruiz-Fernández} and Joan-Albert Sanchez-Cabeza and Karen E Kohfeld and Paula Ezcurra and Jonathan Ochoa-Gómez and Karen M. Thorne and Marlow G Pellatt and Aurora M. Ricart and Amanda M. Nahlik and Laura S. Brophy and Richard F. Ambrose and Mira Lutz and Craig Cornu and Steve Crooks and Lisamarie Windham-Myers and Margot Hessing-Lewis and Fredrick {T. Short} and Stephen Chastain and Trevor Williams and Tristan J. Douglas and Elizabeth Fard and Lauren Brown and Michelle Goman","2025",NA,NA,NA,NA
"Aldana-Gutiérrez_et_al_2021","Aldana-Gutiérrez_et_al_2021_article","associated source","Article","Flujos e inventarios de carbono azul en manglares asociados a una laguna costera antropizada","60","0016-7169","http://dx.doi.org/10.22201/igeof.00167169p.2021.60.1.2011","10.22201/igeof.00167169p.2021.60.1.2011","1","Geofísica Internacional","Universidad Nacional Autonoma de Mexico","GIOVANNI ALDANA-GUTIÉRREZ and Ana Carolina Ruiz-Fernández and Libia Hascibe Pérez-Bernal and Francisco Flores-Verdugo and Tomasa Cuéllar-Martínez and Joan Albert Sanchez-Cabeza","2021","jan","13–30",NA,NA
"Aldana-Gutiérrez_et_al_2021","Janousek_et_al_2025_synthesis","synthesis source","Misc","Dataset: Carbon stocks and environmental driver data for blue carbon ecosystems along the Pacific coast of North America",NA,NA,"https://smithsonian.figshare.com/articles/dataset/Dataset_Carbon_stocks_and_environmental_driver_data_for_blue_carbon_ecosystems_along_the_Pacific_coast_of_North_America/28127486","10.25573/SERC.28127486",NA,NA,"Smithsonian Environmental Research Center","Christopher N. Janousek and Johannes Renke Krause and Judith Z. Drexler and Kevin J. Buffington and Katrina L. Poppe and Erin K. Peck and Maria Fernanda Adame and Elizabeth B. Watson and James Holmquist and Scott D Bridgham and Scott F Jones and Melissa Ward and Cheryl A. Brown and Lisa Beers and Matthew T. Costa and Heida L. Diefenderfer and Amy B. Borde and Lindsey Sheehan and John M Rybczyk and Carolyn Prentice and Andrew B. Gray and Alejandro Hinojosa-Corona and Ana {Carolina Ruiz-Fernández} and Joan-Albert Sanchez-Cabeza and Karen E Kohfeld and Paula Ezcurra and Jonathan Ochoa-Gómez and Karen M. Thorne and Marlow G Pellatt and Aurora M. Ricart and Amanda M. Nahlik and Laura S. Brophy and Richard F. Ambrose and Mira Lutz and Craig Cornu and Steve Crooks and Lisamarie Windham-Myers and Margot Hessing-Lewis and Fredrick {T. Short} and Stephen Chastain and Trevor Williams and Tristan J. Douglas and Elizabeth Fard and Lauren Brown and Michelle Goman","2025",NA,NA,NA,NA
"Blount_2017","Janousek_et_al_2025_synthesis","synthesis source","Misc","Dataset: Carbon stocks and environmental driver data for blue carbon ecosystems along the Pacific coast of North America",NA,NA,"https://smithsonian.figshare.com/articles/dataset/Dataset_Carbon_stocks_and_environmental_driver_data_for_blue_carbon_ecosystems_along_the_Pacific_coast_of_North_America/28127486","10.25573/SERC.28127486",NA,NA,"Smithsonian Environmental Research Center","Christopher N. Janousek and Johannes Renke Krause and Judith Z. Drexler and Kevin J. Buffington and Katrina L. Poppe and Erin K. Peck and Maria Fernanda Adame and Elizabeth B. Watson and James Holmquist and Scott D Bridgham and Scott F Jones and Melissa Ward and Cheryl A. Brown and Lisa Beers and Matthew T. Costa and Heida L. Diefenderfer and Amy B. Borde and Lindsey Sheehan and John M Rybczyk and Carolyn Prentice and Andrew B. Gray and Alejandro Hinojosa-Corona and Ana {Carolina Ruiz-Fernández} and Joan-Albert Sanchez-Cabeza and Karen E Kohfeld and Paula Ezcurra and Jonathan Ochoa-Gómez and Karen M. Thorne and Marlow G Pellatt and Aurora M. Ricart and Amanda M. Nahlik and Laura S. Brophy and Richard F. Ambrose and Mira Lutz and Craig Cornu and Steve Crooks and Lisamarie Windham-Myers and Margot Hessing-Lewis and Fredrick {T. Short} and Stephen Chastain and Trevor Williams and Tristan J. Douglas and Elizabeth Fard and Lauren Brown and Michelle Goman","2025",NA,NA,NA,NA
"Blount_2017","Blount_2017_msthesis","associated source","Mastersthesis","Land use effects of carbon cycling in Oregon coastal wetlands.",NA,NA,"https://scholarsbank.uoregon.edu/xmlui/bitstream/handle/1794/23152/Blount_oregon_0171N_12032.pdf?sequence=1&isAllowed=y",NA,NA,NA,NA,"Keyyana J. Blount","2017",NA,NA,"University of Oregon",NA
"Bridgham_et_al_2025","Janousek_et_al_2025_synthesis","synthesis source","Misc","Dataset: Carbon stocks and environmental driver data for blue carbon ecosystems along the Pacific coast of North America",NA,NA,"https://smithsonian.figshare.com/articles/dataset/Dataset_Carbon_stocks_and_environmental_driver_data_for_blue_carbon_ecosystems_along_the_Pacific_coast_of_North_America/28127486","10.25573/SERC.28127486",NA,NA,"Smithsonian Environmental Research Center","Christopher N. Janousek and Johannes Renke Krause and Judith Z. Drexler and Kevin J. Buffington and Katrina L. Poppe and Erin K. Peck and Maria Fernanda Adame and Elizabeth B. Watson and James Holmquist and Scott D Bridgham and Scott F Jones and Melissa Ward and Cheryl A. Brown and Lisa Beers and Matthew T. Costa and Heida L. Diefenderfer and Amy B. Borde and Lindsey Sheehan and John M Rybczyk and Carolyn Prentice and Andrew B. Gray and Alejandro Hinojosa-Corona and Ana {Carolina Ruiz-Fernández} and Joan-Albert Sanchez-Cabeza and Karen E Kohfeld and Paula Ezcurra and Jonathan Ochoa-Gómez and Karen M. Thorne and Marlow G Pellatt and Aurora M. Ricart and Amanda M. Nahlik and Laura S. Brophy and Richard F. Ambrose and Mira Lutz and Craig Cornu and Steve Crooks and Lisamarie Windham-Myers and Margot Hessing-Lewis and Fredrick {T. Short} and Stephen Chastain and Trevor Williams and Tristan J. Douglas and Elizabeth Fard and Lauren Brown and Michelle Goman","2025",NA,NA,NA,NA
"Brown_et_al_2019","Janousek_et_al_2025_synthesis","synthesis source","Misc","Dataset: Carbon stocks and environmental driver data for blue carbon ecosystems along the Pacific coast of North America",NA,NA,"https://smithsonian.figshare.com/articles/dataset/Dataset_Carbon_stocks_and_environmental_driver_data_for_blue_carbon_ecosystems_along_the_Pacific_coast_of_North_America/28127486","10.25573/SERC.28127486",NA,NA,"Smithsonian Environmental Research Center","Christopher N. Janousek and Johannes Renke Krause and Judith Z. Drexler and Kevin J. Buffington and Katrina L. Poppe and Erin K. Peck and Maria Fernanda Adame and Elizabeth B. Watson and James Holmquist and Scott D Bridgham and Scott F Jones and Melissa Ward and Cheryl A. Brown and Lisa Beers and Matthew T. Costa and Heida L. Diefenderfer and Amy B. Borde and Lindsey Sheehan and John M Rybczyk and Carolyn Prentice and Andrew B. Gray and Alejandro Hinojosa-Corona and Ana {Carolina Ruiz-Fernández} and Joan-Albert Sanchez-Cabeza and Karen E Kohfeld and Paula Ezcurra and Jonathan Ochoa-Gómez and Karen M. Thorne and Marlow G Pellatt and Aurora M. Ricart and Amanda M. Nahlik and Laura S. Brophy and Richard F. Ambrose and Mira Lutz and Craig Cornu and Steve Crooks and Lisamarie Windham-Myers and Margot Hessing-Lewis and Fredrick {T. Short} and Stephen Chastain and Trevor Williams and Tristan J. Douglas and Elizabeth Fard and Lauren Brown and Michelle Goman","2025",NA,NA,NA,NA
"Brown_et_al_2019","Brown_2019_phdthesis","associated source","Phdthesis","California salt marsh accretion, ecosystem services, and disturbance responses in the face of climate change.",NA,NA,"https://escholarship.org/uc/item/3gq3p803",NA,NA,NA,NA,"Lauren N. Brown","2019",NA,NA,"University of California",NA
"CEC_2015","Janousek_et_al_2025_synthesis","synthesis source","Misc","Dataset: Carbon stocks and environmental driver data for blue carbon ecosystems along the Pacific coast of North America",NA,NA,"https://smithsonian.figshare.com/articles/dataset/Dataset_Carbon_stocks_and_environmental_driver_data_for_blue_carbon_ecosystems_along_the_Pacific_coast_of_North_America/28127486","10.25573/SERC.28127486",NA,NA,"Smithsonian Environmental Research Center","Christopher N. Janousek and Johannes Renke Krause and Judith Z. Drexler and Kevin J. Buffington and Katrina L. Poppe and Erin K. Peck and Maria Fernanda Adame and Elizabeth B. Watson and James Holmquist and Scott D Bridgham and Scott F Jones and Melissa Ward and Cheryl A. Brown and Lisa Beers and Matthew T. Costa and Heida L. Diefenderfer and Amy B. Borde and Lindsey Sheehan and John M Rybczyk and Carolyn Prentice and Andrew B. Gray and Alejandro Hinojosa-Corona and Ana {Carolina Ruiz-Fernández} and Joan-Albert Sanchez-Cabeza and Karen E Kohfeld and Paula Ezcurra and Jonathan Ochoa-Gómez and Karen M. Thorne and Marlow G Pellatt and Aurora M. Ricart and Amanda M. Nahlik and Laura S. Brophy and Richard F. Ambrose and Mira Lutz and Craig Cornu and Steve Crooks and Lisamarie Windham-Myers and Margot Hessing-Lewis and Fredrick {T. Short} and Stephen Chastain and Trevor Williams and Tristan J. Douglas and Elizabeth Fard and Lauren Brown and Michelle Goman","2025",NA,NA,NA,NA
