study_id,site_id,core_id,method_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,fraction_carbon,compaction_notes,delta_c13
Johnson_et_al_2024_marsh,Long,Brackish,Gunn_2016,0,50,NA,NA,NA,NA,NA,NA
Johnson_et_al_2024_marsh,Long,Fresh,Gunn_2016,0,50,NA,NA,NA,NA,NA,NA
Johnson_et_al_2024_marsh,Long,Sal,Gunn_2016,0,50,NA,NA,NA,NA,NA,NA
Johnson_et_al_2024_marsh,Long,TE,Gunn_2016,0,50,NA,NA,NA,NA,NA,NA
Johnson_et_al_2024_marsh,Long,TW,Gunn_2016,0,50,NA,NA,NA,NA,NA,NA
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_17,Johnson_et_al_2015,0,7,14478,0.19442732763016543,NA,0.231506313,NA,-16.7262265293761
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_17,Johnson_et_al_2015,13,20,14479,0.1475546715265766,NA,0.199733583,NA,-19.1491935483871
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_17,Johnson_et_al_2015,20,30,14480,0.21088505669074828,NA,0.15721992399999998,NA,-19.9778225806452
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_17,Johnson_et_al_2015,30,40,14481,0.2506950410726218,NA,0.116042534,NA,-18.0153442358167
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_17,Johnson_et_al_2015,40,50,14482,0.3750987819435957,NA,0.08327551899999999,NA,-17.5752069452857
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_17,Johnson_et_al_2015,50,60,14483,0.6011413927589759,NA,0.040018285,NA,-14.9485887096774
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_17,Johnson_et_al_2015,60,70,14484,0.6396680729869396,NA,0.031265452,NA,-15.523185483871
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_17,Johnson_et_al_2015,70,78.5,14485,0.6423763958639028,NA,0.021806081,NA,-16.7157258064516
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_18,Johnson_et_al_2015,0,10,14486,0.12171510057305827,NA,0.21368038299999997,NA,-25.2755905511811
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_18,Johnson_et_al_2015,10,20,14487,0.05205648506535108,NA,0.171045681,NA,-19.7762096774194
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_18,Johnson_et_al_2015,20,30,14488,0.16640045978504656,NA,0.165603681,NA,-18.7943548387097
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_18,Johnson_et_al_2015,30,40,14489,0.16544979121704276,NA,0.171673731,NA,-17.580254391278
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_18,Johnson_et_al_2015,40,50,14490,0.17162224800640077,NA,0.161176195,NA,-20.03125
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_18,Johnson_et_al_2015,50,55,14491,0.28012246500683474,NA,0.037851396,NA,-19.9576612903226
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_18,Johnson_et_al_2015,55,60,14492,0.15126652475527172,NA,0.08817873600000001,NA,-19.8879466989703
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_18,Johnson_et_al_2015,60,70,14493,0.1663492850795225,NA,0.174480714,NA,-19.3034524530588
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_18,Johnson_et_al_2015,70,80,14494,0.1462277845190611,NA,0.163618736,NA,-17.6004441752473
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_18,Johnson_et_al_2015,80,90,14495,0.16376889896636934,NA,0.140740618,NA,-16.0286694932364
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_18,Johnson_et_al_2015,90,100,14496,0.1715080890479241,NA,0.126775095,NA,-15.4284274193548
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_18,Johnson_et_al_2015,100,110,14497,0.19297981453105764,NA,0.10994817,NA,-15.6239919354839
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_18,Johnson_et_al_2015,110,120,14498,0.211973503312086,NA,0.111372615,NA,-15.453260650111
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_18,Johnson_et_al_2015,120,130,14499,0.3351726703453407,NA,0.068977613,NA,-18.5090725806452
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_18,Johnson_et_al_2015,130,140,14500,0.36528898454622305,NA,0.05973207399999999,NA,-18.7600806451613
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_18,Johnson_et_al_2015,140,150,14501,0.37843301083427566,NA,0.034563037,NA,-18.6985887096774
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_19,Johnson_et_al_2015,0,10,14506,0.2371553949457105,NA,0.091811814,NA,-18.8679435483871
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_19,Johnson_et_al_2015,10,20,14507,0.17110065966163676,NA,0.202748221,NA,-17.2570564516129
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_19,Johnson_et_al_2015,20,30,14508,0.19926839853679704,NA,0.251410544,NA,-21.116935483871
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_19,Johnson_et_al_2015,30,40,14509,0.4672880456872025,NA,0.089979511,NA,-19.0110887096774
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_19,Johnson_et_al_2015,40,50,14510,0.4170876278260493,NA,0.111596049,NA,-21.726814516129
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_19,Johnson_et_al_2015,50,55,14511,0.5049152320526863,NA,0.051720132,NA,-18.6189516129032
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_19,Johnson_et_al_2015,60,70,14512,0.5937151556842796,NA,0.04925587,NA,-17.2449596774194
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_19,Johnson_et_al_2015,70,80,14513,0.502541513019534,NA,0.049987564,NA,-17.179435483871
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_19,Johnson_et_al_2015,80,90,14514,0.544219374153034,NA,0.060113394,NA,-18.1522177419355
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_19,Johnson_et_al_2015,90,100,14515,0.6044047643650843,NA,0.060191809,NA,-17.9808467741935
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_19,Johnson_et_al_2015,100,110,14516,0.622729245458491,NA,0.051274628,NA,-17.5504032258065
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_19,Johnson_et_al_2015,110,120,14517,0.7697659839764124,NA,0.028422147,NA,-17.9848790322581
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_19,Johnson_et_al_2015,120,130,14518,0.7233210021975599,NA,0.040828242,NA,-18.2540322580645
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_19,Johnson_et_al_2015,130,140,14519,0.6558097560639565,NA,0.046820708,NA,-18.1229838709677
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_19,Johnson_et_al_2015,140,150,14520,0.6034973974709854,NA,0.050519388,NA,-18.7328629032258
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_19,Johnson_et_al_2015,150,160,14521,0.6705795633813489,NA,0.038857723,NA,-19.4475806451613
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_19,Johnson_et_al_2015,160,170,14522,0.5718241912674301,NA,0.05574741,NA,-19.8407258064516
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_19,Johnson_et_al_2015,170,180,14523,0.5769711856884031,NA,0.072031039,NA,-19.1139112903226
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_19,Johnson_et_al_2015,180,190,14524,0.4279484749445689,NA,0.05747441099999999,NA,-19.6542338709677
Johnson_et_al_2024_marsh,Sprague,Johnson_Sprague_19,Johnson_et_al_2015,190,195,14525,0.49398352764959497,NA,0.044575557,NA,-19.5504032258064
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_11,Karboski_2020,0,2,NA,0.01706374690740643,0.6780932764454937,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_11,Karboski_2020,5,7,NA,0.06594514923408959,0.6987720234917244,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_11,Karboski_2020,10,12,NA,0.12000842238248144,0.7270506108202471,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_11,Karboski_2020,15,17,NA,0.15516765805127125,0.5010241238051906,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_11,Karboski_2020,20,22,NA,0.2089087750697479,0.4126170701537369,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_11,Karboski_2020,25,27,NA,0.25605095541401274,0.40163282999783334,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_11,Karboski_2020,30,32,NA,0.23641838184976577,0.4854967717066602,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_11,Karboski_2020,35,37,NA,0.20594409643627945,0.5684101143055093,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_11,Karboski_2020,40,42,NA,0.18050639574669683,0.6540130854440633,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_11,Karboski_2020,45,47,NA,0.15518871400747486,0.637370085856305,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_11,Karboski_2020,50,52,NA,0.18946570511133337,0.5753656985372053,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_11,Karboski_2020,55,57,NA,0.16686845291361793,0.6542862502344776,NA,NA,NA
Johnson_et_al_2024_marsh,Small_Point,Small_Point_2020_11,Karboski_2020,60,62,NA,0.12322998368163396,0.7100760456273766,NA,NA,NA
