study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon
Chambers_and_White_2020,1,1_1,Chambers_et_al_2019,0,5,0.181401,0.190559,NA
Chambers_and_White_2020,1,1_1,Chambers_et_al_2019,5,10,0.141247,0.245722,NA
Chambers_and_White_2020,1,1_1,Chambers_et_al_2019,10,20,0.140078,0.270285,NA
Chambers_and_White_2020,1,1_1,Chambers_et_al_2019,20,30,0.139875,0.24985800000000002,NA
Chambers_and_White_2020,1,1_1,Chambers_et_al_2019,30,40,0.241028,0.157417,NA
Chambers_and_White_2020,1,1_1,Chambers_et_al_2019,40,50,0.199682,0.191612,NA
Chambers_and_White_2020,1,1_1,Chambers_et_al_2019,50,60,0.143366,0.194287,NA
Chambers_and_White_2020,1,1_1,Chambers_et_al_2019,60,70,0.105285,0.402224,NA
Chambers_and_White_2020,1,1_1,Chambers_et_al_2019,70,80,0.0722459,0.473652,NA
Chambers_and_White_2020,1,1_1,Chambers_et_al_2019,80,90,0.104719,0.349322,NA
Chambers_and_White_2020,1,1_1,Chambers_et_al_2019,90,100,0.0780977,0.568696,NA
Chambers_and_White_2020,1,1_2,Chambers_et_al_2019,0,5,0.232946,0.148887,NA
Chambers_and_White_2020,1,1_2,Chambers_et_al_2019,5,10,0.123668,0.247813,NA
Chambers_and_White_2020,1,1_2,Chambers_et_al_2019,10,20,0.110162,0.294962,NA
Chambers_and_White_2020,1,1_2,Chambers_et_al_2019,20,30,0.145135,0.206345,NA
Chambers_and_White_2020,1,1_2,Chambers_et_al_2019,30,40,0.165198,0.18288900000000002,NA
Chambers_and_White_2020,1,1_2,Chambers_et_al_2019,40,50,0.132812,0.237425,NA
Chambers_and_White_2020,1,1_2,Chambers_et_al_2019,50,60,0.159232,0.174808,NA
Chambers_and_White_2020,1,1_2,Chambers_et_al_2019,60,70,0.118449,0.274637,NA
Chambers_and_White_2020,1,1_2,Chambers_et_al_2019,70,80,0.0773158,0.44253,NA
Chambers_and_White_2020,1,1_2,Chambers_et_al_2019,80,90,0.0886162,0.34490499999999996,NA
Chambers_and_White_2020,1,1_2,Chambers_et_al_2019,90,100,0.0871876,0.378337,NA
Chambers_and_White_2020,1,1_3,Chambers_et_al_2019,0,5,0.174846,0.19685,NA
Chambers_and_White_2020,1,1_3,Chambers_et_al_2019,5,10,0.169617,0.235926,NA
Chambers_and_White_2020,1,1_3,Chambers_et_al_2019,10,20,0.144878,0.272386,NA
Chambers_and_White_2020,1,1_3,Chambers_et_al_2019,20,30,0.146899,0.22426,NA
Chambers_and_White_2020,1,1_3,Chambers_et_al_2019,30,40,0.163902,0.191339,NA
Chambers_and_White_2020,1,1_3,Chambers_et_al_2019,40,50,0.25335,0.0999394,NA
Chambers_and_White_2020,1,1_3,Chambers_et_al_2019,50,60,0.168689,0.182701,NA
Chambers_and_White_2020,1,1_3,Chambers_et_al_2019,60,70,0.180331,0.159459,NA
Chambers_and_White_2020,1,1_3,Chambers_et_al_2019,70,80,0.0880288,0.43796599999999997,NA
Chambers_and_White_2020,1,1_3,Chambers_et_al_2019,80,90,0.0754087,0.5250889999999999,NA
Chambers_and_White_2020,1,1_3,Chambers_et_al_2019,90,100,0.0860394,0.50817,NA
