study_id,bibliography_id,publication_type,key,bibtype,doi,url,year,month,publisher,author,title,language
Chambers_et_al_2019,Chambers_et_al_2019,Misc,Chambers_et_al_2019,Misc,10.1575/1912/bco-dmo.775547.1,https://doi.org/10.1575/1912/bco-dmo.775547.1,2019,sep,Biological and Chemical Oceanography Data Management Office,Lisa Chambers and Havalend Steinmuller and Kyle Dittmer and John White and Robert Cook and Zuo Xue,Barataria Bay carbon mineralization and biogeochemical properties from nine soil cores,NA
White_et_al_2020_a,White_et_al_2020,Misc,White_et_al_2020_a,Misc,10.26008/1912/bco-dmo.833824.1,https://hdl.handle.net/1912/26484,2020,NA,Biological and Chemical Oceanography Data Management Office (BCO-DMO),John R. White and Yadav Sapkota and Lisa G. Chambers and Robert L. Cook and Zuo Xue,"Biogeochemical properties of sediment cores from Barataria Basin, Louisiana, 2018 and 2019",en
White_et_al_2020_b,White_et_al_2020,Misc,White_et_al_2020_b,Misc,10.26008/1912/bco-dmo.833824.1,https://hdl.handle.net/1912/26484,2020,NA,Biological and Chemical Oceanography Data Management Office (BCO-DMO),John R. White and Yadav Sapkota and Lisa G. Chambers and Robert L. Cook and Zuo Xue,"Biogeochemical properties of sediment cores from Barataria Basin, Louisiana, 2018 and 2019",en
