study_id,site_id,core_id,salinity_class,salinity_notes,vegetation_class,vegetation_notes,core_length_flag,core_latitude,core_longitude,core_year,core_month,core_day,core_position_method,core_elevation_notes
Chambers_and_White_2020,1,1_1,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.4436,-89.8998,2017,NA,NA,handheld,NA
Chambers_and_White_2020,1,1_2,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.4436,-89.8998,2017,NA,NA,handheld,NA
Chambers_and_White_2020,1,1_3,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.4436,-89.8998,2017,NA,NA,handheld,NA
Chambers_and_White_2020,2,2_1,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.4417,-89.9013,2017,NA,NA,handheld,NA
Chambers_and_White_2020,2,2_2,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.4417,-89.9013,2017,NA,NA,handheld,NA
Chambers_and_White_2020,2,2_3,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.4417,-89.9013,2017,NA,NA,handheld,NA
Chambers_and_White_2020,3,3_1,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.4414,-89.9026,2017,NA,NA,handheld,NA
Chambers_and_White_2020,3,3_2,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.4414,-89.9026,2017,NA,NA,handheld,NA
Chambers_and_White_2020,3,3_3,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.4414,-89.9026,2017,NA,NA,handheld,NA
Chambers_and_White_2020,Marsh_1,Marsh_1_1,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.446837,-89.905628,2018,9,17,handheld,NA
Chambers_and_White_2020,Marsh_1,Marsh_1_2,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.446837,-89.905628,2018,9,17,handheld,NA
Chambers_and_White_2020,Marsh_1,Marsh_1_3,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.446837,-89.905628,2019,8,7,handheld,NA
Chambers_and_White_2020,Marsh_2,Marsh_2_1,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.44679,-89.905927,2018,9,17,handheld,NA
Chambers_and_White_2020,Marsh_2,Marsh_2_2,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.44679,-89.905927,2018,9,17,handheld,NA
Chambers_and_White_2020,Marsh_2,Marsh_2_3,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.44679,-89.905927,2019,8,7,handheld,NA
Chambers_and_White_2020,Marsh_3,Marsh_3_1,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.446688,-89.905857,2018,9,17,handheld,NA
Chambers_and_White_2020,Marsh_3,Marsh_3_2,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.446688,-89.905857,2018,9,17,handheld,NA
Chambers_and_White_2020,Marsh_3,Marsh_3_3,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.446688,-89.905857,2019,8,7,handheld,NA
Chambers_and_White_2020,Marsh_4,Marsh_4_1,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.443585,-89.899836,2018,9,17,handheld,NA
Chambers_and_White_2020,Marsh_4,Marsh_4_2,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.443585,-89.899836,2018,9,17,handheld,NA
Chambers_and_White_2020,Estuary,Estuary_1,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.44657,-89.90633,2019,8,7,handheld,"During sampling, the depth of the estuary was 1 m relative to the marsh surface"
Chambers_and_White_2020,Estuary,Estuary_2,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.44657,-89.90633,2019,8,7,handheld,"During sampling, the depth of the estuary was 1 m relative to the marsh surface"
Chambers_and_White_2020,Estuary,Estuary_3,brackish,salinity ranged from 14 to 20 ppt,emergent,Spartina alterniflora was the dominant vegetation,core depth limited by length of corer,29.44657,-89.90633,2019,8,7,handheld,"During sampling, the depth of the estuary was 1 m relative to the marsh surface"
