study_id,site_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,fraction_carbon,cs137_activity,cs137_activity_se,depth_interval_notes,method_id,cs137_unit
Piazza_et_al_2020,CRMS0128,0128_1,0,2,0.111,0.5602389999999999,0.234923,11.3614,5.9149,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_1,2,4,0.1236,0.630635,0.290962,10.0859,2.2795,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_1,4,6,0.1249,0.62,0.276619,25.0827,7.3878,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_1,6,8,0.1325,0.576538,0.262974,4.5625,19.8601,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_1,8,10,0.1259,0.6342260000000001,0.299663,7.3956,3.1949,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_1,10,12,0.1412,0.573956,0.27547499999999997,20.1515,2.7701,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_1,12,14,0.168,0.467199,0.200634,20.6859,5.1715,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_1,14,16,0.1123,0.698673,0.319216,33.4505,3.5458,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_1,16,18,0.1176,0.65927499999999994,0.3054,58.2504,6.2411,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_1,18,20,0.192,0.4255060000000001,0.189038,84.5584,6.5942,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_1,20,22,0.1826,0.416201,0.173773,118.9766,5.1587,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_1,22,24,0.1891,0.441219,0.194707,151.6575,4.0619,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_1,24,26,0.1767,0.46301,0.214259,163.8486,4.8155,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_1,26,28,0.1745,0.5183599999999999,0.245766,166.4924,4.8411,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_1,28,30,0.1505,0.5824320000000001,0.241698,123.4171,4.3211,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_1,30,32,0.2034,0.416558,0.182847,86.2338,2.6177,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_1,32,34,0.2251,0.362528,0.14932700000000002,54.0057,3.7817,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_1,34,36,0.1698,0.570281,0.250071,46.9815,3.8509,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_1,36,38,0.1251,0.6837350000000001,0.304659,68.9141,6.2817,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_1,38,40,0.1439,0.588826,0.275835,20.7205,6.2948,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_1,40,42,0.168,0.554048,0.26622,29.373,2.4137,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_2,0,2,0.1428,0.33631500000000003,0.14398999999999998,43.6321,3.6135,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_2,2,4,0.1883,0.357678,0.155699,15.6459,10.9483,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_2,4,6,0.1097,0.6154379999999999,0.157351,10.0451,2.1115,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_2,6,8,0.1035,0.749609,0.303768,9.8891,2.4987,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_2,8,10,0.1156,0.681752,0.287757,14.8127,8.603,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_2,10,12,0.138,0.549524,0.227893,11.7625,2.2766,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_2,12,14,0.1367,0.556172,0.22539,14.0846,3.1907,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_2,14,16,0.127,0.580734,0.25339500000000004,11.0165,3.0189,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_2,16,18,0.1208,0.646722,0.290669,26.5417,2.3305,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_2,18,20,0.1205,0.6801130000000001,0.29788,25.4441,3.1519,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_2,20,22,0.1177,0.662427,0.275864,33.1299,3.5313,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_2,22,24,0.1298,0.529863,0.24436800000000003,50.484,3.1424,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_2,24,26,0.1536,0.469819,0.20276,118.451,3.3956,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_2,26,28,0.1571,0.463891,0.206616,146.3347,3.6265,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_2,28,30,0.137,0.583373,0.25456,159.9793,3.7161,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_2,30,32,0.114,0.6646510000000001,0.272681,119.8385,4.456,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_2,32,34,0.1062,0.665492,0.32445,90.0681,4.2623,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_2,34,36,0.1378,0.571648,0.25699500000000003,67.4534,3.3531,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_2,36,38,0.2119,0.34145699999999995,0.155915,24.2533,1.9377,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0128,0128_2,38,40,0.2013,0.34428400000000003,0.151483,27.4613,2.2122,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_1,0,2,0.306,0.184086,0.04001299999999999,8.5053,2.3715,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_1,2,4,0.2927,0.193674,0.077233,1.2945,2.6445,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_1,4,6,0.2338,0.280986,0.043367,9.1964,3.0148,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_1,6,8,0.1771,0.324521,0.122988,9.3644,3.9819,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_1,8,10,0.1523,0.590618,0.130952,10.8058,4.821,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_1,10,12,0.1372,0.430556,0.164143,7.5509,4.0133,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_1,12,14,0.1448,0.386277,0.136385,16.5355,4.7099,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_1,14,16,0.1353,0.39542,0.138821,20.5476,5.4548,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_1,16,18,0.125,0.424667,0.156079,2.3605,4.4486,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_1,18,20,0.1393,0.436071,0.15876300000000002,12.4137,5.1814,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_1,20,22,0.173,0.365498,0.14947100000000002,15.6745,4.1819,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_1,22,24,0.1394,0.393738,0.154183,19.9711,4.0309,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_1,24,26,0.1666,0.373742,0.152415,29.0916,4.7013,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_1,26,28,0.2287,0.282956,0.095829,33.3933,3.2173,NA,single set of methods,becquerelsPerKilogram
Piazza_et_al_2020,CRMS0135,0135_1,28,30,0.4599,0.109671,0.042038,21.4474,1.2217,NA,single set of methods,becquerelsPerKilogram
