study_id,site_id,core_id,impact_class
Piazza_et_al_2020,CRMS0128_H,0128_H_1,storm or wind
Piazza_et_al_2020,CRMS0128_H,0128_H_2,storm or wind
Piazza_et_al_2020,CRMS0135_H,0135_H_1,storm or wind
Piazza_et_al_2020,CRMS0135_H,0135_H_2,storm or wind
Piazza_et_al_2020,CRMS0147_H,0147_H_1,storm or wind
Piazza_et_al_2020,CRMS0147_H,0147_H_2,storm or wind
Piazza_et_al_2020,CRMS0164_H,0164_H_1,storm or wind
Piazza_et_al_2020,CRMS0164_H,0164_H_2,storm or wind
Piazza_et_al_2020,CRMS0294_H,0294_H_1,storm or wind
Piazza_et_al_2020,CRMS0294_H,0294_H_2,storm or wind
Piazza_et_al_2020,CRMS0312_H,0312_H_1,storm or wind
Piazza_et_al_2020,CRMS0312_H,0312_H_2,storm or wind
Piazza_et_al_2020,CRMS0326_H,0326_H_1,storm or wind
Piazza_et_al_2020,CRMS0326_H,0326_H_2,storm or wind
Piazza_et_al_2020,CRMS0326_H,0326_H_3,storm or wind
Piazza_et_al_2020,CRMS0610_H,0610_H_1,storm or wind
Piazza_et_al_2020,CRMS0610_H,0610_H_2,storm or wind
Piazza_et_al_2020,CRMS0651_H,0651_H_1,storm or wind
Piazza_et_al_2020,CRMS0651_H,0651_H_2,storm or wind
Piazza_et_al_2020,CRMS0672_H,0672_H_1,storm or wind
Piazza_et_al_2020,CRMS0672_H,0672_H_2,storm or wind
Piazza_et_al_2020,CRMS0605,0605_1,storm or wind
Piazza_et_al_2020,CRMS0605,0605_2,storm or wind
Piazza_et_al_2020,CRMS1277,1277_1,storm or wind
Piazza_et_al_2020,CRMS1277,1277_2,storm or wind
Piazza_et_al_2020,CRMS0605_H,0605_H_1,storm or wind
Piazza_et_al_2020,CRMS0605_H,0605_H_2,storm or wind
Piazza_et_al_2020,CRMS1277_H,1277_H_1,storm or wind
Piazza_et_al_2020,CRMS1277_H,1277_H_2,storm or wind
