study_id,site_id,site_latitude_max,site_latitude_min,site_longitude_max,site_longitude_min,salinity_class,salinity_method,vegetation_class,vegetation_method
Piazza_et_al_2020,CRMS0128,29.8317,29.8317,-89.947983,-89.947983,fresh,measurement,emergent,measurement
Piazza_et_al_2020,CRMS0128_H,29.835167,29.835167,-89.930067,-89.930067,fresh,measurement,emergent,measurement
Piazza_et_al_2020,CRMS0135,29.68655,29.68655,-89.760467,-89.760467,brackish,measurement,emergent,measurement
Piazza_et_al_2020,CRMS0135_H,29.705633,29.705633,-89.718467,-89.718467,brackish,measurement,emergent,measurement
Piazza_et_al_2020,CRMS0147,29.665667,29.665667,-89.604183,-89.604183,saline,measurement,emergent,measurement
Piazza_et_al_2020,CRMS0147_H,29.590083,29.590083,-89.613383,-89.613383,saline,measurement,emergent,measurement
Piazza_et_al_2020,CRMS0164,29.19392,29.19392,-90.16984,-90.16984,saline,measurement,emergent,measurement
Piazza_et_al_2020,CRMS0164_H,29.22375,29.22375,-90.11115,-90.11115,saline,measurement,emergent,measurement
Piazza_et_al_2020,CRMS0294,29.41928,29.41928,-90.94902,-90.94902,fresh,measurement,emergent,measurement
Piazza_et_al_2020,CRMS0294_H,29.44597,29.44597,-90.95681,-90.95681,fresh,measurement,emergent,measurement
Piazza_et_al_2020,CRMS0312,29.50504,29.50504,-90.38535,-90.38535,brackish,measurement,emergent,measurement
Piazza_et_al_2020,CRMS0312_H,29.49233,29.49233,-90.36175,-90.36175,brackish,measurement,emergent,measurement
Piazza_et_al_2020,CRMS0326,29.273717,29.273717,-91.07405,-91.07405,saline,measurement,emergent,measurement
Piazza_et_al_2020,CRMS0326_H,29.261217,29.261217,-91.09475,-91.09475,saline,measurement,emergent,measurement
Piazza_et_al_2020,CRMS0610,29.606707,29.606707,-92.635553,-92.635553,brackish,measurement,emergent,measurement
Piazza_et_al_2020,CRMS0610_H,29.615303,29.615303,-92.614936,-92.614936,brackish,measurement,emergent,measurement
Piazza_et_al_2020,CRMS0651,29.96235,29.96235,-93.510567,-93.510567,brackish,measurement,emergent,measurement
Piazza_et_al_2020,CRMS0651_H,29.945952,29.945952,-93.524266,-93.524266,brackish,measurement,emergent,measurement
Piazza_et_al_2020,CRMS0669,29.882517,29.882517,-93.729333,-93.729333,brackish,measurement,emergent,measurement
Piazza_et_al_2020,CRMS0672,29.831714,29.831714,-93.416818,-93.416818,brackish,measurement,emergent,measurement
Piazza_et_al_2020,CRMS0672_H,29.833426,29.833426,-93.409073,-93.409073,brackish,measurement,emergent,measurement
Piazza_et_al_2020,CRMS2156,29.87525,29.87525,-93.698083,-93.698083,brackish,measurement,emergent,measurement
