study_id,site_id,core_id,species_code,code_type,habitat
Piazza_et_al_2020,CRMS0128,0128_1,Ludwigia spp.,NA,NA
Piazza_et_al_2020,CRMS0128,0128_2,Ludwigia spp.,NA,NA
Piazza_et_al_2020,CRMS0128_H,0128_H_1,Polygonum spp.,Genus,marsh
Piazza_et_al_2020,CRMS0128_H,0128_H_2,Polygonum spp.,Genus,marsh
Piazza_et_al_2020,CRMS0135,0135_1,Echinochloa spp.,NA,NA
Piazza_et_al_2020,CRMS0135,0135_1,Alternanthera philoxeroides,Genus species,marsh
Piazza_et_al_2020,CRMS0135,0135_2,Echinochloa spp.,NA,NA
Piazza_et_al_2020,CRMS0135,0135_2,Alternanthera philoxeroides,Genus species,marsh
Piazza_et_al_2020,CRMS0135_H,0135_H_1,Spartina patens,Genus species,marsh
Piazza_et_al_2020,CRMS0135_H,0135_H_2,Spartina patens,Genus species,marsh
Piazza_et_al_2020,CRMS0147,0147_1,Spartina alterniflora,Genus species,marsh
Piazza_et_al_2020,CRMS0147,0147_2,Spartina alterniflora,Genus species,marsh
Piazza_et_al_2020,CRMS0147_H,0147_H_1,Spartina alterniflora,Genus species,marsh
Piazza_et_al_2020,CRMS0147_H,0147_H_2,Spartina alterniflora,Genus species,marsh
Piazza_et_al_2020,CRMS0164,0164_1,Spartina alterniflora,Genus species,marsh
Piazza_et_al_2020,CRMS0164,0164_2,Spartina alterniflora,Genus species,marsh
Piazza_et_al_2020,CRMS0164_H,0164_H_1,Spartina alterniflora,Genus species,marsh
Piazza_et_al_2020,CRMS0164_H,0164_H_2,Spartina alterniflora,Genus species,marsh
Piazza_et_al_2020,CRMS0294,0294_1,Eleocharis spp.,Genus,marsh
Piazza_et_al_2020,CRMS0294,0294_2,Eleocharis spp.,Genus,marsh
Piazza_et_al_2020,CRMS0294_H,0294_H_1,Typha spp.,Genus,marsh
Piazza_et_al_2020,CRMS0294_H,0294_H_2,Typha spp.,Genus,marsh
Piazza_et_al_2020,CRMS0312,0312_1,Spartina patens,Genus species,marsh
Piazza_et_al_2020,CRMS0312,0312_2,Spartina patens,Genus species,marsh
Piazza_et_al_2020,CRMS0312_H,0312_H_1,Spartina patens,Genus species,marsh
Piazza_et_al_2020,CRMS0312_H,0312_H_2,Spartina patens,Genus species,marsh
Piazza_et_al_2020,CRMS0326,0326_1,Spartina patens,Genus species,marsh
Piazza_et_al_2020,CRMS0326,0326_2,Spartina patens,Genus species,marsh
Piazza_et_al_2020,CRMS0326_H,0326_H_1,Spartina alterniflora,Genus species,marsh
Piazza_et_al_2020,CRMS0326_H,0326_H_2,Spartina alterniflora,Genus species,marsh
Piazza_et_al_2020,CRMS0326_H,0326_H_3,Spartina patens,Genus species,marsh
Piazza_et_al_2020,CRMS0610,0610_1,Distichlis spicata,Genus species,marsh
Piazza_et_al_2020,CRMS0610,0610_2,Distichlis spicata,Genus species,marsh
Piazza_et_al_2020,CRMS0610_H,0610_H_1,Spartina patens,Genus species,marsh
Piazza_et_al_2020,CRMS0610_H,0610_H_2,Spartina patens,Genus species,marsh
Piazza_et_al_2020,CRMS0651,0651_1,Spartina patens,Genus species,marsh
Piazza_et_al_2020,CRMS0651,0651_2,Spartina patens,Genus species,marsh
Piazza_et_al_2020,CRMS0651_H,0651_H_1,Spartina patens,Genus species,marsh
Piazza_et_al_2020,CRMS0651_H,0651_H_2,Spartina patens,Genus species,marsh
Piazza_et_al_2020,CRMS0669,0669_1,Spartina patens,Genus species,marsh
Piazza_et_al_2020,CRMS0669,0669_2,Spartina patens,Genus species,marsh
Piazza_et_al_2020,CRMS0672,0672_1,Distichlis spicata,Genus species,marsh
Piazza_et_al_2020,CRMS0672,0672_2,Distichlis spicata,Genus species,marsh
Piazza_et_al_2020,CRMS0672_H,0672_H_1,Paspalum vaginatum,Genus species,marsh
Piazza_et_al_2020,CRMS0672_H,0672_H_2,Paspalum vaginatum,Genus species,marsh
Piazza_et_al_2020,CRMS2156,2156_1,Spartina patens,Genus species,marsh
Piazza_et_al_2020,CRMS2156,2156_1,Iva frutescens,Genus species,scrub/shrub
Piazza_et_al_2020,CRMS2156,2156_2,Spartina patens,Genus species,marsh
Piazza_et_al_2020,CRMS2156,2156_2,Iva frutescens,Genus species,scrub/shrub
