Sampling_point,Longitude,Latitude
1,-0.52094415,38.29806413
2,-0.52242501,38.28931323
3,-0.522618691,38.28796898
4,-0.521264451,38.29098641
5,-0.521228905,38.29857196
6,-0.522974649,38.28893161
7,-0.52195497,38.28852149
8,-0.522154084,38.28743641
9,-0.523775784,38.28227604
10,-0.524394218,38.28147387
11,-0.520850528,38.29692406
12,-0.521011441,38.29213248
13,-0.522508545,38.28701582
14,-0.523037959,38.28438059
15,-0.524110782,38.28241399
16,-0.527942759,38.2806567
17,-0.526224876,38.29635959
18,-0.533499341,38.2887713
19,-0.528706599,38.28712986
20,-0.52445064,38.28374301
21,-0.531101476,38.29353138
22,-0.51867981,38.28676071
23,-0.533649029,38.28346576
24,-0.529512171,38.28190619
25,-0.525221868,38.29311487
26,-0.523173008,38.29049461
27,-0.533489242,38.28924036
28,-0.525924716,38.28757024
29,-0.521518911,38.29402135
30,-0.521448609,38.29376716
31,-0.524825671,38.29299839
32,-0.523058759,38.29071504
33,-0.533728081,38.28915999
34,-0.526130654,38.28756557
35,-0.526356925,38.28368097
36,-0.52643655,38.28360741
37,-0.526182129,38.2816738
38,-0.528990129,38.28654049
39,-0.526121015,38.29020544
40,-0.527085974,38.29040601
41,-0.52526785,38.28907014
42,-0.526636055,38.29119845
43,-0.521348616,38.29572719
44,-0.529350135,38.27810659
45,-0.528438696,38.28205734
46,-0.530792001,38.28461828
47,-0.524926462,38.2829519
48,-0.528700336,38.28224951
49,-0.528394715,38.28317115
50,-0.527708935,38.28308941
51,-0.529979198,38.28330365
52,-0.529587364,38.28811601
53,-0.529707352,38.28862313
54,-0.529551327,38.28917849
55,-0.529233585,38.28910872
56,-0.529099793,38.28968257
57,-0.529164857,38.28944967
58,-0.526573379,38.28934097
59,-0.524954807,38.28919869
60,-0.529605838,38.28386345
61,-0.528497822,38.28484927
62,-0.527182824,38.29193082
63,-0.52678488,38.29119258
