Vegetation code,Sampling point,TOC (g/kg),Bulk density (g/cm3),Treatment
1,1,12.54,1.82, Suaeda vera
1,2,23.23,1.58, Suaeda vera
1,3,24.79,1.41, Suaeda vera
1,4,17.70,1.56, Suaeda vera
1,5,8.24,2.09, Suaeda vera
2,6,22.11,1.81,Lygeum spartum
2,7,22.10,1.54,Lygeum spartum
2,8,21.06,1.35,Lygeum spartum
2,9,14.91,1.44,Lygeum spartum
2,10,14.93,1.88,Lygeum spartum
3,11,22.61,1.90,Limonium sp
3,13,14.16,1.50,Limonium sp
3,14,23.44,1.51,Limonium sp
3,15,18.70,1.90,Limonium sp
3,16,14.21,1.85,Limonium sp
4,17,17.75,1.46,Sarcocornia fruticosa
4,18,12.76,1.50,Sarcocornia fruticosa
4,19,8.75,1.51,Sarcocornia fruticosa
4,20,4.91,1.49,Sarcocornia fruticosa
4,21,16.84,1.42,Sarcocornia fruticosa
4,24,25.66,1.55,Sarcocornia fruticosa
4,51,13.68,1.66,Sarcocornia fruticosa
5,25,11.93,1.67,Arthrocnemum macrostachyum (patches)
5,26,,1.72,Arthrocnemum macrostachyum (patches)
5,27,10.76,1.56,Arthrocnemum macrostachyum (patches)
5,28,,,Arthrocnemum macrostachyum (patches)
5,29,,1.94,Arthrocnemum macrostachyum (patches)
5,62,15.72,1.55,Arthrocnemum macrostachyum (patches)
6,30,6.56,,Bare soil among A. macrostachyum patches
6,31,8.72,1.57,Bare soil among A. macrostachyum patches
6,32,,,Bare soil among A. macrostachyum patches
6,33,11.81,1.72,Bare soil among A. macrostachyum patches
6,34,5.76,,Bare soil among A. macrostachyum patches
7,35,10.28,1.51,Arthrocnemum macrostachyum (seedlings)
7,36,10.73,1.59,Arthrocnemum macrostachyum (seedlings)
7,37,15.47,1.41,Arthrocnemum macrostachyum (seedlings)
7,38,9.49,1.60,Arthrocnemum macrostachyum (seedlings)
8,39,5.37,1.74,Arthrocnemum macrostachyum + Ruppia maritima
8,40,,,Arthrocnemum macrostachyum + Ruppia maritima
8,41,2.69,1.87,Arthrocnemum macrostachyum + Ruppia maritima
8,42,1.22,1.79,Arthrocnemum macrostachyum + Ruppia maritima
9,43,10.60,1.46,Mixed stands of Arthrocnemum and Sarcocornia
9,46,10.37,1.71,Mixed stands of Arthrocnemum and Sarcocornia
9,47,14.59,1.57,Mixed stands of Arthrocnemum and Sarcocornia
10,48,14.57,1.49,Salicornia patula
10,49,12.72,1.53,Salicornia patula
10,50,13.02,2.19,Salicornia patula
11,52,14.26,1.63,Phragmites australis
11,53,23.82,1.58,Phragmites australis
11,54,23.19,1.51,Phragmites australis
12,55,21.12,1.49,Burned zone
12,56,28.34,1.50,Burned zone
12,57,22.12,1.55,Burned zone
13,58,13.43,1.95,Bare soils
13,59,15.74,2.08,Bare soils
13,60,13.76,1.60,Bare soils
13,61,19.98,1.57,Bare soils
13,63,2.76,1.69,Bare soils
