core_id,site_id,study_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,fraction_organic_matter,age,method_id
Agawin_et_al_1996_1,Cape_Bolinao,Agawin_et_al_1996,NA,NA,NA,NA,0.0263,NA,single set of methods
Agawin_et_al_1996_2,Cape_Bolinao,Agawin_et_al_1996,NA,NA,NA,NA,0.021900000000000003,NA,single set of methods
Al-Rousan_et_al_2005_1,Gulf_of_Aqaba,Al-Rousan_et_al_2005,0,5,NA,NA,0.0010080645161290322,NA,single set of methods
Al-Rousan_et_al_2005_2,Gulf_of_Aqaba,Al-Rousan_et_al_2005,0,5,NA,NA,0.0016532258064516129,NA,single set of methods
Al-Rousan_et_al_2005_3,Gulf_of_Aqaba,Al-Rousan_et_al_2005,0,5,NA,NA,0.0016129032258064516,NA,single set of methods
Al-Rousan_et_al_2005_4,Gulf_of_Aqaba,Al-Rousan_et_al_2005,0,5,NA,NA,0.0014112903225806453,NA,single set of methods
Al-Rousan_et_al_2005_5,Gulf_of_Aqaba,Al-Rousan_et_al_2005,0,5,NA,NA,0.0017137096774193547,NA,single set of methods
Al-Rousan_et_al_2005_6,Gulf_of_Aqaba,Al-Rousan_et_al_2005,0,5,NA,NA,0.0014516129032258066,NA,single set of methods
Al-Rousan_et_al_2005_7,Gulf_of_Aqaba,Al-Rousan_et_al_2005,0,5,NA,NA,0.00125,NA,single set of methods
Al-Rousan_et_al_2005_8,Gulf_of_Aqaba,Al-Rousan_et_al_2005,0,5,NA,NA,0.0018548387096774194,NA,single set of methods
Al-Rousan_et_al_2005_9,Gulf_of_Aqaba,Al-Rousan_et_al_2005,0,5,NA,NA,0.0015120967741935483,NA,single set of methods
Alongi_et_al_2008_1,S_Sulawesi,Alongi_et_al_2008,0,20,NA,0.091,0.043,NA,single set of methods
Alongi_et_al_2008_2,S_Sulawesi,Alongi_et_al_2008,0,20,NA,0.105,0.021,NA,single set of methods
Alongi_et_al_2008_3,S_Sulawesi,Alongi_et_al_2008,0,20,NA,0.11199999999999999,0.012,NA,single set of methods
Amon_and_Herndl_1991_1,Ischia_Italy,Amon_and_Herndl_1991,0,0.5,NA,NA,4.3700000000000005e-4,NA,single set of methods
Amon_and_Herndl_1991_2,Ischia_Italy,Amon_and_Herndl_1991,0,0.5,NA,NA,7.31e-4,NA,single set of methods
Amon_and_Herndl_1991_3,Ischia_Italy,Amon_and_Herndl_1991,0,0.5,NA,NA,9.07e-4,NA,single set of methods
Amon_and_Herndl_1991_4,Ischia_Italy,Amon_and_Herndl_1991,0,0.5,NA,NA,0.003114,NA,single set of methods
Apostolaki_unpublished_1,Sounion,Apostolaki_unpublished,0,1,NA,NA,0.00244,NA,single set of methods
Apostolaki_unpublished_1,Sounion,Apostolaki_unpublished,1,2,NA,NA,0.00187,NA,single set of methods
Apostolaki_unpublished_1,Sounion,Apostolaki_unpublished,2,4,NA,NA,0.00440333333,NA,single set of methods
Apostolaki_unpublished_1,Sounion,Apostolaki_unpublished,4,6,NA,NA,0.0020066666699999998,NA,single set of methods
Apostolaki_unpublished_1,Sounion,Apostolaki_unpublished,6,8,NA,NA,0.0025166666700000002,NA,single set of methods
Apostolaki_unpublished_1,Sounion,Apostolaki_unpublished,8,10,NA,NA,0.0025,NA,single set of methods
Apostolaki_unpublished_2,Sounion,Apostolaki_unpublished,0,1,NA,NA,0.0043333333299999995,NA,single set of methods
Apostolaki_unpublished_2,Sounion,Apostolaki_unpublished,1,2,NA,NA,0.00265666667,NA,single set of methods
Apostolaki_unpublished_2,Sounion,Apostolaki_unpublished,2,4,NA,NA,0.00302,NA,single set of methods
Apostolaki_unpublished_2,Sounion,Apostolaki_unpublished,4,6,NA,NA,0.00361333333,NA,single set of methods
Apostolaki_unpublished_3,Sounion,Apostolaki_unpublished,0,1,NA,NA,0.0018833333299999998,NA,single set of methods
Apostolaki_unpublished_3,Sounion,Apostolaki_unpublished,1,2,NA,NA,0.00243333333,NA,single set of methods
Apostolaki_unpublished_3,Sounion,Apostolaki_unpublished,2,4,NA,NA,0.00289333333,NA,single set of methods
Apostolaki_unpublished_3,Sounion,Apostolaki_unpublished,4,6,NA,NA,0.00290666667,NA,single set of methods
Apostolaki_unpublished_3,Sounion,Apostolaki_unpublished,6,8,NA,NA,0.00205666667,NA,single set of methods
Apostolaki_unpublished_4,Sounion,Apostolaki_unpublished,0,1,NA,NA,0.00593666667,NA,single set of methods
Apostolaki_unpublished_4,Sounion,Apostolaki_unpublished,1,2,NA,NA,0.0070750000000000006,NA,single set of methods
Apostolaki_unpublished_4,Sounion,Apostolaki_unpublished,2,4,NA,NA,0.00425333333,NA,single set of methods
Apostolaki_unpublished_4,Sounion,Apostolaki_unpublished,4,6,NA,NA,0.0076766666699999994,NA,single set of methods
Apostolaki_unpublished_4,Sounion,Apostolaki_unpublished,6,8,NA,NA,0.0088,NA,single set of methods
Apostolaki_unpublished_4,Sounion,Apostolaki_unpublished,8,10,NA,NA,0.01305666667,NA,single set of methods
Apostolaki_unpublished_5,Sounion,Apostolaki_unpublished,0,1,NA,NA,0.0034766666699999997,NA,single set of methods
Apostolaki_unpublished_5,Sounion,Apostolaki_unpublished,1,2,NA,NA,0.007980000000000001,NA,single set of methods
Apostolaki_unpublished_5,Sounion,Apostolaki_unpublished,2,4,NA,NA,0.00341666667,NA,single set of methods
Apostolaki_unpublished_5,Sounion,Apostolaki_unpublished,4,6,NA,NA,0.004719999999999999,NA,single set of methods
Apostolaki_unpublished_5,Sounion,Apostolaki_unpublished,6,8,NA,NA,0.00713,NA,single set of methods
Apostolaki_unpublished_5,Sounion,Apostolaki_unpublished,8,10,NA,NA,0.00856333333,NA,single set of methods
Apostolaki_unpublished_6,Sounion,Apostolaki_unpublished,0,1,NA,NA,0.00436666667,NA,single set of methods
Apostolaki_unpublished_6,Sounion,Apostolaki_unpublished,1,2,NA,NA,0.00485333333,NA,single set of methods
Apostolaki_unpublished_6,Sounion,Apostolaki_unpublished,2,4,NA,NA,0.00659666667,NA,single set of methods
Apostolaki_unpublished_6,Sounion,Apostolaki_unpublished,4,6,NA,NA,0.00793666667,NA,single set of methods
Apostolaki_unpublished_6,Sounion,Apostolaki_unpublished,6,8,NA,NA,0.01127666667,NA,single set of methods
Apostolaki_unpublished_6,Sounion,Apostolaki_unpublished,8,10,NA,NA,0.00960333333,NA,single set of methods
Apostolaki_unpublished_7,Sounion,Apostolaki_unpublished,0,1,NA,NA,0.00174666667,NA,single set of methods
Apostolaki_unpublished_7,Sounion,Apostolaki_unpublished,1,2,NA,NA,0.0013700000000000001,NA,single set of methods
Apostolaki_unpublished_7,Sounion,Apostolaki_unpublished,2,4,NA,NA,0.00135666667,NA,single set of methods
Apostolaki_unpublished_7,Sounion,Apostolaki_unpublished,4,6,NA,NA,0.00226,NA,single set of methods
Apostolaki_unpublished_7,Sounion,Apostolaki_unpublished,6,8,NA,NA,0.00314666667,NA,single set of methods
Apostolaki_unpublished_7,Sounion,Apostolaki_unpublished,8,10,NA,NA,0.00273666667,NA,single set of methods
Apostolaki_unpublished_8,Psaromoura_Crete,Apostolaki_unpublished,0,1,NA,NA,0.0013800000000000002,NA,single set of methods
Apostolaki_unpublished_8,Psaromoura_Crete,Apostolaki_unpublished,1,2,NA,NA,0.00111,NA,single set of methods
Apostolaki_unpublished_8,Psaromoura_Crete,Apostolaki_unpublished,2,4,NA,NA,0.0012666666700000002,NA,single set of methods
Apostolaki_unpublished_8,Psaromoura_Crete,Apostolaki_unpublished,4,6,NA,NA,9.9e-4,NA,single set of methods
Apostolaki_unpublished_8,Psaromoura_Crete,Apostolaki_unpublished,6,8,NA,NA,0.00110666667,NA,single set of methods
Apostolaki_unpublished_8,Psaromoura_Crete,Apostolaki_unpublished,8,10,NA,NA,0.00102333333,NA,single set of methods
Barron_et_al_2004_1,Ebro_Delta,Barron_et_al_2004,0,10,0.674148046,NA,0.001115371768,NA,single set of methods
Barron_et_al_2004_10,Ebro_Delta,Barron_et_al_2004,0,10,0.853752414,NA,8.810508720000002e-4,NA,single set of methods
Barron_et_al_2004_11,Ebro_Delta,Barron_et_al_2004,0,10,0.775754644,NA,8.083404320000001e-4,NA,single set of methods
Barron_et_al_2004_12,Ebro_Delta,Barron_et_al_2004,0,10,0.864552184,NA,0.002647476364,NA,single set of methods
Barron_et_al_2004_2,Ebro_Delta,Barron_et_al_2004,0,10,0.923047357,NA,4.152663000000004e-4,NA,single set of methods
Barron_et_al_2004_3,Ebro_Delta,Barron_et_al_2004,0,10,0.575332414,NA,0.001676797476,NA,single set of methods
Barron_et_al_2004_4,Ebro_Delta,Barron_et_al_2004,0,10,0.806253793,NA,9.080502560000006e-4,NA,single set of methods
Barron_et_al_2004_5,Ebro_Delta,Barron_et_al_2004,0,10,0.6849,NA,0.00115446746,NA,single set of methods
Barron_et_al_2004_6,Ebro_Delta,Barron_et_al_2004,0,10,0.651676069,NA,0.00261321402,NA,single set of methods
Barron_et_al_2004_7,Ebro_Delta,Barron_et_al_2004,0,10,0.548533333,NA,0.0013512992040000003,NA,single set of methods
Barron_et_al_2004_8,Ebro_Delta,Barron_et_al_2004,0,10,0.881470575,NA,5.539674120000001e-4,NA,single set of methods
Barron_et_al_2004_9,Ebro_Delta,Barron_et_al_2004,0,10,0.80278138,NA,0.002357398676000001,NA,single set of methods
Borg_et_al_2010_1,Ramla_Bay,Borg_et_al_2010,0,10,NA,NA,0.00269718,NA,single set of methods
Borg_et_al_2010_10,Mellieha_Bay,Borg_et_al_2010,0,10,NA,NA,0.00227569,NA,single set of methods
Borg_et_al_2010_11,Mellieha_Bay,Borg_et_al_2010,0,10,NA,NA,0.00889202,NA,single set of methods
Borg_et_al_2010_12,Mellieha_Bay,Borg_et_al_2010,0,10,NA,NA,0.0026724799999999996,NA,single set of methods
Borg_et_al_2010_13,White_Rocks,Borg_et_al_2010,0,10,NA,NA,0.00180116,NA,single set of methods
Borg_et_al_2010_14,White_Rocks,Borg_et_al_2010,0,10,NA,NA,0.0014782600000000001,NA,single set of methods
Borg_et_al_2010_15,White_Rocks,Borg_et_al_2010,0,10,NA,NA,0.00394323,NA,single set of methods
Borg_et_al_2010_16,White_Rocks,Borg_et_al_2010,0,10,NA,NA,0.00272289,NA,single set of methods
Borg_et_al_2010_17,White_Rocks,Borg_et_al_2010,0,10,NA,NA,0.005472510000000001,NA,single set of methods
Borg_et_al_2010_18,White_Rocks,Borg_et_al_2010,0,10,NA,NA,0.00231901,NA,single set of methods
Borg_et_al_2010_19,Thomas_Bay,Borg_et_al_2010,0,10,NA,NA,0.0023431,NA,single set of methods
Borg_et_al_2010_2,Ramla_Bay,Borg_et_al_2010,0,10,NA,NA,0.00152441,NA,single set of methods
