study_id,site_id,site_latitude_max,site_latitude_min,site_longitude_max,site_longitude_min,vegetation_class
Krause-Jensen_et_al_2011,Aarhus_Bay,56.13,56.13,10.34,10.34,seagrass
Marba_unpublished,Anglesey,53.27,53.27,-4.58,-4.58,seagrass
Cotner_et_al_2004,Baffin_Bay,27.3534,27.2406,-97.39784,-97.66376,seagrass
Carruthers_et_al_2005,Bahia_Almirante,9.331773,9.331773,-82.319068,-82.319068,seagrass
Erftemeijer_and_Middelburg_1993,Barrang_Lompo,-5.05,-5.05,119.333,119.333,seagrass
Van_Engeland_2010,Bay_of_Cadiz,36.47021944,36.47021944,-6.251963889,-6.251963889,seagrass
Townsend_and_Fonseca_1998,Beaufort_North_Carolina_USA,34.75803,34.64607,-76.43114,-76.63586,seagrass
Mellors_et_al_2002,Bolger_Bay,-19.1487,-19.1487,146.7909,146.7909,seagrass
Marba_unpublished,Bolinao,16.461083333333335,16.334083333333332,119.97725,119.84825,seagrass
Lewis_et_al_2007,Bonito_Bay,30.081,30.081,-85.494,-85.494,seagrass
Mateo_and_Serrano_unpublished,Cádiz_Bay,36.5431,36.5431,-6.2444,-6.2444,seagrass
Calleja_et_al_2007,Cala_Millor,39.60063333,39.60063333,2.390166667,2.390166667,seagrass
Maher_and_Eyre_2010,Camden_Haven,-31.39,-31.39,152.47,152.47,seagrass
Holmer_et_al_2007,Campello,38.42083333,38.42083333,-0.347666667,-0.347666667,seagrass
Agawin_et_al_1996,Cape_Bolinao,16.45435,16.40815,119.92405,119.90545,seagrass
Gonneea_et_al_2004,Celestun_Lagoon,20.9254,20.9254,-90.3446,-90.3446,seagrass
Gonneea_et_al_2004,Chelem_Lagoon,21.2746,21.2746,-89.6863,-89.6863,seagrass
Lewis_et_al_2007,Choctwhatchee_Bay,30.416,30.416,-86.573,-86.573,seagrass
Mateo_et_al_1997,Culip,42.322,42.322,3.309,3.309,seagrass
Holmer_et_al_2007,Cyprus,34.4015,34.4015,33.0358,33.0358,unvegetated
Vichkovitten_et_al_2005,Denmark,55.28,55.28,11.05,11.05,seagrass
Yamamuro_et_al_1993,Dravuni_Is,-18.75,-18.75,178.5,178.5,unvegetated
