study_id,site_id,core_id,position_method,position_notes,habitat,latitude,longitude
Agawin_et_al_1996,Cape_Bolinao,Agawin_et_al_1996_1,NA,NA,seagrass,16.4505,119.9225
Agawin_et_al_1996,Cape_Bolinao,Agawin_et_al_1996_2,NA,NA,seagrass,16.412,119.907
Al-Rousan_et_al_2005,Gulf_of_Aqaba,Al-Rousan_et_al_2005_1,NA,NA,seagrass,29.53,34.98
Al-Rousan_et_al_2005,Gulf_of_Aqaba,Al-Rousan_et_al_2005_2,NA,NA,seagrass,29.53,34.98
Al-Rousan_et_al_2005,Gulf_of_Aqaba,Al-Rousan_et_al_2005_3,NA,NA,seagrass,29.53,34.98
Al-Rousan_et_al_2005,Gulf_of_Aqaba,Al-Rousan_et_al_2005_4,NA,NA,seagrass,29.53,34.98
Al-Rousan_et_al_2005,Gulf_of_Aqaba,Al-Rousan_et_al_2005_5,NA,NA,seagrass,29.53,34.98
Al-Rousan_et_al_2005,Gulf_of_Aqaba,Al-Rousan_et_al_2005_6,NA,NA,seagrass,29.53,34.98
Al-Rousan_et_al_2005,Gulf_of_Aqaba,Al-Rousan_et_al_2005_7,NA,NA,seagrass,29.53,34.98
Al-Rousan_et_al_2005,Gulf_of_Aqaba,Al-Rousan_et_al_2005_8,NA,NA,seagrass,29.46,34.97
Al-Rousan_et_al_2005,Gulf_of_Aqaba,Al-Rousan_et_al_2005_9,NA,NA,seagrass,29.46,34.97
Alongi_et_al_2008,S_Sulawesi,Alongi_et_al_2008_1,NA,NA,seagrass,-4.14,119.36
Alongi_et_al_2008,S_Sulawesi,Alongi_et_al_2008_2,NA,NA,seagrass,-4.14,119.36
Alongi_et_al_2008,S_Sulawesi,Alongi_et_al_2008_3,NA,NA,seagrass,-4.14,119.36
Amon_and_Herndl_1991,Ischia_Italy,Amon_and_Herndl_1991_1,NA,NA,seagrass,40.7543,13.8913
Amon_and_Herndl_1991,Ischia_Italy,Amon_and_Herndl_1991_2,NA,NA,seagrass,40.7543,13.8913
Amon_and_Herndl_1991,Ischia_Italy,Amon_and_Herndl_1991_3,NA,NA,seagrass,40.7543,13.8913
Amon_and_Herndl_1991,Ischia_Italy,Amon_and_Herndl_1991_4,NA,NA,seagrass,40.7543,13.8913
Apostolaki_unpublished,Sounion,Apostolaki_unpublished_1,NA,NA,seagrass,37.39,23.58
Apostolaki_unpublished,Sounion,Apostolaki_unpublished_2,NA,NA,seagrass,37.39,23.58
Apostolaki_unpublished,Sounion,Apostolaki_unpublished_3,NA,NA,seagrass,37.39,23.58
Apostolaki_unpublished,Sounion,Apostolaki_unpublished_4,NA,NA,seagrass,37.39,23.58
