"","core_id","site_id","study_id","core_date","core_latitude","core_longitude","core_position_method"
"1","09WCC01_01","09WCC01","Smith_et_al_2015",2009-04-29,29.61517,-92.645,"handheld"
"2","09WCC01_02","09WCC01","Smith_et_al_2015",2009-04-29,29.6322,-92.5786,"handheld"
"3","09WCC01_03","09WCC01","Smith_et_al_2015",2009-04-30,29.58866,-92.60558,"handheld"
"4","09WCC01_04","09WCC01","Smith_et_al_2015",2009-04-30,29.58853,-92.60448,"handheld"
"5","09WCC01_05","09WCC01","Smith_et_al_2015",2009-04-30,29.58832,-92.60329,"handheld"
"6","09WCC01_06","09WCC01","Smith_et_al_2015",2009-04-30,29.59756,-92.60445,"handheld"
"7","09WCC01_07","09WCC01","Smith_et_al_2015",2009-04-30,29.6111,-92.60441,"handheld"
"8","09WCC01_08","09WCC01","Smith_et_al_2015",2009-04-30,29.62016,-92.60437,"handheld"
"9","09WCC01_09","09WCC01","Smith_et_al_2015",2009-04-30,29.63649,-92.60405,"handheld"
