study_id,core_id,depth_min,depth_max,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_sd,total_pb210_activity,total_pb210_activity_sd,ra226_activity,ra226_activity_sd,pb210_unit,cs137_unit
Smith_et_al_2015,09WCC01_01,0,2,0.3852,0.12210000000000001,NA,NA,4.173,0.12,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,2,4,0.3721,0.1512,NA,NA,4.885,0.12,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,4,6,0.3945,0.139,NA,NA,4.947,0.09,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,6,8,0.4259,0.1204,NA,NA,4.995,0.12,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,8,10,0.4468,0.10880000000000001,NA,NA,3.995,0.09,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,10,12,0.4598,0.1375,0.33,0.07,5.085,0.13,1.39,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,12,14,0.3513,0.1754,0.42,0.08,6.937,0.18,1.33,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,14,16,0.2469,0.3032,0.56,0.09,8.928,0.21,1.01,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,16,18,0.2551,0.2565,0.72,0.09,6.702,0.14,1.05,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,18,20,0.1336,0.5433,1.2,0.13,2.534,0.09,0.8,0.12,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,20,22,0.229,0.3372,3.13,0.2,5.664,0.1,0.92,0.12,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,22,24,0.2804,0.2386,4.51,0.22,3.275,0.06,1.05,0.12,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,24,26,0.4107,0.1552,2,0.14,1.779,0.03,1.12,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,26,28,0.1525,0.4841,1.04,0.17,1.914,0.04,0.93,0.16,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,28,30,0.1221,0.5803,0.38,0.11,1.756,0.04,0.71,0.12,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,30,32,0.1874,0.3992,0.42,0.08,1.084,0.03,0.95,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,32,34,0.3216,0.2303,0.44,0.09,1.322,0.03,1.16,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,34,36,0.3499,0.1972,0.29,0.1,1.212,0.03,1.09,0.13,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,36,38,0.3335,0.2047,0.22,0.08,1.373,0.03,1.18,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,38,40,0.2861,0.25739999999999996,NA,NA,1.471,0.03,1.07,0.11,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,40,42,0.2669,0.2401,NA,NA,1.045,0.03,1.03,0.09,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,42,44,0.3763,0.2118,NA,NA,0.452,0.01,1.14,0.12,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,44,46,0.4016,0.1909,NA,NA,0.848,0.02,1.11,0.1,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,46,48,0.3909,0.1506,NA,NA,0.751,0.02,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,48,50,0.4409,0.1383,NA,NA,0.699,0.02,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,50,52,0.4029,0.1698,NA,NA,0.713,0.02,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,52,54,0.3082,0.24559999999999998,NA,NA,0.778,0.02,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_01,54,56,0.3211,0.2597,NA,NA,0.783,0.02,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,0,2,0.4442,0.1133,NA,NA,5.1,0.11,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,2,4,0.5587,0.0866,NA,NA,4.44,0.09,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
Smith_et_al_2015,09WCC01_02,4,6,0.5672,0.0974,NA,NA,3.89,0.07,NA,NA,disintegrations_per_minute_per_gram,disintegrations_per_minute_per_gram
