study_id,site_id,core_id,depth_min,depth_max,sample_id,dry_bulk_density,fraction_organic_matter,cs137_activity,cs137_activity_se,total_pb210_activity,total_pb210_activity_se,excess_pb210_activity,excess_pb210_activity_se,pb214_activity_295keV,pb214_activity_se_295keV,pb214_activity_352keV,pb214_activity_se_352keV,bi214_activity,bi214_activity_se,age,age_sd,sedimentation_rate,sedimentation_rate_se
Messerschmidt_and_Kirwan_2020,GCREW,C3,0,1,C3_0_loi,NA,0.8245878594249202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,1,2,C3_1_loi,NA,0.8183098255411565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,2,3,C3_2_loi,NA,0.8321756043345373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,3,4,C3_3_loi,NA,0.8512568381691018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,4,5,C3_4_loi,NA,0.8446478401607322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,5,7,NA,0.2193,NA,0.003678837699087962,0.0036819899798144905,19.26620161883594,0.02075141114888972,19.246547402075155,0.42261719449936636,0.13813809245647327,0.024275175910210882,0.13443244615880287,0.019126809807966286,0.20465896799867095,0.033912397656410756,2018,6.796028120077345,1.8950677579385469,0.13271554409709338
Messerschmidt_and_Kirwan_2020,GCREW,C3,5,6,C3_5_loi,NA,0.8630510427979342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,6,7,C3_6_loi,NA,0.8518660562333709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,7,9,NA,0.0875,NA,0.4681495648775689,0.040822912844149746,16.129306572746675,0.020522133469904114,16.03364361881649,0.4195014390555249,0.09227047053764198,0.019314806889746138,0.16162442926837362,0.02044597336898843,0.3855449497730679,0.045438354968903055,2005.2044428460615,3.535016910728217,3.8276278633334093,0.26819783355320903
Messerschmidt_and_Kirwan_2020,GCREW,C3,7,8,C3_7_loi,NA,0.837410940707644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,8,9,C3_8_loi,NA,0.8257167927526264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,9,11,NA,0.0794,NA,0.4593513067772176,0.043073375775785336,13.604961604190668,0.020545040022087548,13.427058832495936,0.3793395375154588,0.33876482770932126,0.03956069516338822,0.08219185375042995,0.01549883528455236,0.41125958877475044,0.04999713953685302,1999.5015888210796,1.754241599797503,4.217388338352181,0.29562130710520973
Messerschmidt_and_Kirwan_2020,GCREW,C3,9,10,C3_9_loi,NA,0.8401400507566501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,10,11,C3_10_loi,NA,0.8278128343413613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,11,12,NA,0.14387714083510264,NA,0.6454772245850557,0.04851409498635499,13.334763802578397,0.02062463253134844,13.334611792293234,0.31704661332284434,0.1461926834195819,0.024589040460656266,0.13787371846662053,0.0190708250867185,0.01617319920182867,0.009351034806730467,1994.3703561884827,1.133220910062005,1.9974613276156767,0.14007916039319565
Messerschmidt_and_Kirwan_2020,GCREW,C3,11,12,C3_11_loi,NA,0.8370664820563211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,12,13,NA,0.1665664543524416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988.9277805771683,3.1948517094245545,1.7133116631500305,0.120233249302031
Messerschmidt_and_Kirwan_2020,GCREW,C3,12,13,C3_12_loi,NA,0.8460909599414828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,13,14,NA,0.08218598726114651,NA,4.619627253761971,0.14182447158787104,9.540658729593229,0.020325111820328187,9.33539373530477,0.23906391467906496,0.35161337162400613,0.04096271855204423,0.1959998772206002,0.024385992736897413,0.28737817146577294,0.04241682374567173,1982.4861825083287,6.570238787169586,3.449843580242242,0.24237288024907513
Messerschmidt_and_Kirwan_2020,GCREW,C3,13,14,C3_13_loi,NA,0.8502431533145637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,14,15,NA,0.07924585987261147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1979.448228461937,8.359833677813507,3.7615847219285437,0.26444658870792326
Messerschmidt_and_Kirwan_2020,GCREW,C3,14,15,C3_14_loi,NA,0.8393914848377462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,15,16,NA,0.1077310686482661,NA,4.4520339587297695,0.1371519072660361,6.839199145836328,0.020376975567969278,6.820363091539459,0.19173973401634417,0.022822621280007487,0.010227717012885154,0.17750276579645669,0.022872636817279957,0.01802743894070213,0.010424837561948886,1976.6732584873394,10.10792125381771,3.005853281168514,0.2114611897761281
Messerschmidt_and_Kirwan_2020,GCREW,C3,15,16,C3_15_loi,NA,0.8324727250808703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,16,17,NA,0.09403085633404105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973.1611787882728,12.536080612610519,3.448194450094053,0.24283571583727753
Messerschmidt_and_Kirwan_2020,GCREW,C3,16,17,C3_16_loi,NA,0.8335641529664046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Messerschmidt_and_Kirwan_2020,GCREW,C3,17,18,NA,0.11666298655343241,NA,3.2684562521376077,0.1069460063666437,5.706619168219559,0.020659086281644735,5.391642013379071,0.18804431763701143,0.49786893233502083,0.04405274836155517,0.2778720855127678,0.026240961782734766,0.298476841467556,0.039024542954969765,1970.1217008324336,14.794180123515599,2.8632501669448724,0.20185563870983983
Messerschmidt_and_Kirwan_2020,GCREW,C3,17,18,C3_17_loi,NA,0.835820895522388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
