study_id,site_id,core_id,core_year,core_latitude,core_longitude,core_position_method,core_elevation,core_elevation_datum,core_elevation_method,vegetation_class
Messerschmidt_and_Kirwan_2020,GCREW,C3,2018,38.87363778,-76.54973048,RTK-GPS,0.198,NAVD88,RTK-GPS,emergent
Messerschmidt_and_Kirwan_2020,GCREW,C4,2018,38.87492769,-76.54990587,RTK-GPS,0.332,NAVD88,RTK-GPS,emergent
