study_id,core_id,country,core_latitude,core_longitude
AfSPDB,M1706,Angola,-6.14567,12.37461
Eyre_and_Ferguson_2002,Eyre_and_Ferguson_2002_1,Australia,-33.4,151.35
Eyre_and_Ferguson_2002,Eyre_and_Ferguson_2002_2,Australia,-33.4,151.35
Fonseca_et_al_2011,Fonseca_et_al_2011_1,Australia,-35.25,150.4833333
Fonseca_et_al_2011,Fonseca_et_al_2011_2,Australia,-35.25,150.4833333
Fonseca_et_al_2011,Fonseca_et_al_2011_3,Australia,-34.05,151.1333333
Fonseca_et_al_2011,Fonseca_et_al_2011_4,Australia,-34.05,151.1333333
Fonseca_et_al_2011,Fonseca_et_al_2011_5,Australia,-33.58333333,151.2666667
Fonseca_et_al_2011,Fonseca_et_al_2011_6,Australia,-33.58333333,151.2666667
Fourqurean_and_Kendrick_unpublished,Fourqurean_and_Kendrick_unpublished_15,Australia,-25.98638,113.9259
Fourqurean_and_Kendrick_unpublished,Fourqurean_and_Kendrick_unpublished_16,Australia,-25.93783,113.93635
Fourqurean_and_Kendrick_unpublished,Fourqurean_and_Kendrick_unpublished_32,Australia,-25.89887,114.23445
Fourqurean_and_Kendrick_unpublished,Fourqurean_and_Kendrick_unpublished_33,Australia,-25.91652,114.23516
Fourqurean_and_Kendrick_unpublished,Fourqurean_and_Kendrick_unpublished_35,Australia,-25.97911,114.23478
Fourqurean_and_Kendrick_unpublished,Fourqurean_and_Kendrick_unpublished_38,Australia,-25.96548,114.2235
Fourqurean_and_Kendrick_unpublished,Fourqurean_and_Kendrick_unpublished_39,Australia,-25.95175,114.2332
Fourqurean_and_Kendrick_unpublished,Fourqurean_and_Kendrick_unpublished_42,Australia,-26.00058,113.95447
Fourqurean_and_Kendrick_unpublished,Fourqurean_and_Kendrick_unpublished_57,Australia,-25.93453,113.93553
Fourqurean_and_Kendrick_unpublished,Fourqurean_and_Kendrick_unpublished_61,Australia,-25.93783,113.93635
Fourqurean_and_Kendrick_unpublished,Fourqurean_and_Kendrick_unpublished_69,Australia,-31.98996667,116.9166667
Alongi_et_al_2000,M0026,Australia,-20.322908,118.651878
Alongi_et_al_2000,M0027,Australia,-20.321774,118.651121
Alongi_et_al_2000,M0031,Australia,-22.310318,114.121795
Allen_et_al_2007,M0236,Australia,-27.517813,152.990952
Saintilan_et_al_2013,M0370,Australia,-33.513369,151.120277
Saintilan_et_al_2013,M0371,Australia,-33.529606,151.141827
Saintilan_et_al_2013,M0372,Australia,-32.859437,151.755309
Saintilan_et_al_2013,M0373,Australia,-34.998935,150.772447
Saintilan_et_al_2013,M0374,Australia,-35.027559,150.667528
Livesley_and_Andrusiak_2012,M0397,Australia,-38.363182,145.211813
Livesley_and_Andrusiak_2012,M0398,Australia,-38.33862,145.203597
