study_id,site_id,vegetation_class
Qu_et_al_2006,Lake_Illawara,unvegetated marine
Eyre_and_Ferguson_2002,Lake_Macquarie,seagrass
NA,Lillebælt_syd-st._16,seagrass
NA,Lillebælt_syd-st._4,seagrass
NA,Lillebælt_syd-st._5,seagrass
Krause-Jensen_et_al_2011,Limfjorden,seagrass
Krause-Jensen_et_al_2011,Little_Belt_area,seagrass
Lewis_et_al_2007,Little_Duck_Key,seagrass
Lewis_et_al_2007,Little_Sabine_Bay,seagrass
NA,Løgstør_Bredning-st._43,seagrass
NA,Lovns_Bredning-st._26,seagrass
Mellors_et_al_2002,Lugger_Bay,seagrass
Calleja_et_al_2007,Magalluf,seagrass
Holmer_et_al_2003,Mallorca,seagrass
Danovaro_and_Fabiano_1995,Marconi_Gulf,seagrass
Mateo_et_al_1997,Medes_Islands,seagrass
Mateo_unpublished,Melieha_Bay,seagrass
Borg_et_al_2010,Mellieha_Bay,seagrass
Mellors_et_al_2002,Meunga_Creek,seagrass
Lillebo_et_al_2006,Mondego_Estuary._Portugal,seagrass
De_Iongh_et_al_1995,Nang_Bay,seagrass
Marba_unpublished,Nefyn,seagrass
NA,Nibe_Bredning-st._33,seagrass
NA,Nibe_Bredning-st._34,seagrass
NA,Nibe_Bredning-st._45,seagrass
NA,Nissum_Bredning-st._31,seagrass
Grenz_et_al_2003,Noumea_New_Caledonia,seagrass
Danovaro_and_Gambi_2002,NW_Marconi,seagrass
Krause-Jensen_et_al_2011,Odense_Fjord,seagrass
NA,Odense_Fjord-st._1,seagrass
NA,Odense_Fjord-st._2,seagrass
NA,Odense_Fjord-st._3,seagrass
NA,Odense_Fjord-st._4,seagrass
Lewis_et_al_2007,Ohio_Key,seagrass
Mateo_and_Serrano_unpublished,Oued_Tahaddart,seagrass
Carruthers_et_al_2005,Outer_Lagoon,seagrass
Kairis_and_Rybczyk_2010,Padilla_Bay,seagrass
Leduc_and_Probert_2011,Papanui_Inlet,unvegetated marine
NA,Patos_Lagoon_Estuary,seagrass
Sfriso_and_Marcomini_1999,Petta_di_Po_-_Venice,seagrass
Kristensen_et_al_2000,Phuket,unvegetated marine
Fonseca_et_al_2011,Pittwater,seagrass
Calleja_et_al_2007,Pollença,seagrass
Mellors_et_al_2002,Port_Dennison,seagrass
Fonseca_et_al_2011,Port_Hacking,seagrass
Mateo_et_al_1997,Portlligat_I,seagrass
Serrano_unpublished,Portlligat_II,seagrass
Mateo_and_Serrano_unpublished,Portlligat_III,seagrass
Calleja_et_al_2007,Porto_Colom,seagrass
Apostolaki_unpublished,Psaromoura_Crete,seagrass
Kamp-Nielsen_et_al_2002,Puerto_Galera,seagrass
De_Troch_et_al_2006,Pujada_Bay,seagrass
Ooi_et_al_2011,Pulau_Tinggi_Malasia,seagrass
De_Troch_et_al_2006,Punta_Allen,seagrass
Borg_et_al_2010,Ramla_Bay,seagrass
Pulich_1985,Redfish_Bay,seagrass
Oakes_and_Connolly_2004,Redland_Bay,seagrass
Figueiredo_da_Silva_et_al_2009,Ria_de_Aveiro,seagrass
Spruzen_et_al_2008,Robbins_Passage,seagrass
Holmer_et_al_2007,Rottnest,seagrass
Alongi_et_al_2008,S_Sulawesi,seagrass
Calleja_et_al_2007,Sa_Paret,seagrass
Mateo_unpublished,Saline_Bay,seagrass
Lewis_et_al_2007,Santa_Rosa_Sound,seagrass
Mateo_and_Serrano_unpublished,Santander_Bay,seagrass
Lee_et_al_2005,Seungbong_Island,NA
Fourqurean_and_Kendrick_unpublished,Shark_Bay,seagrass
Holmer_et_al_2007,Sicily,seagrass
NA,Skive_Fjord-st._13,seagrass
NA,Skive_Fjord-st._28,seagrass
NA,Skive_Fjord-st._29,seagrass
Holmer_et_al_2007,Sounion,seagrass
Holmer_et_al_2007,Spain,unvegetated marine
Grady_1981,St._Andrews_Bay_Florida_USA,seagrass
Lewis_et_al_2007,St_Joseph_Bay,seagrass
Calleja_et_al_2007,Sta_Maria_,seagrass
Mateo_et_al_1997,Tabarca_North,seagrass
Mateo_et_al_1997,Tabarca_South,seagrass
Mateo_and_Serrano_unpublished,Talamanca,seagrass
Povidisa_and_Delefosse_unpublished,Thailand,seagrass
Rigollet_et_al_2004,Thau_lagoon,seagrass
NA,Thisted_Bredning-st._9,seagrass
Borg_et_al_2010,Thomas_Bay,seagrass
Kamp-Nielsen_et_al_2002,Trang,seagrass
Krause-Jensen_et_al_2011,Vejle_Fjord,seagrass
NA,Vejle_Fjord-st._1,seagrass
NA,Vejle_Fjord-st._2,seagrass
NA,Vejle_Fjord-st._3,seagrass
NA,Vejle_Fjord-st._4,seagrass
NA,Vejle_Fjord-st._5,seagrass
Rigollet_et_al_2004,Venice_lagoon,seagrass
Mateo_unpublished,Villajoyosa,seagrass
McGlathery_et_al_2012,Virginia_Coastal_Bays,unvegetated marine
Maher_and_Eyre_2010,Wallis_Lake,seagrass
NA,Weddelsborg,seagrass
Fourqurean_and_Kendrick_unpublished,Western_Australia,seagrass
Borg_et_al_2010,White_Rocks,seagrass
Mellors_et_al_2002,Windy_Point,seagrass
Holmer_et_al_2007,Woodman_Point,seagrass
Larned_2003,Yaquina_Bay_Oregon,seagrass
