study_id,method_id,coring_method,roots_flag,sediment_sieved_flag,compaction_flag,dry_bulk_density_temperature,dry_bulk_density_sample_volume,loss_on_ignition_temperature,loss_on_ignition_time,loss_on_ignition_sample_mass
Yellen_2024,surface_sample,push core,roots and rhizomes included,sediment not sieved,no obvious compaction,100,418,550,4,20
Yellen_2024,deep_core,gouge auger,roots and rhizomes included,sediment not sieved,corer limits compaction,100,NA,550,4,NA
