study_id,site_id,core_id,year,core_notes,latitude,longitude,position_method,salinity_class,salinity_method,vegetation_class,vegetation_method,habitat,inundation_class,inundation_method,core_length_flag
Lafratta_et_al_2018,False bay,1Rs,2014,cores collected at 5m depth in seagrass meadows,-32.97958,137.67194999999998, ,saline,field observation,seagrass,field observation,seagrass,low,field observation,not specified
Lafratta_et_al_2018,False bay,2Rs,2014,cores collected at 5m depth in seagrass meadows,-32.97958,137.67194999999998, ,saline,field observation,seagrass,field observation,seagrass,low,field observation,not specified
Lafratta_et_al_2018,False bay,3Rs,2014,cores collected at 5m depth in seagrass meadows,-32.97958,137.67194999999998, ,saline,field observation,seagrass,field observation,seagrass,low,field observation,not specified
Lafratta_et_al_2018,False bay,1Rc,2014,cores collected at 5m depth in seagrass meadows,-33.00828,137.60947, ,saline,field observation,seagrass,field observation,seagrass,low,field observation,not specified
Lafratta_et_al_2018,False bay,2Rc,2014,cores collected at 5m depth in seagrass meadows,-33.00828,137.60947, ,saline,field observation,seagrass,field observation,seagrass,low,field observation,not specified
Lafratta_et_al_2018,False bay,3Rc,2014,cores collected at 5m depth in seagrass meadows,-33.00828,137.60947, ,saline,field observation,seagrass,field observation,seagrass,low,field observation,not specified
Lafratta_et_al_2018,False bay,4Rc,2014,cores collected at 5m depth in seagrass meadows,-32.99817,137.62118, ,saline,field observation,seagrass,field observation,seagrass,low,field observation,not specified
Lafratta_et_al_2018,False bay,5Rc,2014,cores collected at 5m depth in seagrass meadows,-32.99817,137.62118, ,saline,field observation,seagrass,field observation,seagrass,low,field observation,not specified
Lafratta_et_al_2018,False bay,6Rc,2014,cores collected at 5m depth in seagrass meadows,-32.99817,137.62118, ,saline,field observation,seagrass,field observation,seagrass,low,field observation,not specified
Lafratta_et_al_2018,False bay,1B,2014,cores collected at 5m depth in seagrass meadows,-32.99817,137.62118, ,saline,field observation,seagrass,field observation,seagrass,low,field observation,not specified
Lafratta_et_al_2018,False bay,2B,2014,cores collected at 5m depth in seagrass meadows,-32.99817,137.62118, ,saline,field observation,seagrass,field observation,seagrass,low,field observation,not specified
Lafratta_et_al_2018,False bay,3B,2014,cores collected at 5m depth in seagrass meadows,-32.99817,137.62118, ,saline,field observation,seagrass,field observation,seagrass,low,field observation,not specified
