study_id,site_id,core_id,method_id,depth_min,depth_max,dry_bulk_density,fraction_carbon,compaction_fraction,total_pb210_activity,total_pb210_activity_se,pb210_unit,c14_age,c14_age_se,c14_material,delta_c13
Lafratta_et_al_2018,False bay,1Rs,single set of methods,1,1.5,0.7560071171537017,0.003077678235017904,1.0037137408411214,10.115412206317636,0.8390767922509308,becquerelsPerKilogram,NA,NA,NA,-18.463070746021774
Lafratta_et_al_2018,False bay,1Rs,single set of methods,1.5,2,0.617787902048641,NA,0.8399832003359965,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,2,2.5,0.7252319264518464,0.002269421838438922,0.7766387076731919,8.812670777587845,0.7617703065238914,becquerelsPerKilogram,NA,NA,NA,-20.700152739986766
Lafratta_et_al_2018,False bay,1Rs,single set of methods,2.5,3,0.788631255854637,NA,0.7430193333630578,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,3,3.5,0.6063774856300302,NA,0.7221780891167763,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,3.5,4,1.0234794063163806,NA,0.7079932437216189,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,4,4.5,0.757472041788446,0.0031110758196870414,0.6977149834292704,9.08704166269004,0.871653681849343,becquerelsPerKilogram,NA,NA,NA,-15.09749524514792
Lafratta_et_al_2018,False bay,1Rs,single set of methods,4.5,5,0.7640102754129214,NA,0.6899247981969974,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,5,5.5,0.758646404446913,0.0047289022592201906,0.6838167918051401,NA,NA,NA,NA,NA,NA,-13.657556102117574
Lafratta_et_al_2018,False bay,1Rs,single set of methods,5.5,6,0.7586342138310882,NA,0.6788991958130444,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,6,6.5,0.7911628404090343,0.003260912073503125,0.6748549061951686,8.708896390579424,0.9093473987373112,becquerelsPerKilogram,NA,NA,NA,-15.428840855083095
Lafratta_et_al_2018,False bay,1Rs,single set of methods,6.5,7,0.7731369831323571,NA,0.6714702616151447,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,7,7.5,0.5897413585581988,0.004473235786927415,0.6685960438216957,NA,NA,NA,NA,NA,NA,-13.267380202595456
Lafratta_et_al_2018,False bay,1Rs,single set of methods,7.5,8,0.5156996215342229,NA,0.6661248850934578,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,8,8.5,0.6052315677418483,0.00468996855449038,0.6639775575585549,6.44479818035027,0.7058098492526839,becquerelsPerKilogram,NA,NA,NA,-12.701575806773484
Lafratta_et_al_2018,False bay,1Rs,single set of methods,8.5,9,0.7643353585017775,NA,0.6620943211780611,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,9,9.5,0.753445075025329,0.0032902542488545765,0.6604292790313708,NA,NA,NA,NA,NA,NA,-14.850403989204422
Lafratta_et_al_2018,False bay,1Rs,single set of methods,9.5,10,0.674982207993012,NA,0.6589465871768997,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,10,10.5,0.6746408707497268,0.004356357672105961,0.6576178451178456,9.3137303042398,0.7419334018287034,becquerelsPerKilogram,NA,NA,NA,-15.027038550488339
Lafratta_et_al_2018,False bay,1Rs,single set of methods,10.5,11,0.6364883067346797,NA,0.6564202590046797,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,11,11.5,0.5101122559446307,0.0032730747201604234,0.6553353231696786,9.717892054123523,1.0741024026221018,becquerelsPerKilogram,NA,NA,NA,-15.366125862162928
Lafratta_et_al_2018,False bay,1Rs,single set of methods,11.5,12,0.764497900046195,NA,0.6543478570107685,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,12,12.5,0.8308148501713986,0.004765387352608621,0.6534452902930706,15.806966935325942,1.9225477778100315,becquerelsPerKilogram,NA,NA,NA,-13.043390787679575
Lafratta_et_al_2018,False bay,1Rs,single set of methods,12.5,13,0.6853726762203481,NA,0.6526171251954591,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,13,13.5,0.6768229909836195,0.004251673024282346,0.651854526126831,NA,NA,NA,NA,NA,NA,-13.759396147657805
Lafratta_et_al_2018,False bay,1Rs,single set of methods,13.5,14,0.6297184514094051,NA,0.6511500032557503,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,14,14.5,0.6363135745744234,0.004881410849894236,0.6504971656909212,NA,NA,NA,NA,NA,NA,-13.314473889992705
Lafratta_et_al_2018,False bay,1Rs,single set of methods,14.5,15,0.7336678326074779,NA,0.6498905270612176,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,15,15.5,0.7080594122834042,0.004895094393221557,0.6493253509603525,NA,NA,NA,NA,NA,NA,-13.014662560331157
Lafratta_et_al_2018,False bay,1Rs,single set of methods,15.5,16,0.6445950662628517,NA,0.6487975270349746,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,16,16.5,0.6327823595218011,0.005872349533388561,0.6483034708547073,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,16.5,17,0.5392681454757803,NA,0.6478400424040758,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,17,17.5,0.5571070799763643,0.004962113331564196,0.6474044792773445,NA,NA,NA,NA,NA,NA,-13.41346866079415
Lafratta_et_al_2018,False bay,1Rs,single set of methods,17.5,18,0.7442696048425658,NA,0.6469943415723444,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,18,18.5,0.7683704523421087,0.004120472838579336,0.646607466160876,NA,NA,NA,NA,NA,NA,-12.511053987600699
Lafratta_et_al_2018,False bay,1Rs,single set of methods,18.5,19,0.5095230428460965,NA,0.6462419285256429,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,19,19.5,0.6470616341994936,0.00499422883189223,0.6458960107422707,NA,NA,NA,NA,NA,NA,-12.951052059792158
Lafratta_et_al_2018,False bay,1Rs,single set of methods,19.5,20,0.6778957651768212,NA,0.64556817448218,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,20,20.5,0.7754410095245815,0.006622859797552766,0.6452570381411438,NA,NA,NA,NA,NA,NA,-13.565753464008086
Lafratta_et_al_2018,False bay,1Rs,single set of methods,21,21.5,0.7283811688750679,NA,0.6446800084729373,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,22,23,0.631973715338292,0.004215656925885509,0.6441563308855394,NA,NA,NA,NA,NA,NA,-13.78678993659384
Lafratta_et_al_2018,False bay,1Rs,single set of methods,23,24,0.7531585955532808,NA,0.6436789329482454,NA,NA,NA,NA,NA,NA,NA
Lafratta_et_al_2018,False bay,1Rs,single set of methods,24,25,0.7319164474663072,0.003354523379507124,0.6432419393744472,NA,NA,NA,NA,NA,NA,-14.680081662060468
