"study_id","site_id","transect_id","plot_id","core_id","depth_min","depth_max","cn_ratio","dry_weight","dry_bulk_density","soil_carbon","fraction_carbon","fraction_nitrogen"
"Cifuentes_and_Torres_2024","Boca Sierpe","1","1","Boca Sierpe_1_1","0","15","22.475","14.86","0.258524704244955","34.8620563674322",0.08990000000000001,0.004
"Cifuentes_and_Torres_2024","Boca Sierpe","1","1","Boca Sierpe_1_1","15","30","30.7884615384615","7.56","0.131524008350731","31.585490605428",0.16010000000000002,0.0052
"Cifuentes_and_Torres_2024","Boca Sierpe","1","1","Boca Sierpe_1_1","30","50","27.5463917525773","8.1","0.140918580375783","75.3068893528184",0.2672,0.0097
"Cifuentes_and_Torres_2024","Boca Sierpe","1","1","Boca Sierpe_1_1","50","100","29.9615384615385","10.77","0.187369519832985","72.9804279749478",0.0779,0.0026
"Cifuentes_and_Torres_2024","Boca Sierpe","1","2","Boca Sierpe_1_2","0","15","25.6415094339623","16.08","0.279749478079332","57.0269311064718",0.1359,0.0053
"Cifuentes_and_Torres_2024","Boca Sierpe","1","2","Boca Sierpe_1_2","15","30","28.0519480519481","9.45","0.164405010438413","53.2672233820459",0.21600000000000003,0.0077
"Cifuentes_and_Torres_2024","Boca Sierpe","1","2","Boca Sierpe_1_2","30","50","28.8842105263158","7.34","0.127696590118302","70.0798886569242",0.27440000000000003,0.0095
"Cifuentes_and_Torres_2024","Boca Sierpe","1","2","Boca Sierpe_1_2","50","100","30.2325581395349","19.41","0.33768267223382","219.493736951983",0.13,0.0043
"Cifuentes_and_Torres_2024","Boca Sierpe","1","3","Boca Sierpe_1_3","0","15","25.7777777777778","8.19","0.142484342379958","54.543006263048",0.2552,0.009899999999999999
"Cifuentes_and_Torres_2024","Boca Sierpe","1","3","Boca Sierpe_1_3","15","30","29.4193548387097","8.94","0.15553235908142","63.8304801670146",0.2736,0.009300000000000001
"Cifuentes_and_Torres_2024","Boca Sierpe","1","3","Boca Sierpe_1_3","30","50","30.4950495049505","8.82","0.153444676409186","94.5219206680585",0.308,0.0101
"Cifuentes_and_Torres_2024","Boca Sierpe","1","3","Boca Sierpe_1_3","50","100","26.9855072463768","13.92","0.242171189979123","225.461377870564",0.1862,0.0069
"Cifuentes_and_Torres_2024","Boca Sierpe","1","4","Boca Sierpe_1_4","0","15","21.7368421052632","6.62","0.115170494084899","49.9436847599165",0.2891,0.013300000000000001
"Cifuentes_and_Torres_2024","Boca Sierpe","1","4","Boca Sierpe_1_4","15","30","22.828125","7.39","0.128566457898399","56.3506784968685",0.2922,0.0128
"Cifuentes_and_Torres_2024","Boca Sierpe","1","4","Boca Sierpe_1_4","30","50","26.495652173913","5.79","0.100730688935282","61.3852818371608",0.30469999999999997,0.0115
"Cifuentes_and_Torres_2024","Boca Sierpe","1","4","Boca Sierpe_1_4","50","100","26.7857142857143","6.84","0.118997912317328","133.872651356994",0.225,0.0084
"Cifuentes_and_Torres_2024","Boca Sierpe","1","5","Boca Sierpe_1_5","0","15","16.5988372093023","6.92","0.120389700765484","51.5568893528184",0.28550000000000003,0.0172
"Cifuentes_and_Torres_2024","Boca Sierpe","1","5","Boca Sierpe_1_5","15","30","21.6780821917808","5.41","0.0941196938065414","44.6833246346555",0.3165,0.0146
"Cifuentes_and_Torres_2024","Boca Sierpe","1","5","Boca Sierpe_1_5","30","50","24.4786324786325","7.26","0.126304801670146","72.3473903966597",0.2864,0.011699999999999999
"Cifuentes_and_Torres_2024","Boca Sierpe","1","5","Boca Sierpe_1_5","50","100","25.6559139784946","7.37","0.12821851078636","152.964683368128",0.2386,0.009300000000000001
"Cifuentes_and_Torres_2024","Boca Sierpe","2","1","Boca Sierpe_2_1","0","15","20.5","30.07","0.523138482950592","45.0422233820459",0.0574,0.0028000000000000004
"Cifuentes_and_Torres_2024","Boca Sierpe","2","1","Boca Sierpe_2_1","15","30","25.12","23.7","0.41231732776618","38.8402922755741",0.06280000000000001,0.0025
"Cifuentes_and_Torres_2024","Boca Sierpe","2","1","Boca Sierpe_2_1","30","50","22.6538461538462","24.16","0.420320111343076","49.5137091162143",0.058899999999999994,0.0026
"Cifuentes_and_Torres_2024","Boca Sierpe","2","1","Boca Sierpe_2_1","50","100","22.4137931034483","28.79","0.500869867780097","162.782707028532",0.065,0.0029
"Cifuentes_and_Torres_2024","Boca Sierpe","2","2","Boca Sierpe_2_2","0","15","20.5172413793103","22.03","0.383263743910926","34.2062891440501",0.059500000000000004,0.0029
"Cifuentes_and_Torres_2024","Boca Sierpe","2","2","Boca Sierpe_2_2","15","30","21.9411764705882","20.6","0.358385525400139","40.1033402922756",0.0746,0.0034000000000000002
