"study_id","site_id","transect_id","plot_id","percent_understory_cover","plot_area","understory_area","understory_biomass_Mg","understory_biomass_Mgha","vegetation_type"
"Cifuentes_and_Torres_2024","Boca Sierpe","1","3","25","38.48451","9.6211275","0.0407174040174295","10.5802059107494","Acrostichum aureum"
"Cifuentes_and_Torres_2024","Boca Sierpe","1","4","85","38.48451","32.7118335","0.13843917365926","35.972700096548","Acrostichum aureum"
"Cifuentes_and_Torres_2024","Boca Sierpe","1","5","98","38.48451","37.7148198","0.159612223748324","41.4744071701378","Acrostichum aureum"
"Cifuentes_and_Torres_2024","Boca Sierpe","3","1","1","38.48451","0.3848451","0.00162869616069718","0.423208236429977","Acrostichum aureum"
"Cifuentes_and_Torres_2024","Boca Sierpe","3","2","5","38.48451","1.9242255","0.00814348080348591","2.11604118214989","Acrostichum aureum"
"Cifuentes_and_Torres_2024","Boca Sierpe","3","5","12","38.48451","4.6181412","0.0195443539283662","5.07849883715972","Acrostichum aureum"
"Cifuentes_and_Torres_2024","Boca Sierpe","5","3","15","38.48451","5.7726765","0.0244304424104577","6.34812354644965","Acrostichum aureum"
"Cifuentes_and_Torres_2024","Boca Sierpe","5","4","60","38.48451","23.090706","0.0977217696418309","25.3924941857986","Acrostichum aureum"
"Cifuentes_and_Torres_2024","Boca Guarumal","1","2","10","38.48451","3.848451","0.0162869616069718","4.23208236429977","Acrostichum aureum"
"Cifuentes_and_Torres_2024","Boca Guarumal","1","3","15","38.48451","5.7726765","0.0244304424104577","6.34812354644965","Acrostichum aureum"
"Cifuentes_and_Torres_2024","Boca Guarumal","1","4","30","38.48451","11.545353","0.0488608848209154","12.6962470928993","Acrostichum aureum"
"Cifuentes_and_Torres_2024","Boca Guarumal","1","5","85","38.48451","32.7118335","0.13843917365926","35.972700096548","Acrostichum aureum"
"Cifuentes_and_Torres_2024","Boca Zacate","2","3","10","38.48451","3.848451","0.0162869616069718","4.23208236429977","Acrostichum aureum"
"Cifuentes_and_Torres_2024","Boca Zacate","2","5","25","38.48451","9.6211275","0.0407174040174295","10.5802059107494","Acrostichum aureum"
"Cifuentes_and_Torres_2024","Boca Zacate","5","4","1","38.48451","0.3848451","0.00162869616069718","0.423208236429977","Acrostichum aureum"
