"study_id","site_id","transect_id","plot_id","tree_id","plot_radius","alive_or_dead","family","species","diameter","basal_area","basal_density","height","wood_density","plant_AGB_kg","plant_AGBK_kg","plant_BGB_kg","plant_AGB_MgHa","plant_AGBK_MgHa","plant_BGB_MgHa","plant_mass_total_MgHa","plant_mass_totalK_MgHa","plant_aboveground_carbon","plant_aboveground_carbon_K","plant_belowground_carbon","plant_total_carbon","plant_total_carbon_K","decay_reduction_factor","carbon_conversion_factor"
"Cifuentes_and_Torres_2024","Boca Sierpe","1","1","1",7,"alive","Rhizophoraceae","Rhizophora mangle","12","0.0113097335529233","0.734693877674632",NA,"0.898","74.4812480486982","101.797221287998","40.3233207620211","4.83839134555034","6.61286978111442","2.61945135601448","7.45784270156482","9.2323211371289","2.29920356740552","3.14243571998557","1.24476328437808","3.5439668517836","4.38719900436365",NA,0.4752
"Cifuentes_and_Torres_2024","Boca Sierpe","1","1","2",7,"alive","Rhizophoraceae","Rhizophora mangle","11.6","0.0105683176866761","0.686530612360406",NA,"0.898","68.4559965069374","93.651925645096","37.399918894462","4.446983767426","6.08374159142835","2.42954365889432","6.87652742632032","8.51328525032267","2.11320668628083","2.89099400424675","1.15451914670658","3.26772583298742","4.04551315095333",NA,0.4752
"Cifuentes_and_Torres_2024","Boca Sierpe","1","1","3",7,"alive","Rhizophoraceae","Rhizophora mangle","10.2","0.00817128249198705","0.530816326619921",NA,"0.898","49.7106840890156","68.2506011021411","28.1103534050031","3.22926575452147","4.43364103519449","1.82608232539554","5.055348079917","6.25972336059003","1.5345470865486","2.10686621992442","0.86775432102796","2.40230140757656","2.97462054095238",NA,0.4752
"Cifuentes_and_Torres_2024","Boca Sierpe","1","1","4",7,"alive","Rhizophoraceae","Rhizophora mangle","9.7","0.00738981131940659","0.480051020488931",NA,"0.898","43.8713191013883","60.3126657826123","25.1424256413106","2.84993359025412","3.9179832212111","1.6332821725748","4.48321576282892","5.5512653937859","1.35428844208876","1.86182562671951","0.776135688407545","2.1304241304963","2.63796131512706",NA,0.4752
"Cifuentes_and_Torres_2024","Boca Sierpe","1","1","5",7,"alive","Rhizophoraceae","Rhizophora mangle","14.3","0.0160606070433144","1.04331632670615",NA,"0.898","115.196121501249","156.702783295919","59.5141078245762","7.48327843470327","10.1796010457142","3.86610793697102","11.3493863716743","14.0457089826852","3.55605391217099","4.83734641692337","1.83717449164863","5.39322840381962","6.674520908572",NA,0.4752
"Cifuentes_and_Torres_2024","Boca Sierpe","1","1","6",7,"alive","Rhizophoraceae","Rhizophora mangle","6.4","0.00321699087727595","0.208979591871895",NA,"0.898","15.6807245204692","21.6846688396569","9.98834343535066","1.01863870167953","1.40866213702974","0.64885478828694","1.66749348996647","2.05751692531668","0.484057111038113","0.669396247516532","0.308335795393954","0.792392906432067","0.977732042910486",NA,0.4752
"Cifuentes_and_Torres_2024","Boca Sierpe","1","1","7",7,"alive","Rhizophoraceae","Rhizophora mangle","7","0.0038484510006475","0.250000000042062",NA,"0.898","19.552171996158","27.0328127761666","12.1868530143684","1.27013258036532","1.75608399172593","0.79167261154997","2.06180519191529","2.5477566032759","0.603567002189601","0.834491112868161","0.376202825008546","0.979769827198147","1.21069393787671",NA,0.4752
"Cifuentes_and_Torres_2024","Boca Sierpe","1","1","8",7,"alive","Rhizophoraceae","Rhizophora mangle","12.1","0.011499014510302","0.746989796044047",NA,"0.898","76.035203863566","103.896775489345","41.0730965820314","4.9393381820092","6.74925934417151","2.66815769396774","7.60749587597695","9.41741703813926","2.34717350409077","3.2072480403503","1.26790853617347","3.61508204026425","4.47515657652377",NA,0.4752
"Cifuentes_and_Torres_2024","Boca Sierpe","1","1","9",7,"alive","Rhizophoraceae","Rhizophora mangle","7.6","0.00453645979178366","0.294693877600602",NA,"0.898","23.9553882401219","33.0941701280564","14.6278365580746","1.55617079703769","2.14983704664918","0.950241834836572","2.50641263187426","3.10007888148575","0.739492362752309","1.02160256456769","0.451554919914339","1.19104728266665","1.47315748448203",NA,0.4752
"Cifuentes_and_Torres_2024","Boca Zacate","1","1","1",7,"alive","Theaceae","Pelliciera rhizophorae","14.6","0.01674154725098","1.08755102059114",NA,"0.811","109.542751542085","148.93699972888","62.3214090832664","7.1160287309157","9.67512641637378","4.04847359907054","11.1645023299862","13.7236000154443","3.55801436545785","4.83756320818689","2.02423679953527","5.58225116499312","6.86180000772216",NA,0.4669
