"ID","SUBPID","SAMP","DEPTH","SDTID"
311,481,1,374.00,2
312,481,2,374.00,2
313,481,3,374.00,2
314,481,4,374.00,2
315,481,5,374.00,2
316,482,1,374.00,2
317,482,2,374.00,2
318,482,3,374.00,2
319,482,4,374.00,2
320,482,5,374.00,2
321,483,1,374.00,2
322,483,2,374.00,2
323,483,3,374.00,2
324,484,1,300.00,2
325,484,2,300.00,2
326,484,3,300.00,2
327,485,1,374.00,2
328,485,2,374.00,2
329,485,3,374.00,2
330,485,4,374.00,2
331,485,5,374.00,2
332,486,1,374.00,2
333,486,2,374.00,2
334,486,3,374.00,2
335,486,4,374.00,2
336,486,5,374.00,2
337,487,1,374.00,2
338,487,2,374.00,2
339,487,3,374.00,2
340,487,4,374.00,2
341,487,5,374.00,2
342,488,1,374.00,2
343,488,2,374.00,2
344,488,3,374.00,2
345,488,4,374.00,2
346,488,5,374.00,2
347,489,1,374.00,2
348,489,2,374.00,2
349,489,3,374.00,2
350,489,4,374.00,2
351,489,5,374.00,2
352,490,1,374.00,2
353,490,2,374.00,2
354,490,3,374.00,2
355,490,4,374.00,2
356,490,5,374.00,2
357,491,1,374.00,2
358,491,2,374.00,2
359,491,3,374.00,2
360,491,4,374.00,2
361,491,5,374.00,2
362,492,1,374.00,2
363,492,2,374.00,2
364,492,3,374.00,2
365,492,4,374.00,2
366,492,5,374.00,2
367,493,1,374.00,2
368,493,2,374.00,2
369,493,3,374.00,2
370,493,4,374.00,2
371,493,5,374.00,2
372,494,1,374.00,2
373,494,2,374.00,2
374,494,3,374.00,2
375,494,4,374.00,2
376,494,5,374.00,2
377,495,1,374.00,2
378,495,2,374.00,2
379,495,3,374.00,2
380,495,4,374.00,2
381,495,5,374.00,2
382,496,1,374.00,2
383,496,2,374.00,2
384,496,3,374.00,2
385,496,4,374.00,2
386,496,5,374.00,2
387,497,1,374.00,2
388,497,2,374.00,2
389,497,3,374.00,2
390,497,4,374.00,2
391,497,5,374.00,2
392,498,1,374.00,2
393,498,2,374.00,2
394,498,3,374.00,2
395,498,4,374.00,2
396,498,5,374.00,2
397,499,1,374.00,2
398,499,2,374.00,2
399,499,3,374.00,2
400,499,4,374.00,2
401,499,5,374.00,2
402,500,1,374.00,2
403,500,2,374.00,2
404,500,3,374.00,2
405,500,4,374.00,2
406,500,5,374.00,2
407,501,1,374.00,2
408,501,2,374.00,2
409,501,3,374.00,2
410,501,4,374.00,2
411,501,5,374.00,2
412,502,1,374.00,2
413,502,2,374.00,2
414,502,3,374.00,2
415,502,4,374.00,2
416,502,5,374.00,2
417,503,1,374.00,2
418,504,1,374.00,2
419,505,1,374.00,2
420,506,1,300.00,2
421,506,2,300.00,2
422,506,3,300.00,2
423,507,1,300.00,2
424,507,2,300.00,2
425,507,3,300.00,2
