"SUBPID","SOIL_C_CONT","SOIL_N_CONT","SOIL_MEAN_DEPTH","SDTMID"
481,333.23,,374.00,2
482,205.39,,374.00,2
483,347.17,,374.00,2
484,280.79,,300.00,2
485,485.50,,374.00,2
486,432.19,,374.00,2
487,451.96,,374.00,2
488,447.11,,374.00,2
489,528.26,,374.00,2
490,290.68,,374.00,2
491,320.19,,374.00,2
492,370.12,,374.00,2
493,323.40,,374.00,2
494,328.66,,374.00,2
495,262.85,,374.00,2
496,287.89,,374.00,2
497,234.32,,374.00,2
498,297.99,,374.00,2
499,254.52,,374.00,2
500,338.62,,374.00,2
501,302.81,,374.00,2
502,349.37,,374.00,2
503,226.02,,374.00,2
504,230.58,,374.00,2
505,232.89,,374.00,2
506,220.48,,300.00,2
507,245.52,,300.00,2
