"ID","SUBPID","SAMP","MIND","MAXD","INTD","AREA","VOL","DWT","BD","C","N","C_CONT","N_CONT","CNR"
3813,481,1,0.00,15.00,15.00,19.28,96.40,51.90,0.53,5.71,,46.13,,
3814,481,2,15.00,30.00,15.00,19.28,96.40,41.10,0.42,5.53,,35.38,,
3815,481,3,30.00,50.00,20.00,19.28,96.40,45.02,0.46,6.11,,57.13,,
3816,481,4,50.00,97.00,47.00,19.28,96.40,43.18,0.44,5.02,,105.71,,
3817,481,5,100.00,185.00,85.00,19.28,96.40,44.92,0.46,2.24,,88.86,,
3818,482,1,0.00,15.00,15.00,19.28,96.40,30.37,0.31,2.24,,10.60,,
3819,482,2,15.00,30.00,15.00,19.28,96.40,35.28,0.36,9.99,,54.90,,
3820,482,3,30.00,50.00,20.00,19.28,96.40,30.08,0.31,8.12,,50.74,,
3821,482,4,50.00,80.00,30.00,19.28,96.40,36.88,0.38,7.18,,82.44,,
3822,482,5,100.00,105.00,5.00,19.28,96.40,43.13,0.44,2.99,,6.69,,
3823,483,1,0.00,15.00,15.00,19.28,96.40,19.62,0.20,19.77,,60.37,,
3824,483,2,15.00,30.00,15.00,19.28,96.40,25.25,0.26,14.60,,57.38,,
3825,483,3,30.00,50.00,20.00,19.28,96.40,25.55,0.26,12.62,,66.91,,
3826,483,4,50.00,77.00,27.00,19.28,96.40,40.88,0.42,4.91,,56.31,,
3827,483,5,77.00,170.00,93.00,19.28,96.40,62.77,0.65,1.75,,106.18,,
3828,484,1,0.00,15.00,15.00,19.28,96.40,17.87,0.18,15.60,,43.40,,
3829,484,2,15.00,30.00,15.00,19.28,96.40,29.88,0.30,10.63,,49.42,,
3830,484,3,30.00,50.00,20.00,19.28,96.40,40.49,0.42,5.48,,46.05,,
3831,484,4,50.00,95.00,45.00,19.28,96.40,47.10,0.48,2.26,,49.81,,
3832,484,5,95.00,195.00,100.00,19.28,96.40,47.22,0.48,1.87,,92.09,,
3833,485,1,0.00,15.00,15.00,19.28,96.40,44.23,0.45,7.96,,54.83,,
3834,485,2,15.00,30.00,15.00,19.28,96.40,50.93,0.52,7.83,,62.09,,
3835,485,3,30.00,50.00,20.00,19.28,96.40,41.01,0.42,9.08,,77.26,,
3836,485,4,50.00,100.00,50.00,19.28,96.40,44.46,0.46,7.63,,176.07,,
3837,485,5,100.00,200.00,100.00,19.28,96.40,74.03,0.76,1.50,,115.22,,
3838,486,1,0.00,15.00,15.00,19.28,96.40,51.27,0.53,10.15,,81.02,,
3839,486,2,15.00,30.00,15.00,19.28,96.40,50.55,0.52,8.47,,66.70,,
3840,486,3,30.00,50.00,20.00,19.28,96.40,33.58,0.34,10.05,,70.07,,
3841,486,4,50.00,100.00,50.00,19.28,96.40,122.14,1.26,0.93,,59.44,,
3842,486,5,100.00,200.00,100.00,19.28,96.40,108.38,1.12,1.37,,154.95,,
3843,487,1,0.00,15.00,15.00,19.28,96.40,58.47,0.60,5.87,,53.46,,
3844,487,2,15.00,30.00,15.00,19.28,96.40,39.90,0.41,12.20,,75.78,,
3845,487,3,30.00,50.00,20.00,19.28,96.40,40.60,0.42,7.21,,60.73,,
3846,487,4,50.00,100.00,50.00,19.28,96.40,62.72,0.65,4.56,,148.60,,
3847,487,5,100.00,200.00,100.00,19.28,96.40,81.55,0.84,1.34,,113.37,,
3848,488,1,0.00,15.00,15.00,19.28,96.40,36.73,0.38,11.40,,65.16,,
