"ID","PLOTID","SUBP","AZI","DIST","SLOPE","LATITUDE","LONGITUDE","ELEVATION","ACCURACY","GEOID","ECOID","TOPOID","SUBP_DESCRIPTION","NOTES"
481,159,1,,,,11.50,103.00,,,2,2,2,,
482,159,2,,,,,,,,2,1,2,,
483,159,3,,,,,,,,100,100,100,,"Subplot data lost"
484,159,4,,,,,,,,100,100,100,,"Subplot data lost"
485,160,1,,,,10.61,103.91,,2.00,2,1,2,,
486,160,2,,,,,,,,2,1,2,,
487,160,3,,,,,,,,2,1,2,,
488,160,4,,,,,,,,2,1,2,,
489,160,5,,,,,,,,2,1,2,,
490,161,1,,,,10.55,103.80,,7.00,2,2,2,,
491,161,2,,,,,,,,2,2,2,,
492,161,3,,,,,,,,2,2,2,,
493,161,4,,,,,,,,2,2,2,,
494,161,5,,,,,,,,2,2,2,,
495,162,1,,,,10.54,103.81,,6.00,2,1,2,,
496,162,2,,,,,,,,2,1,2,,
497,162,5,,,,,,,,2,1,2,,
498,163,1,,,,10.58,103.82,,7.00,2,1,2,,
499,163,2,,,,,,,,2,1,2,,
500,163,3,,,,,,,,2,1,2,,
501,163,4,,,,,,,,2,1,2,,
502,163,5,,,,,,,,2,1,2,,
503,164,1,,,,10.55,103.72,,,100,100,100,,"Subplot data lost"
504,164,2,,,,,,,,100,100,100,,"Subplot data lost"
505,164,3,,,,,,,,100,100,100,,"Subplot data lost"
506,165,1,,,,10.52,103.80,,,100,100,100,,"Subplot data lost"
507,165,2,,,,,,,,100,100,100,,"Subplot data lost"
