study_id,bibliography_id,publication_type,bibtype,doi,url,author,title,journal,publisher,year,month
Nahlik_and_Fennessy_2016,Nahlik_and_Fennessy_2016_article,associated source,Article,doi.org/10.1038/ncomms13835,https://doi.org/10.1038/ncomms13835,"Nahlik, Amanda M. and Fennessy, Siobhan",Carbon storage in US wetlands,Nature Communications,Springer Nature,2016,dec
Nahlik_and_Fennessy_2016,Nahlik_and_Fennessy_2016_data,primary dataset,Misc,,https://www.epa.gov/national-aquatic-resource-surveys/data-national-aquatic-resource-surveys,,National Wetland Condition Assessment 2011,,U.S. Environmental Protection Agency,2016,
Nahlik_and_Fennessy_2016,Nahlik_and_Fennessy_2016_techreport,associated source,Misc,,https://www.epa.gov/national-aquatic-resource-surveys/national-wetland-condition-assessment-2011-technical-report,,National Wetland Condition Assessment: 2011 Technical Report,,U.S. Environmental Protection Agency,2016,may
