"","study_id","site_id","core_id","method_id","depth_min","depth_max","dry_bulk_density","fraction_carbon","cs137_activity","cs137_activity_se","cs137_unit"
"1","Brown_et_al_2024","OREGON_YAQUINA_WINANT","WINANT","Brown_method",0,2.381,0.138539555974947,0.281805286407471,NA,NA,NA
"2","Brown_et_al_2024","OREGON_YAQUINA_WINANT","WINANT","Brown_method",2.381,4.47733333333333,0.165097997079198,0.248905067443848,0.055,0.078,"picocuriesPerGram"
"3","Brown_et_al_2024","OREGON_YAQUINA_WINANT","WINANT","Brown_method",4.47733333333333,6.76333333333333,0.206318022206598,0.226121120452881,0.752,0.19,"picocuriesPerGram"
"4","Brown_et_al_2024","OREGON_YAQUINA_WINANT","WINANT","Brown_method",6.76333333333333,8.947,0.238635863289218,0.161775703430176,1.91,0.257,"picocuriesPerGram"
"5","Brown_et_al_2024","OREGON_YAQUINA_WINANT","WINANT","Brown_method",8.947,11.4026666666667,0.192898926110732,0.169324951171875,2.36,0.309,"picocuriesPerGram"
"6","Brown_et_al_2024","OREGON_YAQUINA_WINANT","WINANT","Brown_method",11.4026666666667,13.4496666666667,0.149854644220788,0.203324794769287,0.229,0.071,"picocuriesPerGram"
"7","Brown_et_al_2024","OREGON_YAQUINA_WINANT","WINANT","Brown_method",13.4496666666667,15.6746666666667,0.17953486668632,0.19949764251709,0.181,0.085,"picocuriesPerGram"
"8","Brown_et_al_2024","OREGON_YAQUINA_WINANT","WINANT","Brown_method",15.6746666666667,17.8243333333333,0.214592440039064,0.141471834182739,0.089,0.039,"picocuriesPerGram"
"9","Brown_et_al_2024","OREGON_YAQUINA_WINANT","WINANT","Brown_method",17.8243333333333,20.017,0.252853814692352,0.130407457351685,0.03,0.094,"picocuriesPerGram"
"10","Brown_et_al_2024","OREGON_YAQUINA_WINANT","WINANT","Brown_method",20.017,22.147,0.310935078944276,NA,0.121,0.058,"picocuriesPerGram"
"11","Brown_et_al_2024","OREGON_YAQUINA_WINANT","WINANT","Brown_method",22.147,24.4303333333333,0.243364087436175,0.134960165023804,0.172,0.083,"picocuriesPerGram"
"12","Brown_et_al_2024","OREGON_YAQUINA_WINANT","WINANT","Brown_method",24.4303333333333,26.7086666666667,0.282853122619637,0.128538284301758,0.065,0.035,"picocuriesPerGram"
"13","Brown_et_al_2024","OREGON_YAQUINA_WINANT","WINANT","Brown_method",26.7086666666667,28.8396666666667,0.338469335265408,0.110340147018433,-0.004,0.081,"picocuriesPerGram"
"14","Brown_et_al_2024","OREGON_YAQUINA_WINANT","WINANT","Brown_method",28.8396666666667,31.027,0.414736075896519,0.0910117053985596,0.01,0.088,"picocuriesPerGram"
