Saltmarsh_ID,Nation,Year,Lat_dec_deg ,Long_dec_deg,Grid_Reference,X_easting,Y_northing,Sampling_Method,Depth_cm,Dry_Bulk_Density_g_cm_3,OC_Perc,LOI_Perc,Soil_Texture,LOI_Perc,OC_Perc
Stoke,England,2019,51.4156,0.5791,TQ7944171665,579441,171665,Syringe,0_10,0.31,10.88,26.65,Not Sandy,26.65,10.88
Stoke,England,2019,51.4154,0.5791,TQ7944271643,579442,171643,Syringe,0_10,0.22,10.73,37.01,Not Sandy,37.01,10.73
Swanscombe,England,2019,51.45866,0.30063439,TQ5993075808,559930,175808,Syringe,0_10,0.48,7.67,16.12,Not Sandy,16.12,7.67
Swanscombe,England,2019,51.45866,0.30063439,TQ5993075808,559930,175808,Syringe,0_10,0.66,8.09,16.50,Not Sandy,16.50,8.09
Swanscombe,England,2019,51.45866,0.30063439,TQ5993075808,559930,175808,Syringe,0_10,0.43,7.33,19.66,Not Sandy,19.66,7.33
Swanscombe,England,2019,51.45866,0.30063439,TQ5993075808,559930,175808,Syringe,0_10,0.57,14.10,27.43,Not Sandy,27.43,14.10
Tetney Haven,England,2019,53.52326,0.021127778,TA3408604855,534086,404855,Syringe,0_10,1.26,2.34,3.75,Sandy ,3.75,2.34
Tetney Haven,England,2019,53.52451,0.023744444,TA3425604999,534256,404999,Syringe,0_10,1.49,1.69,3.82,Sandy ,3.82,1.69
Tetney Haven,England,2019,53.52385,0.022508333,TA3417604923,534176,404923,Syringe,0_10,1.53,1.99,4.04,Sandy ,4.04,1.99
Tetney Haven,England,2019,53.5232,0.020708333,TA3405904847,534059,404847,Syringe,0_10,1.34,2.19,4.47,Sandy ,4.47,2.19
Tetney Haven,England,2019,53.52336,0.021458333,TA3410804867,534108,404867,Syringe,0_10,1.09,3.43,6.47,Sandy ,6.47,3.43
Tollesbury,England,2019,51.76976,0.84372307,TL9630711724,596307,211724,Syringe,0_10,0.79,4.15,6.25,Sandy ,6.25,4.15
Tollesbury,England,2019,51.77042,0.83859329,TL9595011783,595950,211783,Syringe,0_10,0.52,4.08,7.62,Not Sandy,7.62,4.08
Tollesbury,England,2019,51.77107,0.83371352,TL9561111843,595611,211843,Syringe,0_10,0.47,4.58,8.17,Not Sandy,8.17,4.58
Tollesbury,England,2019,51.76859,0.84920626,TL9669011608,596690,211608,Syringe,0_10,0.63,3.62,9.22,Not Sandy,9.22,3.62
Tollesbury,England,2019,51.76778,0.85539148,TL9712011535,597120,211535,Syringe,0_10,0.50,4.06,10.09,Not Sandy,10.09,4.06
Traeth Maelgwyn,Wales,2019,52.52684,-4.030430556,SN6235394045,262353,294045,Syringe,0_10,1.38,0.02,2.04,Sandy ,2.04,0.02
Traeth Maelgwyn,Wales,2019,52.52633,-4.030544444,SN6234393989,262343,293989,Syringe,0_10,1.00,1.43,6.32,Sandy ,6.32,1.43
Traeth Maelgwyn,Wales,2019,52.52543,-4.030316667,SN6235693888,262356,293888,Syringe,0_10,0.99,1.73,7.95,Not Sandy,7.95,1.73
Traeth Maelgwyn,Wales,2019,52.52441,-4.030277778,SN6235593775,262355,293775,Syringe,0_10,0.70,3.48,8.11,Not Sandy,8.11,3.48
Uplees,England,2019,51.35241,0.880102778,TR0064565419,600645,165419,Syringe,0_10,0.74,5.51,8.49,Not Sandy,8.49,5.51
Uplees,England,2019,51.35229,0.879872222,TR0062965405,600629,165405,Syringe,0_10,0.54,8.81,10.86,Not Sandy,10.86,8.81
Uplees,England,2019,51.35211,0.879616667,TR0061265384,600612,165384,Syringe,0_10,0.49,9.34,11.78,Not Sandy,11.78,9.34
Uplees,England,2019,51.35181,0.878963889,TR0056865349,600568,165349,Syringe,0_10,0.37,6.39,13.59,Not Sandy,13.59,6.39
Uplees,England,2019,51.35209,0.879469444,TR0060265382,600602,165382,Syringe,0_10,0.51,7.70,14.86,Not Sandy,14.86,7.70
Wheat Park,England,2019,50.33245,-3.926849,SX6296049834,262960,49834,Syringe,0_10,0.90,5.41,11.06,Not Sandy,11.06,5.41
Wheat Park,England,2019,50.33262,-3.927285,SX6292949853,262929,49853,Syringe,0_10,0.86,5.76,11.85,Not Sandy,11.85,5.76
Wheat Park,England,2019,50.33262,-3.92732,SX6292749853,262927,49853,Syringe,0_10,0.62,8.92,17.65,Not Sandy,17.65,8.92
Wheat Park,England,2019,50.33253,-3.927041,SX6294649843,262946,49843,Syringe,0_10,0.58,8.15,18.04,Not Sandy,18.04,8.15
Wheat Park,England,2019,50.33247,-3.926908,SX6295649836,262956,49836,Syringe,0_10,0.66,9.99,19.47,Not Sandy,19.47,9.99
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
