Saltmarsh_ID,Nation,Year,Lat_dec_deg ,Long_dec_deg,Grid_Reference,X_easting,Y_northing,Sampling_Method,Depth_cm,Dry_Bulk_Density_g_cm_3,OC_Perc,LOI_Perc,Soil_Texture,LOI_Perc,OC_Perc
Dingle Little Hill,England,2019,52.30319,1.6484586,TM4883573499,648835,273499,Syringe,0_10,1.38,4.27,4.65,Sandy ,4.65,4.27
Dingle Little Hill,England,2019,52.30256,1.6491994,TM4888973432,648889,273432,Syringe,0_10,0.60,8.16,15.96,Not Sandy,15.96,8.16
Dingle Little Hill,England,2019,52.30204,1.6499045,TM4894073376,648940,273376,Syringe,0_10,0.40,7.16,18.31,Not Sandy,18.31,7.16
Dingle Little Hill,England,2019,52.30235,1.6495483,TM4891473410,648914,273410,Syringe,0_10,0.55,7.51,21.63,Not Sandy,21.63,7.51
Erth,England,2019,50.39057,-4.2899884,SX3731657028,237316,57028,Syringe,0_10,0.53,3.51,11.83,Not Sandy,11.83,3.51
Fenham Mill,England,2019,55.66019,-1.860683056,NU0886440750,408864,640750,Syringe,0_10,0.59,6.07,12.34,Not Sandy,12.34,6.07
Fenham Mill,England,2019,55.66001,-1.8608308,NU0885440730,408854,640730,Syringe,0_10,0.68,7.76,12.65,Not Sandy,12.65,7.76
Fenham Mill,England,2019,55.66024,-1.860103333,NU0890040755,408900,640755,Syringe,0_10,0.49,6.08,14.14,Not Sandy,14.14,6.08
Fenham Mill,England,2019,55.66011,-1.860395278,NU0888240741,408882,640741,Syringe,0_10,1.00,6.81,15.40,Not Sandy,15.40,6.81
Fenham Mill,England,2019,55.66017,-1.860256667,NU0889040748,408890,640748,Syringe,0_10,0.43,5.95,16.12,Not Sandy,16.12,5.95
Gannel,England,2019,50.40563333,-5.084263889,SW8093560744,180935,60744,Syringe,0_10,1.04,2.78,6.76,Sandy ,6.76,2.78
Gannel,England,2019,50.40508667,-5.087716667,SW8068760693,180687,60693,Syringe,0_10,0.86,2.90,7.53,Sandy ,7.53,2.90
Gannel,England,2019,50.40561333,-5.084338889,SW8092960742,180929,60742,Syringe,0_10,0.72,6.43,13.48,Not Sandy,13.48,6.43
Gannel,England,2019,50.40518667,-5.084433333,SW8092160695,180921,60695,Syringe,0_10,0.64,10.48,14.83,Not Sandy,14.83,10.48
Gannel,England,2019,50.40490833,-5.083933333,SW8095560662,180955,60662,Syringe,0_10,0.44,14.89,29.14,Not Sandy,29.14,14.89
Gayton Colt,England,2019,53.30362,-3.093933333,SJ2719879077,327198,379077,Syringe,0_10,0.79,8.21,11.62,Not Sandy,11.62,8.21
Gayton Colt,England,2019,53.30285,-3.095625,SJ2708478994,327084,378994,Syringe,0_10,0.35,7.45,23.95,Not Sandy,23.95,7.45
Gayton Colt,England,2019,53.3027,-3.096288889,SJ2704078978,327040,378978,Syringe,0_10,0.18,15.45,34.13,Not Sandy,34.13,15.45
Gayton Colt,England,2019,53.3024,-3.096886111,SJ2699978945,326999,378945,Syringe,0_10,0.19,16.38,34.79,Not Sandy,34.79,16.38
Gedney Drove End,England,2019,52.84062,0.201116667,TF4835329282,548353,329282,Syringe,0_10,1.01,2.43,5.65,Sandy ,5.65,2.43
Gedney Drove End,England,2019,52.82837,0.348488889,TF5832228233,558322,328233,Syringe,0_10,0.81,3.66,7.23,Sandy ,7.23,3.66
Gedney Drove End,England,2019,52.83822,0.199177778,TF4823029011,548230,329011,Syringe,0_10,0.88,4.05,7.25,Sandy ,7.25,4.05
Gedney Drove End,England,2019,52.86366,0.304666667,TF5524432063,555244,332063,Syringe,0_10,0.87,5.23,8.26,Not Sandy,8.26,5.23
Gedney Drove End,England,2019,52.84055,0.199808333,TF4826529271,548265,329271,Syringe,0_10,0.82,5.77,10.37,Not Sandy,10.37,5.77
Goldhanger,England,2019,51.73232,0.74553078,TL8969007301,589690,207301,Syringe,0_10,0.63,7.09,17.85,Not Sandy,17.85,7.09
Goldhanger,England,2019,51.73247,0.74644509,TL8975207320,589752,207320,Syringe,0_10,0.62,7.20,18.46,Not Sandy,18.46,7.20
Goldhanger,England,2019,51.73303,0.74907982,TL8993207389,589932,207389,Syringe,0_10,0.41,7.73,19.92,Not Sandy,19.92,7.73
Goldhanger,England,2019,51.73279,0.74841002,TL8988707361,589887,207361,Syringe,0_10,0.49,8.40,20.76,Not Sandy,20.76,8.40
Goldhanger,England,2019,51.73249,0.74752436,TL8982707325,589827,207325,Syringe,0_10,0.47,8.94,21.46,Not Sandy,21.46,8.94
Haroldson Bridge,Wales,2019,51.79383,-4.95841,SM9608414716,196084,214716,Syringe,0_10,0.71,10.69,17.78,Not Sandy,17.78,10.69
Haroldson Bridge,Wales,2019,51.79486,-4.9565,SM9622014826,196220,214826,Syringe,0_10,0.39,11.30,22.12,Not Sandy,22.12,11.30
Haroldson Bridge,Wales,2019,51.79435,-4.95781,SM9612814773,196128,214773,Syringe,0_10,0.37,14.06,33.73,Not Sandy,33.73,14.06
Haroldson Bridge,Wales,2019,51.794,-4.95808,SM9610714734,196107,214734,Syringe,0_10,0.36,26.15,40.52,Organic,40.52,26.15
Haroldson Bridge,Wales,2019,51.79459,-4.95725,SM9616714798,196167,214798,Syringe,0_10,0.31,16.99,43.82,Organic,43.82,16.99
Hythe,England,2019,50.8618,-1.38483725,SU4339107101,443391,107101,Syringe,0_10,0.72,5.31,12.23,Not Sandy,12.23,5.31
Hythe,England,2019,50.86208,-1.385421333,SU4335007132,443350,107132,Syringe,0_10,0.56,4.92,13.48,Not Sandy,13.48,4.92
Hythe,England,2019,50.86194,-1.384770361,SU4339607117,443396,107117,Syringe,0_10,0.57,4.64,14.50,Not Sandy,14.50,4.64
Hythe,England,2019,50.86181,-1.385153833,SU4336907102,443369,107102,Syringe,0_10,0.60,5.18,15.22,Not Sandy,15.22,5.18
Isley Marsh,England,2019,51.07417,-4.1575,SS4895032753,248950,132753,Syringe,0_10,0.73,6.01,7.50,Sandy ,7.50,6.01
Isley Marsh,England,2019,51.07306,-4.155277778,SS4910232625,249102,132625,Syringe,0_10,0.67,5.41,8.13,Not Sandy,8.13,5.41
Isley Marsh,England,2019,51.07222,-4.155,SS4911932531,249119,132531,Syringe,0_10,0.22,10.98,25.49,Not Sandy,25.49,10.98
King's,England,2019,52.09262,1.5815967,TM4543649861,645436,249861,Syringe,0_10,0.53,7.21,17.01,Not Sandy,17.01,7.21
King's,England,2019,52.09247,1.5789446,TM4525549835,645255,249835,Syringe,0_10,0.65,8.36,17.63,Not Sandy,17.63,8.36
King's,England,2019,52.0923,1.5765874,TM4509549809,645095,249809,Syringe,0_10,0.62,9.29,18.04,Not Sandy,18.04,9.29
King's,England,2019,52.09243,1.577832,TM4517949827,645179,249827,Syringe,0_10,0.59,10.37,21.19,Not Sandy,21.19,10.37
King's,England,2019,52.09252,1.579996,TM4532749845,645327,249845,Syringe,0_10,0.44,8.10,30.40,Not Sandy,30.40,8.10
Levington,England,2019,51.99824,1.263033,TM2409238338,624092,238338,Syringe,0_10,0.77,9.00,7.00,Sandy ,7.00,9.00
Levington,England,2019,51.99782,1.260948,TM2395138285,623951,238285,Syringe,0_10,0.61,5.67,9.25,Not Sandy,9.25,5.67
Levington,England,2019,51.99794,1.2617291,TM2400438301,624004,238301,Syringe,0_10,0.65,2.77,9.86,Not Sandy,9.86,2.77
Levington,England,2019,51.9981,1.2624838,TM2405538321,624055,238321,Syringe,0_10,0.54,2.92,9.92,Not Sandy,9.92,2.92
Levington,England,2019,51.99781,1.2613406,TM2397838285,623978,238285,Syringe,0_10,0.54,12.54,11.01,Not Sandy,11.01,12.54
Maydays,England,2019,51.80371,0.9351864,TM0246415749,602464,215749,Syringe,0_10,0.76,4.20,11.25,Not Sandy,11.25,4.20
Maydays,England,2019,51.8032,0.9352564,TM0247115692,602471,215692,Syringe,0_10,0.57,4.48,12.81,Not Sandy,12.81,4.48
Maydays,England,2019,51.80263,0.93536619,TM0248115629,602481,215629,Syringe,0_10,0.28,10.85,30.32,Not Sandy,30.32,10.85
Maydays,England,2019,51.80207,0.93549198,TM0249315567,602493,215567,Syringe,0_10,0.25,13.10,42.86,Organic,42.86,13.10
Maydays,England,2019,51.80143,0.93564259,TM0250615497,602506,215497,Syringe,0_10,0.17,26.67,53.02,Organic,53.02,26.67
Milburn (Avon),England,2019,50.30779,-3.853471,SX6811446959,268114,46959,Syringe,0_10,0.41,8.02,20.10,Not Sandy,20.10,8.02
