Sample,Elev_MSL_m,Season,TOC,TIC,TN,C/N,pHsed,Sal,DO%,Temp_C
AL,0.209,winter,,,,,,,,
LAR,0.311,winter,1.98,0.21,0.17,11.55,7.19,0.25,104.5,12.62
FO,0.334,winter,1.42,0.08,0.16,8.65,7.39,0.13,89.1,14.31
Aouro,0.532,winter,2,0.06,0.16,12.58,7.38,0.23,106.6,13.11
FB1,1.432,winter,6.25,0.28,0.41,15.31,6.96,,,
FB2,0.752,winter,2.32,0.3,0.22,10.47,6.95,,,
FB3,0.471,winter,3.12,0.21,0.27,11.38,6.84,0.24,85.3,12.87
PI1,1.188,winter,,,,,,,,
PI2,1.198,winter,3.09,0.15,0.36,8.67,7.28,,,
PI3,0.614,winter,2.1,0.18,0.27,7.87,7.73,,,
PI4,0.011,winter,1.83,0.01,0.21,8.93,7.37,0.24,111.3,12.46
LEZ1,1.317,winter,7.16,0.61,0.74,9.63,7.69,,,
LEZ2,1.062,winter,2.17,0.32,0.26,8.28,7.34,,,
LEZ3,0.202,winter,1.65,0.03,0.23,7.15,6.22,1.21,98.1,12.36
SCM,1.96,winter,3.4,0.48,0.31,11.06,7.01,14.3,115,12.43
VRSA1,1.21,winter,0.96,0.57,0.15,6.58,7.81,1.16,94.5,13.06
VRSA2,1.03,winter,5.64,0.43,0.56,10.04,6.95,,,
VRSA3,0.29,winter,1.17,0.02,0.14,8.37,6.86,,,
VRSA4,-0.47,winter,0.18,0.31,0.02,8.32,7.43,3.01,99.5,15.67
EE,-0.743,winter,0.54,0.87,0.07,7.62,7.62,1.42,78.2,14.32
E1,0.574,winter,0.3,0.01,0.04,7.8,7.7,0.48,106.3,14.87
E2,-0.066,winter,0.22,0.83,0.04,5.89,7.53,,,
E3,-0.743,winter,0.79,0.2,0.09,8.44,7.76,1.61,91.3,14.72
LG1,0.397,winter,8.17,2,1.05,7.78,6.44,,,
LG2,0.167,winter,6.03,0.71,0.83,7.27,6.86,,,
LG3,-0.09,winter,2.33,0.6,0.34,6.86,7.42,27.79,69,13.93
AL,,summer,2.1,0.01,0.2,10.7,6.63,0.18,92.1,24.78
LAR,,summer,0.57,0.04,0.06,10.02,7.3,0.18,85.3,25.66
FO,,summer,8.95,0.64,0.69,12.99,6.77,0.22,78.8,26.46
Aouro,,summer,1.16,0.19,0.13,9.17,7.69,0.43,73.4,26.79
FB1,,summer,2.36,0.42,0.3,7.85,6.58,,,
FB2,,summer,2.21,0.09,0.27,8.31,6.42,,,
FB3,,summer,3.24,0.22,0.3,10.81,6.73,2.81,76.4,26.35
PI1,,summer,4.16,0,0.57,7.4,6.38,,,
PI2,,summer,3.47,0.09,0.37,9.47,6,,,
PI3,,summer,2.35,0.29,0.23,10.03,6.77,,,
PI4,,summer,1.58,0.03,0.18,8.91,6.48,9.33,59.9,28.75
LEZ1,,summer,5.94,0.51,0.58,10.26,6.57,,,
LEZ2,,summer,2.63,0.29,0.29,9.04,7.02,,,
LEZ3,,summer,1.9,0.2,0.22,8.63,6.43,24.13,57.2,26.97
SCM,,summer,5.12,0.38,0.44,11.6,6.98,26.1,35.2,20.18
VRSA1,,summer,0.3,0.8,0.03,9.06,7.98,35.48,65.3,27.35
VRSA2,,summer,0.7,0.18,0.08,8.65,6.5,,,
VRSA3,,summer,0.63,0.03,0.1,6.6,6.67,,,
VRSA4,,summer,4.75,0.02,0.62,7.73,6.63,28.04,60.4,26.38
EE,,summer,0.48,0.33,0.04,12.55,7.44,4.03,65,26.84
E1,,summer,0.81,0.09,0.07,12.38,7,35.61,68.6,28.23
E2,,summer,0.31,0.77,0.03,10.52,7.02,,,
E3,,summer,0.67,0.14,0.06,12,6.98,22.34,83.7,29.57
LG1,,summer,6.66,1.21,0.9,7.37,6.5,,,
LG2,,summer,5.66,0.87,0.77,7.33,6.74,,,
LG3,,summer,3.27,0.6,0.39,8.35,7.64,35.97,44.4,25.2
